held_out_substrate,n_train,n_test,test_labels,accuracy,balanced_accuracy,macro_f1,final_loss
Ag,250,25,benzenethiol,0.96,0.96,0.4897959183673469,0.0
AgNP,225,50,"4np,pyridine",0.4,0.4,0.2962962962962963,0.0
Au,250,25,benzenethiol,0.92,0.92,0.4791666666666667,7.369732856750488e-05
AuNP,250,25,pyridine,1.0,1.0,1.0,0.0013589804209768771
PICO,200,75,"4np,bt,pyridine",0.7066666666666667,0.7066666666666667,0.47962776659959755,0.00023436233401298524
pSERS,200,75,"4np,bt,pyridine",0.6666666666666666,0.6666666666666666,0.5,0.0
