held_out_substrate,n_train,n_test,test_labels,accuracy,balanced_accuracy,macro_f1,final_loss
Ag,250,25,benzenethiol,0.68,0.68,0.2698412698412698,0.0003404237128561363
AgNP,225,50,"4np,pyridine",0.58,0.58,0.43111111111111106,0.0020910623588133604
Au,250,25,benzenethiol,0.96,0.96,0.4897959183673469,0.00042647856147959827
AuNP,250,25,pyridine,1.0,1.0,1.0,0.0012987021496519446
PICO,200,75,"4np,bt,pyridine",0.9466666666666667,0.9466666666666667,0.7186454849498328,0.004907596400007605
pSERS,200,75,"4np,bt,pyridine",0.6666666666666666,0.6666666666666666,0.5,0.1349984300152566
