held_out_substrate,n_train,n_test,test_labels,accuracy,balanced_accuracy,macro_f1,final_loss
Ag,250,25,benzenethiol,0.8,0.8,0.4444444444444444,0.01058100362867117
AgNP,225,50,"4np,pyridine",0.42,0.42,0.24814814814814815,0.009884086549566518
Au,250,25,benzenethiol,0.96,0.96,0.4897959183673469,0.023999998700234244
AuNP,250,25,pyridine,1.0,1.0,1.0,0.00034094591718167067
PICO,200,75,"4np,bt,pyridine",0.6666666666666666,0.6666666666666666,0.461864406779661,0.0015370911080390215
pSERS,200,75,"4np,bt,pyridine",0.6666666666666666,0.6666666666666666,0.5555555555555555,0.21499676644802093
