,"old:1,9-nonanedithiol",old:1-dodecanethiol,old:1-undecanethiol,old:6-mercapto-1-hexanol,feb26:aniline,old:benzene,feb26:benzene,old:benzenethiol,feb26:dcm,feb26:diethylamine,old:dmmp,old:etoh,old:meoh,"old:n,n-dimethylformamide",feb26:n-hexane,old:pyridine,feb26:pyridine,old:tris(2-ethylhexyl) phosphate
"old:1,9-nonanedithiol",1.0,0.5465451323390197,0.5907095825198463,0.9766100348325114,0.005717298613597654,0.012509940506938502,0.008329740165301308,0.18967159041725232,0.7803843311230388,0.7418332963868001,0.6377649900697865,0.1884612246953542,0.017002370485749204,0.8205688758400385,0.3672656574987799,0.0012600732285276235,0.00048142654621322214,0.02679198896322976
old:1-dodecanethiol,0.5465451323390197,1.0,0.9985576530074141,0.7122115640704153,0.1799882993893594,0.005512085110129557,0.0036702202309387183,0.0835724157739728,0.3438501445611122,0.6953510702477375,0.28100972211465025,0.6800404842666523,0.5352576375912197,0.3630429018273661,0.9157678168319958,0.03966881089074897,0.015155959342009043,0.8434480786575143
old:1-undecanethiol,0.5907095825198463,0.9985576530074141,0.9999999999999999,0.7488192991969057,0.17382106137291406,0.006122220896550018,0.004076478962833996,0.09282309325854309,0.3819111095445886,0.7181475323337319,0.3121148455604287,0.6675476856824131,0.5169172162285829,0.4029850983537321,0.9062951501717411,0.0383095725434641,0.014636645536906977,0.8145476163872323
old:6-mercapto-1-hexanol,0.9766100348325114,0.7122115640704153,0.7488192991969057,1.0,0.05029766271121328,0.011777989221422641,0.007842370619568953,0.17857398652739012,0.734724376621646,0.7916877178263345,0.600449632408439,0.3285268598446292,0.14957754593216407,0.7749399152005303,0.5365895685901126,0.011085434314936094,0.004235327149795267,0.2357012490182156
feb26:aniline,0.005717298613597654,0.1799882993893594,0.17382106137291406,0.05029766271121328,1.0,0.8492869662077754,0.896572394096439,0.5916815587336741,0.1939359970954941,0.09455212168826088,0.4224450261411876,0.6046736609576367,0.5631896307879088,0.0,0.2114825647811975,0.7892967790214495,0.8249979894244702,0.2133958259479828
old:benzene,0.012509940506938502,0.005512085110129557,0.006122220896550018,0.011777989221422641,0.8492869662077754,1.0,0.9877195714959764,0.7630545830129167,0.19405436661701544,0.013773252770519814,0.40266225559891794,0.42067529574932644,0.1323578097601598,0.015325950105356662,0.023137808058751038,0.4272578722261987,0.543367399374231,0.0
feb26:benzene,0.008329740165301308,0.0036702202309387183,0.004076478962833996,0.007842370619568953,0.896572394096439,0.9877195714959764,1.0000000000000002,0.6792854243818711,0.21782313028708036,0.009170916260218343,0.46113362425281507,0.48639675349366085,0.16940989543437596,0.010204779318749543,0.023641645340790073,0.4981713684348686,0.586812273167758,0.0
old:benzenethiol,0.18967159041725232,0.0835724157739728,0.09282309325854309,0.17857398652739012,0.5916815587336741,0.7630545830129167,0.6792854243818711,1.0,0.22775611096117893,0.20882551413848718,0.1922652391655738,0.05890236591144038,0.26172405848939934,0.2323669988299445,0.09853659531075361,0.3885231811370636,0.5610580805989672,0.0
feb26:dcm,0.7803843311230388,0.3438501445611122,0.3819111095445886,0.734724376621646,0.1939359970954941,0.19405436661701544,0.21782313028708036,0.22775611096117893,1.0,0.859191188379285,0.9281141660981913,0.38882831448940885,0.0,0.9560502158391776,0.41126640062177416,0.09629823225241871,0.08256039164518085,0.0
feb26:diethylamine,0.7418332963868001,0.6953510702477375,0.7181475323337319,0.7916877178263345,0.09455212168826088,0.013773252770519814,0.009170916260218343,0.20882551413848718,0.859191188379285,1.0,0.7021694796667677,0.5043885947853124,0.28118352946162684,0.894277991691241,0.7792991822673556,0.020838967017832964,0.0079617848319572,0.4430832761991738
old:dmmp,0.6377649900697865,0.28100972211465025,0.3121148455604287,0.600449632408439,0.4224450261411876,0.40266225559891794,0.46113362425281507,0.1922652391655738,0.9281141660981913,0.7021694796667677,1.0000000000000002,0.5758735346741871,0.0,0.7813270104147655,0.3464091759975371,0.2097635810292196,0.17983885059565066,0.0
