space,held_out,label,substrate,metric,silhouette
derivative_input,Ag,4np,pSERS,chemical label,0.2934849262237549
derivative_input,Ag,4np,pSERS,substrate,0.13576319813728333
derivative_input,Ag,4np,pSERS,chemical label,0.2881612181663513
derivative_input,Ag,4np,pSERS,substrate,0.12441559135913849
derivative_input,Ag,4np,pSERS,chemical label,0.286501407623291
derivative_input,Ag,4np,pSERS,substrate,0.07969913631677628
derivative_input,Ag,4np,pSERS,chemical label,0.2592542767524719
derivative_input,Ag,4np,pSERS,substrate,0.007749613840132952
derivative_input,Ag,4np,pSERS,chemical label,0.315209299325943
derivative_input,Ag,4np,pSERS,substrate,0.06295853108167648
derivative_input,Ag,4np,pSERS,chemical label,0.2922121584415436
derivative_input,Ag,4np,pSERS,substrate,0.14999443292617798
derivative_input,Ag,4np,pSERS,chemical label,0.3051917254924774
derivative_input,Ag,4np,pSERS,substrate,0.09709642827510834
derivative_input,Ag,4np,pSERS,chemical label,0.28334370255470276
derivative_input,Ag,4np,pSERS,substrate,0.13365806639194489
derivative_input,Ag,4np,pSERS,chemical label,0.25941285490989685
derivative_input,Ag,4np,pSERS,substrate,0.06642723083496094
derivative_input,Ag,4np,pSERS,chemical label,0.29984599351882935
derivative_input,Ag,4np,pSERS,substrate,0.08879882097244263
derivative_input,Ag,4np,pSERS,chemical label,0.2911671996116638
derivative_input,Ag,4np,pSERS,substrate,0.10038019716739655
derivative_input,Ag,4np,pSERS,chemical label,0.2870000898838043
derivative_input,Ag,4np,pSERS,substrate,0.13173726201057434
derivative_input,Ag,4np,pSERS,chemical label,0.28030145168304443
derivative_input,Ag,4np,pSERS,substrate,0.07231730222702026
derivative_input,Ag,4np,pSERS,chemical label,0.13162384927272797
derivative_input,Ag,4np,pSERS,substrate,-0.025028744712471962
derivative_input,Ag,4np,pSERS,chemical label,0.3080463707447052
derivative_input,Ag,4np,pSERS,substrate,0.1120338961482048
derivative_input,Ag,4np,pSERS,chemical label,0.27775976061820984
derivative_input,Ag,4np,pSERS,substrate,0.05635387450456619
derivative_input,Ag,4np,pSERS,chemical label,0.3020634651184082
derivative_input,Ag,4np,pSERS,substrate,0.11093811690807343
derivative_input,Ag,4np,pSERS,chemical label,0.28543606400489807
