space,held_out,silhouette_label,silhouette_substrate,label_minus_substrate_silhouette
derivative_input,Ag,0.3041529357433319,0.0536859966814518,0.2504669390618801
siamese_embedding,Ag,0.8604451417922974,-0.2915426790714264,1.1519878208637238
derivative_input,AgNP,0.3041529357433319,0.0536859966814518,0.2504669390618801
siamese_embedding,AgNP,0.6789007186889648,-0.2139180451631546,0.8928187638521194
derivative_input,Au,0.3041529357433319,0.0536859966814518,0.2504669390618801
siamese_embedding,Au,0.8318364024162292,-0.2497531920671463,1.0815895944833755
derivative_input,AuNP,0.3041529357433319,0.0536859966814518,0.2504669390618801
siamese_embedding,AuNP,0.8751506209373474,-0.3076869547367096,1.182837575674057
derivative_input,PICO,0.3041529357433319,0.0536859966814518,0.2504669390618801
siamese_embedding,PICO,0.7502666115760803,-0.22173579037189484,0.9720024019479752
derivative_input,pSERS,0.3041529357433319,0.0536859966814518,0.2504669390618801
siamese_embedding,pSERS,0.8749322891235352,-0.2960158586502075,1.1709481477737427
