epoch,beta,train_loss,train_reconstruction_loss,train_kl_unnormalized,train_kl_normalized
1,0.0,0.09280561190505215,0.09280561190505215,28.721242317466235,0.020500529848298525
2,0.08,0.06914945164752319,0.05560716542549529,237.1592883647269,0.16927857841879151
3,0.16,0.055157399691608794,0.04229558823735954,112.62124369758706,0.08038632669349541
4,0.24,0.044830077421326824,0.04016390364763518,27.23879218622066,0.01944239270965072
5,0.32,0.039966540956080744,0.03625002358613056,16.271377246973294,0.011614116521751103
6,0.4,0.0392682842715078,0.035684218044559506,12.553191089213675,0.00896016494590555
7,0.48,0.03877685912051055,0.035208780025681036,10.414331327879793,0.007433498449593
8,0.56,0.03834095049047574,0.035036992916113424,8.265794033566937,0.005899924363716586
9,0.64,0.037831995522351246,0.03475763736593671,6.729962365596055,0.00480368477201717
10,0.72,0.03762962436506842,0.034796916371349684,5.511977356073638,0.003934316456869121
11,0.8,0.03730946492940578,0.03428364996533987,5.298958855424906,0.0037822689903104253
12,0.88,0.03686257333018894,0.03388648232908749,4.738071589490732,0.0033819211916422073
13,0.96,0.03614878068844824,0.032793068078928116,4.897243416465526,0.0034955342016170774
14,1.0,0.03553384590454758,0.03117287388339834,6.109723009917413,0.004360972883595584
15,1.0,0.03376371616814855,0.02887769808838201,6.845312395470632,0.00488601884045013
16,1.0,0.031854144643227604,0.026316545342449017,7.758176591198517,0.0055375992799418395
17,1.0,0.031213727661746037,0.02614035389861946,7.107796569057948,0.005073373710962133
18,1.0,0.030515592561538563,0.025343565343509074,7.246010309744089,0.005172027344571084
19,1.0,0.029120544890779594,0.024144457100064996,6.971499049507375,0.004976087829769718
20,1.0,0.028363377002259008,0.022866517280972682,7.701100476444028,0.005496859726227
21,1.0,0.027753109600411233,0.022253223845336637,7.7053396857982115,0.005499885571590444
22,1.0,0.027147545662249018,0.021374147076273588,8.088531402521259,0.005773398574247865
23,1.0,0.026332896430549663,0.020706409295638575,7.882708791041479,0.005626487359772647
24,1.0,0.025737015123775953,0.019699911973296815,8.45798159686759,0.006037103209755596
25,1.0,0.025198893239274295,0.018990716608200533,8.697655525790552,0.006208176677937581
26,0.0,0.018570699777828294,0.018570699777828294,10.101725657433922,0.007210368063835776
27,0.08,0.017351991883336717,0.015966050619641767,24.27129889575675,0.017324267591546573
28,0.16,0.017939592056854844,0.014340492640520288,31.51461738686374,0.022494373580916303
29,0.24,0.018868645644994804,0.014130916259369476,27.65649734730283,0.019740540576233284
30,0.32,0.01912084032321861,0.014802181483226052,18.907628684064708,0.013495809196334552
31,0.4,0.019768054495406983,0.015396330517810244,15.311964476472946,0.010929310832600247
32,0.48,0.020465682744654507,0.015533181907828719,14.396736940442214,0.010276043497817427
33,0.56,0.02082859954133825,0.015506241535645905,13.315399199073491,0.009504210705976795
34,0.64,0.02154070782316564,0.01613119343808124,11.841765753566959,0.00845236670490147
35,0.72,0.021736019840016635,0.016044573187340035,11.07460611668216,0.007904786664298473
36,0.8,0.022617567501409086,0.01687045525515444,10.064631037316468,0.007183890818926815
37,0.88,0.022563169454122733,0.0164484471554449,9.734916337192319,0.006948548420551263
38,0.96,0.023018566761409873,0.016970778811381374,8.825991076673482,0.0062997794979825
39,1.0,0.023490037150908766,0.017060625159454137,9.007606737478332,0.006429412375073756
40,1.0,0.023086489776076188,0.017031372797280942,8.483218576189733,0.006055116756737854
41,1.0,0.023289876392184387,0.017370243617801165,8.293405791036948,0.005919632970047785
42,1.0,0.02296002828983761,0.016758305862480897,8.688613425175696,0.006201722644665022
43,1.0,0.02302554573489589,0.017111404859928583,8.285711609119932,0.005914141048622364
44,1.0,0.02241241517903763,0.016618174594302364,8.117731250529726,0.005794240721291739
45,1.0,0.022592541294001595,0.0167032987871675,8.250828878327749,0.00588924259695057
46,1.0,0.02249988319767094,0.016689771412176337,8.13996632755063,0.005810111582834139
47,1.0,0.022355517884919737,0.01677763984257998,7.814607397437616,0.005577878228006864
48,1.0,0.022464751294411427,0.016486323410116428,8.375777436135637,0.005978427863051847
49,1.0,0.02247138176617664,0.016494395910847656,8.373757687198022,0.005976986214987882
50,1.0,0.022309782617932844,0.016678596769488015,7.889291842431481,0.005631186183034605
51,0.0,0.015767825405442817,0.015767825405442817,10.067228887799525,0.007185745101926855
52,0.08,0.014698646275334744,0.01356613269588182,19.833141626749498,0.01415641800624518
53,0.16,0.015386041420548504,0.01244961902271452,25.712047793459163,0.018352639395759575
54,0.24,0.016354810918262432,0.012457338194301816,22.751499983941624,0.01623947179439088
55,0.32,0.017029789158480656,0.013110553646484576,17.15890474610974,0.012247612238479472
56,0.4,0.017487455135024272,0.013502889747963202,13.95593980930778,0.009961413140119758
57,0.48,0.018106831074997328,0.013986563842792439,12.026030936095392,0.008583890746677652
58,0.56,0.018965606443486358,0.014220939383854252,11.870140288073944,0.008472619763079189
59,0.64,0.019673329440462017,0.014384661691352791,11.577224706458212,0.008263543687693227
60,0.72,0.01980166508120741,0.01425123145584196,10.800217903337105,0.007708934977399789
61,0.8,0.02008937670153822,0.014405886174940126,9.953212259117693,0.00710436278309614
62,0.88,0.020879700641639888,0.015324005247073403,8.844919529544214,0.0063132901709808805
63,0.96,0.021157534581539933,0.01517435459330613,8.731703487546163,0.006232479291610395
64,1.0,0.021617226888258904,0.01583640100881783,8.0989372261747,0.0057808260001246965
65,1.0,0.02189272611227098,0.015419352689847416,9.069195884804538,0.006473373222558557
66,1.0,0.02136506780363847,0.015765400184521768,7.845134081278306,0.005599667438457035
67,1.0,0.021232331480717036,0.015615972092448364,7.8685195747941865,0.005616359439539034
68,1.0,0.021108834390166545,0.01513848266275559,8.36446277335221,0.005970351729730343
69,1.0,0.020824551208180633,0.014940023247364046,8.244223767492969,0.005884528028189128
70,1.0,0.02107648507541444,0.015374818523963467,7.988035239507017,0.005701666837620997
71,1.0,0.02066568387712974,0.014900340267566875,8.077246582664257,0.005765343742087264
72,1.0,0.020927076663122428,0.015295677147317662,7.889591304495865,0.005631399931831453
73,1.0,0.020482502210738877,0.014918619282869012,7.794999724392287,0.005563882744034466
74,1.0,0.02050732009470723,0.015094513671399464,7.583341706788175,0.005412806357450518
75,1.0,0.020556214082514356,0.01493164327597514,7.880022994295478,0.005624570302851876
76,0.0,0.014335876794361132,0.014335876794361132,9.341581527843225,0.006667795523085813
77,0.08,0.013407765981216619,0.012381388598394185,17.974432383041716,0.012829716190607934
78,0.16,0.014207114347594274,0.011463869871433385,24.02053459034216,0.017145278080187124
79,0.24,0.01518715431661585,0.011373633689625294,22.26142685069788,0.015889669415201913
80,0.32,0.015678532425655808,0.01194180379007581,16.359866375485883,0.011677277926827895
81,0.4,0.016075332409104404,0.012210039210436646,13.538189883835972,0.00966323332179584
82,0.48,0.016567787041635494,0.012628013451124123,11.499214976114997,0.008207862224207706
83,0.56,0.01720957530410269,0.01275869402790434,11.135150963562545,0.007948002115319446
84,0.64,0.01769951609772626,0.012889236687605297,10.530003251987774,0.007516062278363864
85,0.72,0.018267324243115026,0.013231506872125067,9.798861516094624,0.006994190946534349
86,0.8,0.018691090208083783,0.013210114640667708,9.598558059425853,0.0068512191716101735
87,0.88,0.019432459221786807,0.013663320623208082,9.18473172500144,0.0065558399179168015
88,0.96,0.01966601101819865,0.013811685071696882,8.543656965530596,0.006098256220935472
89,1.0,0.019742837964707587,0.01388004017936871,8.213779264141898,0.005862797476189792
90,1.0,0.019721842098444308,0.014157865330674502,7.795131779133492,0.005563977001522835
91,1.0,0.019799380095504776,0.014037717259834687,8.072089867820907,0.005761663003441047
92,1.0,0.019649650738879584,0.01386830044755769,8.099671642853183,0.005781350209031537
93,1.0,0.01980997914017288,0.01410516691455154,7.99244216852313,0.005704812397232784
94,1.0,0.019540513877850434,0.013640110393148322,8.266465228717921,0.0059004034466223565
95,1.0,0.019711321341809227,0.014183197577187067,7.744901530086734,0.0055281238615893895
96,1.0,0.019282482043884726,0.013718694509474732,7.794866189165407,0.0055637874298111395
97,1.0,0.01938167105400406,0.01393567689381312,7.629838164716829,0.005445994407363904
98,1.0,0.0196223421567262,0.013772641642092357,8.195430551553917,0.005849700607818642
99,1.0,0.019562226057247823,0.014065502988231494,7.700909116903246,0.005496723138403459
100,1.0,0.019341313520112934,0.013757990705719682,7.8222350366250915,0.005583322652837324
