epoch,beta,learning_rate,train_loss,train_reconstruction_loss,train_kl_unnormalized,train_kl_normalized,mean_unclipped_gradient_norm
1,0.0,0.001,0.08832969428258165,0.08832969428258165,8.500654223208256,0.0060675619009338015,0.14141625290115675
2,0.02,0.001,0.06700744654357269,0.06581733482517815,83.3672511413406,0.05950553257768779,0.13914351910352707
3,0.04,0.001,0.04773740312366775,0.042857360710536155,170.92348957324486,0.1220010632214453,0.10109713425238927
4,0.06,0.001,0.03462699947483612,0.031100624546244453,82.34085816522604,0.05877291803370881,0.09154127724468708
5,0.08,0.001,0.0328425527255233,0.02872389231195299,72.12804568372154,0.05148325887489046,0.07978294603526592
6,0.1,0.001,0.031564883092423446,0.027626536006605657,55.17623902418068,0.039383468254233174,0.05702845690151056
7,0.12,0.001,0.029884467922541066,0.026542290106169448,39.01992465773233,0.027851480840636926,0.044139418130119644
8,0.14,0.001,0.028804013849372048,0.025929247560210464,28.768201008315913,0.02053404782891928,0.025751482074459393
9,0.16,0.001,0.0281735676758956,0.025458731911768596,23.771781022883644,0.01696772378507041,0.03661942450950543
10,0.18,0.001,0.027020000465234777,0.024337881693703742,20.87582598179168,0.014900660943463014,0.03254926732430855
11,0.2,0.001,0.026000052844443598,0.023389217194898396,18.2889012948869,0.013054176513124127,0.028907792021830876
12,0.22,0.001,0.024662842943279212,0.021770346981598982,18.41994034948428,0.013147709028896701,0.025634353049099445
13,0.24,0.001,0.023791846067493284,0.02047698333161593,19.35051243889759,0.013811928935687072,0.03273267485201359
14,0.25,0.001,0.02364259725308287,0.02045588014190683,17.858364362690402,0.012746869637894648,0.03885236165175835
15,0.25,0.001,0.022763041055892125,0.01956228910850428,17.937014225100683,0.012803008012206055,0.054136876637736954
16,0.25,0.001,0.02206274785470864,0.019100042516699178,16.603000895707734,0.011850821481590102,0.021701375488191843
17,0.25,0.001,0.021956923445968918,0.01885227330501086,17.39846112905455,0.012418601805178122,0.04129134428997835
18,0.25,0.001,0.021115164895934506,0.018053026059154965,17.160226785118585,0.012248555878028968,0.020847763866186142
19,0.25,0.001,0.020794589878072752,0.017667508229982753,17.52416756527483,0.012508328026605875,0.041555235317597784
20,0.25,0.001,0.020323160296875583,0.017183507081972995,17.59461888399991,0.012558614478229771,0.02603438434501489
21,0.25,0.001,0.019976883495518984,0.01679108128177397,17.85323759346954,0.012743210273711307,0.01671447108189265
22,0.25,0.001,0.019871788473989682,0.016788375197034893,17.2794528940164,0.01233365659815589,0.05120234719167153
23,0.25,0.001,0.01974708208244694,0.01653325412494256,18.010291249298852,0.012855311384224733,0.055768056927869715
24,0.25,0.001,0.01970796028957715,0.016556213781771252,17.662388142147012,0.012606986539719495,0.04720899912839135
25,0.25,0.001,0.01925409139331543,0.016025786898701808,18.09141883114481,0.012913218294892798,0.040842235243568815
26,0.0,0.001,0.015557075545355965,0.015557075545355965,20.960912236825823,0.01496139345954734,0.034733900955567755
27,0.02,0.001,0.015064134755102564,0.01455496671063102,35.66724222356623,0.025458417004686814,0.047144725918769836
28,0.04,0.001,0.015277428819333555,0.013838218537880205,50.408336786527606,0.035980254665615705,0.03132448849889139
29,0.06,0.001,0.01587081936601108,0.013469902044239123,56.06141565916624,0.04001528598084671,0.02052714116871357
30,0.08,0.001,0.016168938744454017,0.013457220314537527,47.48896570967577,0.0338964780226094,0.017205137914667528
31,0.1,0.001,0.01627129012559728,0.013876611284767958,33.54945127103611,0.023946788915800224,0.03174004082878431
32,0.12,0.001,0.01657034017494559,0.01439977856994332,25.341305793152696,0.018088012700323123,0.03099020446340243
33,0.14,0.001,0.016814276078310552,0.014403934187715047,24.12063631210117,0.01721672827416215,0.02831899592032035
34,0.16,0.001,0.016955127241731347,0.014074045625969398,25.227474118067214,0.01800676239690736,0.02596123454471429
35,0.18,0.001,0.017478526782849932,0.014512663024680345,23.084307967467083,0.016477022103830896,0.0299942708419015
36,0.2,0.001,0.017474277201557618,0.014430853107189837,21.319186996165715,0.015217121339161824,0.0277141984552145
37,0.22,0.001,0.01779118404510757,0.01465530354868282,19.96985966706079,0.01425400404501127,0.038585316545019545
38,0.24,0.001,0.017942323146731727,0.014681567425118662,19.034661752790132,0.013586482336038638,0.039872889406979084
39,0.25,0.001,0.01788775533560879,0.014560740512921461,18.644592332445885,0.0133080601944653,0.031539578611652054
40,0.25,0.001,0.01775935094690684,0.014814586222130733,16.50246359822507,0.01177906038417207,0.041858294901127614
41,0.25,0.001,0.01786827556173171,0.014758118877274603,17.429318472701983,0.012440627032620973,0.05930125589172045
42,0.25,0.001,0.017598579455546767,0.014455835383703557,17.611937446699326,0.012570976050463473,0.03057699215908845
43,0.25,0.001,0.01755960235377317,0.014416308688723352,17.615019900739686,0.012573176231791354,0.03856954102714857
44,0.25,0.001,0.017425118963498385,0.014491986621879348,16.43727335128574,0.011732529158662198,0.04007121128961444
45,0.25,0.001,0.017616523896695498,0.014606696189209286,16.867074803544142,0.012039311066055776,0.05114569297681252
46,0.25,0.001,0.017482679747763415,0.014383883713218627,17.365654974272758,0.012395185563363853,0.040819657345612846
47,0.25,0.001,0.017198209920205362,0.014179356355148241,16.917654168835686,0.012075413396742103,0.025430599227547646
48,0.25,0.001,0.01728207416852972,0.014569131831943825,15.20332772541309,0.01085176854062319,0.021991875177870195
49,0.25,0.001,0.017171240491233253,0.014130509258363365,17.040257745537875,0.012162924871904264,0.03444707424690326
50,0.25,0.001,0.017035794293010203,0.014101199533780088,16.445469041829597,0.01173837904484625,0.024864605472733576
51,0.0,0.001,0.013883388611506004,0.013883388611506004,19.408889045400066,0.01385359674903645,0.031925187135736145
52,0.02,0.001,0.013252062920593855,0.012796800285988274,31.891146772820758,0.022763131172605824,0.032579485792666674
53,0.04,0.001,0.013527751097214451,0.012201063632554588,46.4672339047939,0.03316719051020264,0.03309172779942552
54,0.06,0.001,0.014128533512682298,0.011978104087131574,50.21252857555043,0.03584049148861558,0.02706313195327918
55,0.08,0.001,0.014388473617225967,0.011955787940848794,42.602407744436555,0.03040857083828448,0.022477772397299606
56,0.1,0.001,0.014579932782645067,0.012355315439998283,31.166885591407123,0.02224617101456611,0.026161115150898695
57,0.12,0.001,0.014930084175827911,0.012892443114588904,23.789463468819612,0.01698034508837945,0.02054909026871125
58,0.14,0.001,0.01508698536765559,0.012788114294450802,23.005131697851763,0.016420507992756433,0.024977347037444513
59,0.16,0.001,0.015308211411326385,0.012732080127479452,22.55725069807909,0.016100821340527545,0.019728466868400574
60,0.18,0.001,0.015463657559154775,0.012797838097474135,20.748961330445344,0.014810108016020944,0.015453085225696364
61,0.2,0.001,0.015848332903150356,0.013120598837055943,19.107777119996463,0.013638670321196618,0.02232303222020467
62,0.22,0.001,0.01587941262039764,0.012972391959659489,18.51243365369224,0.013213728517981613,0.01898990912983815
63,0.24,0.001,0.01605064811097771,0.013114875249215723,17.13757501292163,0.012232387589522933,0.025577553547918797
64,0.25,0.001,0.01601322458867117,0.013091496394603377,16.37336560188903,0.011686913348957195,0.029382216123243172
65,0.25,0.001,0.016221236180996437,0.013292865365866787,16.4105908864129,0.011713483858967096,0.031041991664096713
66,0.25,0.001,0.01614260770503647,0.013235637900155273,16.290659854563142,0.011627879981843784,0.0294882010978957
67,0.25,0.001,0.016332206842245806,0.013477731411429968,15.99648068693387,0.01141790198924616,0.048759108719726406
68,0.25,0.001,0.01581540609871553,0.012920717662585176,16.22183380967658,0.011578753611475074,0.028076664234201115
69,0.25,0.001,0.015753066008166505,0.012998260701326628,15.437929205986423,0.011019221417549196,0.016287841989348333
70,0.25,0.001,0.015749152472689133,0.01299844033626157,15.414990911142228,0.011002848616090098,0.017736621511479218
71,0.25,0.001,0.01563586561219669,0.012811377080100956,15.828435700787,0.011297955532324768,0.026800295803695917
72,0.25,0.001,0.015768374303566195,0.013132352964341969,14.772265337058665,0.010544086607465142,0.032085620487729706
73,0.25,0.001,0.015668593429172664,0.012956366063539483,15.199324450217002,0.010848911099369737,0.024066811970745523
74,0.25,0.001,0.01551292436941432,0.012809195614755974,15.151696559811427,0.01081491546025084,0.030357125215232372
