epoch,beta,learning_rate,train_loss,train_reconstruction_loss,train_kl_unnormalized,train_kl_normalized,mean_unclipped_gradient_norm
1,0.0,0.001,0.09386099114062939,0.09386099114062939,1.1247038841247559,0.0008027864983046081,0.132642462849617
2,0.02,0.001,0.08651366893281327,0.08627144057065883,16.96811566454299,0.012111431594962875,0.14853715151548386
3,0.04,0.001,0.07512037218251127,0.07325683565849954,65.27039661813289,0.04658843441693997,0.17281093448400497
4,0.06,0.001,0.06674050381208987,0.05977050222932024,162.74957567580202,0.11616672068222843,0.13824811205267906
5,0.08,0.001,0.06351936719519027,0.04979789130231167,240.29735743745843,0.171518456415031,0.12110549956560135
6,0.1,0.001,0.06136029562417497,0.045805602710931856,217.92125653206034,0.15554693542616727,0.11770858988165855
7,0.12,0.001,0.05725817160403475,0.0440839650307564,153.8088690575133,0.10978505999822506,0.10195377469062805
8,0.14,0.001,0.05257758403078039,0.04327258150628273,93.11648851759891,0.06646430301042035,0.06342466734349728
9,0.16,0.001,0.04922816149414854,0.043470124139430674,50.41881041831159,0.035987730491300204,0.05687056481838226
10,0.18,0.001,0.04940237564609406,0.04575721547007561,28.37150407344737,0.020250895127371427,0.08538961410522461
11,0.2,0.001,0.04843928435064377,0.04522856309058818,22.491098201021234,0.016053603284097953,0.09501957148313522
12,0.22,0.001,0.04661627296120562,0.042681971921565684,25.054342432225003,0.017883185176463243,0.048367612063884735
13,0.24,0.001,0.04636410647567282,0.041463393638742733,28.607909263448512,0.020419635448571387,0.07839156873524189
14,0.25,0.001,0.04558964961386742,0.04115793315020013,24.83533384444866,0.01772686213022745,0.06483294628560543
15,0.25,0.001,0.0447596236270793,0.04193669438679168,15.819686808484667,0.011291710784071854,0.08972308225929737
16,0.25,0.001,0.0434779610405577,0.041499081919802,11.089642504428296,0.007915519275109419,0.059817440807819366
17,0.25,0.001,0.04208186498664795,0.04019573576589848,10.56986260921397,0.007544512925920036,0.021920688450336456
18,0.25,0.001,0.04187742533518913,0.03997298781859114,10.672465872257314,0.0076177486597125725,0.03926214296370745
19,0.25,0.001,0.04107688731969671,0.039363857675740056,9.599811411918477,0.006852113784381496,0.05809285491704941
20,0.25,0.001,0.04136978715975234,0.040080629130627245,7.224447909821856,0.005156636623712959,0.05919238552451134
21,0.25,0.001,0.04043464830264132,0.03929101897681013,6.4089029291842845,0.00457452029206587,0.07299764826893806
22,0.25,0.001,0.04004899348984373,0.03870348061652894,7.540254694350223,0.005382051887473392,0.03832549601793289
23,0.25,0.001,0.03891537195824562,0.03721777904540934,9.513308058393763,0.006790369777582986,0.06473345123231411
24,0.25,0.001,0.03900579307624634,0.0373173270453798,9.462160739492862,0.006753862055312536,0.029081166721880436
25,0.25,0.001,0.039024379342160326,0.03747755479305349,8.668408048913834,0.006187300534556627,0.059396278113126755
26,0.0,0.001,0.036774205796896144,0.036774205796896144,9.610751760766862,0.006859922741446725,0.09089964255690575
27,0.02,0.001,0.03686116826026998,0.03667643499818254,12.940499488343583,0.009236616337147454,0.06717339903116226
28,0.04,0.001,0.03686915908722167,0.036442844157523295,14.931652474910655,0.010657853301149647,0.11494509130716324
29,0.06,0.001,0.03658239353210368,0.03599853544159139,13.633082491286258,0.009730965375650434,0.06944118812680244
30,0.08,0.001,0.03682938178486012,0.036049948727830926,13.649818136336956,0.009742910875329733,0.09662256389856339
31,0.1,0.001,0.03632644215162764,0.03516232634478427,16.30925486950164,0.011641152654890536,0.04635886941105127
32,0.12,0.001,0.036645843231297555,0.03504923231741215,18.640440311837704,0.01330509658232527,0.11126828193664551
33,0.14,0.001,0.036263408733809246,0.03449843657460618,17.66233570017713,0.01260694910790659,0.052285557612776756
34,0.16,0.001,0.036461408150956984,0.03447411700766137,17.40122547555477,0.012420574929018395,0.03552472312003374
35,0.18,0.001,0.03544543263442973,0.03310884337158913,18.186449862541036,0.012981049152420439,0.019990433007478714
36,0.2,0.001,0.03521818366456539,0.03258198872208595,18.466547458729845,0.013180976059050567,0.051962412893772125
37,0.22,0.001,0.03458131643685889,0.031912131750203195,16.997855531408433,0.012132659194438568,0.027766549959778786
38,0.24,0.001,0.03397157502935288,0.03129509844361467,15.623933792114258,0.011151987003650434,0.04411869216710329
39,0.25,0.001,0.03333714778753037,0.030518857405540792,15.79369753979622,0.01127316027108938,0.07368770241737366
40,0.25,0.001,0.0318610466065559,0.028964225163168097,16.233788023603722,0.011587286240973393,0.0433844830840826
41,0.25,0.001,0.030916248230223962,0.027936648260405723,16.697676902121685,0.011918398930850596,0.045939112082123756
42,0.25,0.001,0.029861389163960802,0.026469755878156805,19.006712730894698,0.013566532998497286,0.03350754827260971
43,0.25,0.001,0.02888886884171912,0.02513584427218488,21.031951904296875,0.015012099860311831,0.028422768227756023
44,0.25,0.001,0.028004336071775316,0.023947982315687424,22.731805192663316,0.016225414127525564,0.016305388417094946
45,0.25,0.001,0.027571361274161238,0.02322756015556924,24.34266346058947,0.017375205896209472,0.07967754080891609
46,0.25,0.001,0.02680170940274888,0.021981068906631877,27.01486664629997,0.019282560061598838,0.09947574138641357
47,0.25,0.001,0.026051880395475853,0.021389262711114073,26.12931068907393,0.018650471583921434,0.03875340335071087
48,0.25,0.001,0.026435579470497496,0.02217767653154566,23.861287543114194,0.017031611379810276,0.103935856372118
49,0.25,0.001,0.025254070085096867,0.020896786863499498,24.418215041464947,0.017429132791909312,0.029634842183440924
50,0.25,0.001,0.02498649369845999,0.020591369176164588,24.630275442245157,0.017580496389896616,0.08686625957489014
51,0.0,0.001,0.020185551625934054,0.020185551625934054,23.005234292212954,0.0164205812221363,0.09654606133699417
52,0.02,0.001,0.019983095136728694,0.019619763650475665,25.451350759952625,0.01816656014272136,0.041416541673243046
53,0.04,0.001,0.01998800332558916,0.019118882240133084,30.44099864553898,0.021728050425081354,0.0721038393676281
54,0.06,0.001,0.019770110144894174,0.01830012727766595,34.32408612839719,0.024499704588434826,0.04874929692596197
55,0.08,0.001,0.020134038073902436,0.018011976905325626,37.16259643879343,0.02652576476716162,0.07893690466880798
56,0.1,0.001,0.020299244989105996,0.01738700770000194,40.80044726107983,0.029122374918686533,0.03865823894739151
57,0.12,0.001,0.0209403515575414,0.017165688678939292,44.069189031073385,0.03145552393367122,0.08204101026058197
58,0.14,0.001,0.021085890881875728,0.016777171059808832,43.11796959410322,0.030776566448324928,0.024139086715877056
59,0.16,0.001,0.02153235935467355,0.016980947252917798,39.85330346290102,0.02844632652598217,0.05764158256351948
60,0.18,0.001,0.021426879543256252,0.016686990064509372,36.89214406114944,0.02633272238483186,0.02770021092146635
61,0.2,0.001,0.021570345545385745,0.016745864631647758,33.79548981849184,0.0241224052951405,0.047237575985491276
62,0.22,0.001,0.021782682138554593,0.01720723311634774,29.13729310542979,0.020797496863261808,0.01875816285610199
63,0.24,0.001,0.02190837965525211,0.017561757065197255,25.373410975679437,0.01811092860505313,0.03560697287321091
64,0.25,0.001,0.021991117679058238,0.017783426699486186,23.579899240047375,0.016830763197749732,0.030592837370932102
65,0.25,0.001,0.02193823940259345,0.017846367936185065,22.93084611283972,0.01636748473436097,0.049430400133132935
66,0.25,0.001,0.021564303084890893,0.017638418982003596,22.0006495130823,0.015703532843028053,0.03529801964759827
67,0.25,0.001,0.021297659051228077,0.01729196785612309,22.447896632742374,0.01602276704692532,0.016020888462662697
68,0.25,0.001,0.020918006751131504,0.01677627813942889,23.210244117899144,0.016566912289721018,0.0321907764300704
