domain,station,aggregation_level,mean_percent,minimum_percent,maximum_percent,complete_repeats,n_masters,display_order,display_label,figure_id,research_question_id,scope,population_id,preprocessing_policy_id,representation_id
cwa:Mira-2,cwa,spectrum,55.2380952381,51.626984127,59.2063492063,5,24,0,CWA / Mira-2,R2_unseen_instrument_domains,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
cwa:Mira-2,cwa,instrument_balanced_master,69.3518518519,63.6243386243,76.7195767196,5,24,0,CWA / Mira-2,R2_unseen_instrument_domains,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
cwa:Pendar-2,cwa,spectrum,53.5529100529,44.6031746032,59.7248677249,4,24,1,CWA / Pendar-2,R2_unseen_instrument_domains,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
cwa:Pendar-2,cwa,instrument_balanced_master,54.3816137566,51.5211640212,58.7962962963,4,24,1,CWA / Pendar-2,R2_unseen_instrument_domains,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
cwa:RMX-1,cwa,spectrum,59.1515151515,49.5757575758,66.0606060606,4,18,2,CWA / RMX-1,R2_unseen_instrument_domains,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
cwa:RMX-1,cwa,instrument_balanced_master,70.4861111111,58.3333333333,81.9444444444,4,18,2,CWA / RMX-1,R2_unseen_instrument_domains,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
pills:Agilent-1,pills,spectrum,72.7878787879,58.1818181818,85.6060606061,5,19,3,Pills / Agilent-1,R2_unseen_instrument_domains,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
pills:Agilent-1,pills,instrument_balanced_master,91.4444444444,86.1111111111,95.8333333333,5,19,3,Pills / Agilent-1,R2_unseen_instrument_domains,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
pills:Agilent-3,pills,spectrum,87.4592074592,76.4568764569,91.8414918415,5,20,4,Pills / Agilent-3,R2_unseen_instrument_domains,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
pills:Agilent-3,pills,instrument_balanced_master,91.7857142857,76.7857142857,95.8333333333,5,20,4,Pills / Agilent-3,R2_unseen_instrument_domains,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
