station,aggregation_level,true_index,predicted_index,true_label,predicted_label,mean_row_fraction,minimum_row_fraction,maximum_row_fraction,mean_count_per_repeat,mean_true_support_per_repeat,repeat_count,minimum_domain_count,percent,figure_id,research_question_id,scope,population_id,preprocessing_policy_id,representation_id
cwa,spectrum,0,0,4_nitrophenol,4_nitrophenol,0.71122399613,0.679245283019,0.74358974359,48.4,68,5,2,71.122399613,R4_chemical_confusion,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
cwa,spectrum,0,1,4_nitrophenol,ethanol,0.128543783261,0.0943396226415,0.166666666667,8.8,68,5,2,12.8543783261,R4_chemical_confusion,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
cwa,spectrum,0,2,4_nitrophenol,ethyl_paraoxon,0.16023222061,0.0897435897436,0.192307692308,10.8,68,5,2,16.023222061,R4_chemical_confusion,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
cwa,spectrum,1,0,ethanol,4_nitrophenol,0.111518418688,0.047619047619,0.169811320755,5.6,47.2,5,2,11.1518418688,R4_chemical_confusion,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
cwa,spectrum,1,1,ethanol,ethanol,0.593620844564,0.428571428571,0.716981132075,28.4,47.2,5,2,59.3620844564,R4_chemical_confusion,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
cwa,spectrum,1,2,ethanol,ethyl_paraoxon,0.294860736748,0.132075471698,0.514285714286,13.2,47.2,5,2,29.4860736748,R4_chemical_confusion,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
cwa,spectrum,2,0,ethyl_paraoxon,4_nitrophenol,0.24045540797,0.176470588235,0.333333333333,9.8,40,5,2,24.045540797,R4_chemical_confusion,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
cwa,spectrum,2,1,ethyl_paraoxon,ethanol,0.371688804554,0.129032258065,0.529411764706,15.2,40,5,2,37.1688804554,R4_chemical_confusion,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
cwa,spectrum,2,2,ethyl_paraoxon,ethyl_paraoxon,0.387855787476,0.2,0.645161290323,15,40,5,2,38.7855787476,R4_chemical_confusion,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
pills,spectrum,0,0,4_ANPP,4_ANPP,0.488888888889,0.430555555556,0.527777777778,35.2,72,5,5,48.8888888889,R4_chemical_confusion,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
pills,spectrum,0,1,4_ANPP,benzyl_fentanyl,0.0861111111111,0.0416666666667,0.138888888889,6.2,72,5,5,8.61111111111,R4_chemical_confusion,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
pills,spectrum,0,2,4_ANPP,blank,0.425,0.416666666667,0.430555555556,30.6,72,5,5,42.5,R4_chemical_confusion,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
pills,spectrum,1,0,benzyl_fentanyl,4_ANPP,0.0416666666667,0.0208333333333,0.0625,2,48,5,5,4.16666666667,R4_chemical_confusion,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
pills,spectrum,1,1,benzyl_fentanyl,benzyl_fentanyl,0.5375,0.5,0.5625,25.8,48,5,5,53.75,R4_chemical_confusion,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
