experiment_id,task_id,domain,station,procedure_id,outer_repeat,spectrum_status,master_status,spectrum_balanced_accuracy,master_balanced_accuracy,master_minus_spectrum,pair_status,spectrum_percent,sample_percent,n_masters,figure_id,research_question_id,scope,population_id,preprocessing_policy_id,representation_id
EXP-C09-T3,T3-ZS,cwa:Mira-2,cwa,C-SELECTED,1,complete,complete,0.592063492063,0.704365079365,0.112301587302,complete,59.2063492063,70.4365079365,24,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,cwa:Mira-2,cwa,C-SELECTED,2,complete,complete,0.530158730159,0.636243386243,0.106084656085,complete,53.0158730159,63.6243386243,24,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,cwa:Mira-2,cwa,C-SELECTED,3,complete,complete,0.567857142857,0.767195767196,0.199338624339,complete,56.7857142857,76.7195767196,24,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,cwa:Mira-2,cwa,C-SELECTED,4,complete,complete,0.555555555556,0.698412698413,0.142857142857,complete,55.5555555556,69.8412698413,24,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,cwa:Mira-2,cwa,C-SELECTED,5,complete,complete,0.51626984127,0.661375661376,0.145105820106,complete,51.626984127,66.1375661376,24,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,cwa:Pendar-2,cwa,C-SELECTED,1,complete,complete,0.446031746032,0.519841269841,0.0738095238095,complete,44.6031746032,51.9841269841,24,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,cwa:Pendar-2,cwa,C-SELECTED,2,complete,complete,0.514920634921,0.515211640212,0.000291005291005,complete,51.4920634921,51.5211640212,24,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,cwa:Pendar-2,cwa,C-SELECTED,3,unavailable,unavailable,,,,unavailable,,,24,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,cwa:Pendar-2,cwa,C-SELECTED,4,complete,complete,0.583915343915,0.587962962963,0.00404761904762,complete,58.3915343915,58.7962962963,24,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,cwa:Pendar-2,cwa,C-SELECTED,5,complete,complete,0.597248677249,0.552248677249,-0.045,complete,59.7248677249,55.2248677249,24,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,cwa:RMX-1,cwa,C-SELECTED,1,complete,complete,0.58303030303,0.708333333333,0.125303030303,complete,58.303030303,70.8333333333,18,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,cwa:RMX-1,cwa,C-SELECTED,2,complete,complete,0.626666666667,0.819444444444,0.192777777778,complete,62.6666666667,81.9444444444,18,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,cwa:RMX-1,cwa,C-SELECTED,3,complete,complete,0.660606060606,0.708333333333,0.0477272727273,complete,66.0606060606,70.8333333333,18,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,cwa:RMX-1,cwa,C-SELECTED,4,complete,complete,0.495757575758,0.583333333333,0.0875757575758,complete,49.5757575758,58.3333333333,18,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,cwa:RMX-1,cwa,C-SELECTED,5,unavailable,unavailable,,,,unavailable,,,18,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,pills:Agilent-1,pills,C-SELECTED,1,complete,complete,0.581818181818,0.861111111111,0.279292929293,complete,58.1818181818,86.1111111111,19,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,pills:Agilent-1,pills,C-SELECTED,2,complete,complete,0.747727272727,0.916666666667,0.168939393939,complete,74.7727272727,91.6666666667,19,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,pills:Agilent-1,pills,C-SELECTED,3,complete,complete,0.856060606061,0.944444444444,0.0883838383838,complete,85.6060606061,94.4444444444,19,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,pills:Agilent-1,pills,C-SELECTED,4,complete,complete,0.706060606061,0.891666666667,0.185606060606,complete,70.6060606061,89.1666666667,19,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,pills:Agilent-1,pills,C-SELECTED,5,complete,complete,0.747727272727,0.958333333333,0.210606060606,complete,74.7727272727,95.8333333333,19,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,pills:Agilent-3,pills,C-SELECTED,1,complete,complete,0.913752913753,0.958333333333,0.0445804195804,complete,91.3752913753,95.8333333333,20,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,pills:Agilent-3,pills,C-SELECTED,2,complete,complete,0.862470862471,0.952380952381,0.0899100899101,complete,86.2470862471,95.2380952381,20,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,pills:Agilent-3,pills,C-SELECTED,3,complete,complete,0.764568764569,0.767857142857,0.00328837828838,complete,76.4568764569,76.7857142857,20,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,pills:Agilent-3,pills,C-SELECTED,4,complete,complete,0.913752913753,0.952380952381,0.038628038628,complete,91.3752913753,95.2380952381,20,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,pills:Agilent-3,pills,C-SELECTED,5,complete,complete,0.918414918415,0.958333333333,0.0399184149184,complete,91.8414918415,95.8333333333,20,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,pills:Mira-3,pills,C-SELECTED,1,complete,complete,0.333333333333,0.333333333333,0,complete,33.3333333333,33.3333333333,19,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,pills:Mira-3,pills,C-SELECTED,2,complete,complete,0.333333333333,0.333333333333,0,complete,33.3333333333,33.3333333333,19,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,pills:Mira-3,pills,C-SELECTED,3,complete,complete,0.333333333333,0.333333333333,0,complete,33.3333333333,33.3333333333,19,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,pills:Mira-3,pills,C-SELECTED,4,complete,complete,0.333333333333,0.333333333333,0,complete,33.3333333333,33.3333333333,19,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,pills:Mira-3,pills,C-SELECTED,5,complete,complete,0.333333333333,0.333333333333,0,complete,33.3333333333,33.3333333333,19,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,pills:Pendar-1,pills,C-SELECTED,1,complete,complete,0.768849206349,0.885714285714,0.116865079365,complete,76.8849206349,88.5714285714,20,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,pills:Pendar-1,pills,C-SELECTED,2,complete,complete,0.77414021164,0.838095238095,0.063955026455,complete,77.414021164,83.8095238095,20,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,pills:Pendar-1,pills,C-SELECTED,3,complete,complete,0.77414021164,0.885714285714,0.111574074074,complete,77.414021164,88.5714285714,20,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,pills:Pendar-1,pills,C-SELECTED,4,complete,complete,0.790013227513,0.885714285714,0.0957010582011,complete,79.0013227513,88.5714285714,20,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,pills:Pendar-1,pills,C-SELECTED,5,complete,complete,0.77414021164,0.838095238095,0.063955026455,complete,77.414021164,83.8095238095,20,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,pills:Pendar-3,pills,C-SELECTED,1,complete,complete,0.869047619048,0.869047619048,0,complete,86.9047619048,86.9047619048,19,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,pills:Pendar-3,pills,C-SELECTED,2,complete,complete,0.869047619048,0.869047619048,0,complete,86.9047619048,86.9047619048,19,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,pills:Pendar-3,pills,C-SELECTED,3,complete,complete,0.869047619048,0.869047619048,0,complete,86.9047619048,86.9047619048,19,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,pills:Pendar-3,pills,C-SELECTED,4,complete,complete,0.869047619048,0.869047619048,0,complete,86.9047619048,86.9047619048,19,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,pills:Pendar-3,pills,C-SELECTED,5,complete,complete,0.904761904762,0.904761904762,0,complete,90.4761904762,90.4761904762,19,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,surfaces:Agilent-3,surfaces,C-SELECTED,1,complete,complete,0.502645502646,0.539682539683,0.037037037037,complete,50.2645502646,53.9682539683,17,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,surfaces:Agilent-3,surfaces,C-SELECTED,2,unavailable,unavailable,,,,unavailable,,,17,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,surfaces:Agilent-3,surfaces,C-SELECTED,3,unavailable,unavailable,,,,unavailable,,,17,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,surfaces:Agilent-3,surfaces,C-SELECTED,4,complete,complete,0.529100529101,0.507936507937,-0.021164021164,complete,52.9100529101,50.7936507937,17,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,surfaces:Agilent-3,surfaces,C-SELECTED,5,complete,complete,0.343915343915,0.380952380952,0.037037037037,complete,34.3915343915,38.0952380952,17,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
