subset,outer_fold,representation,applicable,spectra_with_reference_peaks,mean_peak_recall_5cm,median_peak_recall_5cm,mean_peak_shift_cm,median_spectral_correlation_to_minimal
strict_core,0,minimal_minmax,True,116.0,1.0,1.0,0.0,1.0
strict_core,0,robust_minmax,True,116.0,0.999522492583134,1.0,0.07563044452424884,0.9993031345690249
strict_core,0,asls_minmax,True,116.0,0.9678172139955369,1.0,0.10979525326147464,0.9897088515388988
strict_core,0,arpls_minmax,True,116.0,0.9456366756738187,1.0,0.19831733328208653,0.9405405358677891
strict_core,0,derivative_1,False,,,,,
strict_core,0,derivative_2,False,,,,,
strict_core,1,minimal_minmax,True,117.0,1.0,1.0,0.0,1.0
strict_core,1,robust_minmax,True,117.0,0.9971704685140453,1.0,0.05486957934099664,0.9990961337251864
strict_core,1,asls_minmax,True,117.0,0.960465031537597,1.0,0.09963657920230956,0.9860249404187285
strict_core,1,arpls_minmax,True,117.0,0.9334565574158127,1.0,0.19298965401751605,0.9630367530393195
strict_core,1,derivative_1,False,,,,,
strict_core,1,derivative_2,False,,,,,
strict_core,2,minimal_minmax,True,113.0,1.0,1.0,0.0,1.0
strict_core,2,robust_minmax,True,113.0,0.9947161278693496,1.0,0.10901627534174856,0.9993349503340911
strict_core,2,asls_minmax,True,113.0,0.9600360142221357,1.0,0.1344070334323024,0.9682684560341727
strict_core,2,arpls_minmax,True,113.0,0.9418216317755853,0.9933774834437086,0.22508096289330862,0.928090526543815
strict_core,2,derivative_1,False,,,,,
strict_core,2,derivative_2,False,,,,,
strict_core,3,minimal_minmax,True,120.0,1.0,1.0,0.0,1.0
strict_core,3,robust_minmax,True,120.0,0.9913039139740365,1.0,0.053071706329443157,0.999016792838902
strict_core,3,asls_minmax,True,120.0,0.9620387439783256,1.0,0.11622280754843282,0.9897617494610373
strict_core,3,arpls_minmax,True,120.0,0.9412177717086206,1.0,0.20106671684397065,0.9465452813177269
strict_core,3,derivative_1,False,,,,,
strict_core,3,derivative_2,False,,,,,
strict_core,4,minimal_minmax,True,124.0,1.0,1.0,0.0,1.0
strict_core,4,robust_minmax,True,124.0,0.9996428226495553,1.0,0.05146370983692113,0.9987432910544187
strict_core,4,asls_minmax,True,124.0,0.9533355077319673,1.0,0.09513727737602057,0.9860431006077124
strict_core,4,arpls_minmax,True,124.0,0.9232195016827497,0.9967532467532467,0.2196507255291023,0.9428282361026553
strict_core,4,derivative_1,False,,,,,
strict_core,4,derivative_2,False,,,,,
quality_pass,0,minimal_minmax,True,101.0,1.0,1.0,0.0,1.0
quality_pass,0,robust_minmax,True,101.0,0.9996659798188617,1.0,0.08329814929710926,0.9994769106312891
quality_pass,0,asls_minmax,True,101.0,0.9633049728886501,1.0,0.12000260806207882,0.9644404916569198
quality_pass,0,arpls_minmax,True,101.0,0.9401222350506766,1.0,0.17486648092405513,0.914685969782812
quality_pass,0,derivative_1,False,,,,,
quality_pass,0,derivative_2,False,,,,,
quality_pass,1,minimal_minmax,True,102.0,1.0,1.0,0.0,1.0
quality_pass,1,robust_minmax,True,102.0,0.9969712885154062,1.0,0.05947460429154626,0.9992728136293532
quality_pass,1,asls_minmax,True,102.0,0.9548892979345366,1.0,0.10993298807939024,0.9750146082968848
quality_pass,1,arpls_minmax,True,102.0,0.9261380249115373,1.0,0.16982689264359585,0.9620555593492679
quality_pass,1,derivative_1,False,,,,,
quality_pass,1,derivative_2,False,,,,,
quality_pass,2,minimal_minmax,True,92.0,1.0,1.0,0.0,1.0
quality_pass,2,robust_minmax,True,92.0,0.9937446308004997,1.0,0.12913596299222418,0.9995403836139803
quality_pass,2,asls_minmax,True,92.0,0.9523485066749385,1.0,0.14945423899729288,0.9141880895889523
quality_pass,2,arpls_minmax,True,92.0,0.9329074912092578,1.0,0.1890633940179892,0.8962099290967569
quality_pass,2,derivative_1,False,,,,,
quality_pass,2,derivative_2,False,,,,,
quality_pass,3,minimal_minmax,True,101.0,1.0,1.0,0.0,1.0
quality_pass,3,robust_minmax,True,101.0,0.9896680166028157,1.0,0.05080550345178216,0.9993173802907449
quality_pass,3,asls_minmax,True,101.0,0.9570130103710544,1.0,0.13380841483801562,0.9680013003231249
quality_pass,3,arpls_minmax,True,101.0,0.9341399244479106,1.0,0.18904544176100724,0.913576741093813
quality_pass,3,derivative_1,False,,,,,
quality_pass,3,derivative_2,False,,,,,
quality_pass,4,minimal_minmax,True,97.0,1.0,1.0,0.0,1.0
quality_pass,4,robust_minmax,True,97.0,0.9996956702136589,1.0,0.05859678411086566,0.9991916493412631
quality_pass,4,asls_minmax,True,97.0,0.9406985785352897,1.0,0.10105389621911287,0.9495641023698982
quality_pass,4,arpls_minmax,True,97.0,0.907160310598022,1.0,0.17619078280665515,0.9429264759230525
quality_pass,4,derivative_1,False,,,,,
quality_pass,4,derivative_2,False,,,,,
