representation,family,target_core,target_quality,target_centroid_core,instrument_leakage_increment,sensor_leakage_increment,composite_corruption_target,composite_prediction_agreement,same_master_cross_instrument_distance,cross_instrument_separation_margin,peak_recall,spectral_correlation_to_minimal
minimal_minmax,intensity,0.696657186643947,0.738976861058015,0.42355377454625576,0.6714937556604224,0.4415267700422499,0.6638923462302835,0.8566102620689666,0.7603972082971211,0.11334034090769998,1.0,1.0
robust_minmax,intensity,0.6964697901985415,0.7296906897677167,0.444634064806466,0.682082342759426,0.44217126457993333,0.6845338385280769,0.8585798127202542,0.768177942084708,0.1064171968833774,0.9964711651180241,0.9990988605043247
asls_minmax,intensity,0.7138823570911671,0.7546364454485981,0.5116381492631084,0.6608488361873779,0.44619965534981015,0.6544768170925004,0.8259466568096727,0.6999170720840427,0.14825632057601434,0.9607385022931126,0.9839614196121099
arpls_minmax,intensity,0.707092410513463,0.7417719302599981,0.4629996018973216,0.6107699068115735,0.44638619682118136,0.6525699656850359,0.7990735455416413,0.675259219599846,0.18578144613233408,0.9370704276513173,0.9442082665742613
derivative_1,derivative,0.7006163908237707,0.7390293844944058,0.6486507020956596,0.6396937637041804,0.43323589857568184,0.5502006159589931,0.6582835688354214,0.683602905874595,0.16283919703430647,,
derivative_2,derivative,0.6456295422323127,0.7108613680506047,0.6267152821434859,0.5273197863041613,0.4093525241515887,0.45226550430064644,0.5276402101054354,0.7072230671692525,0.15544193964200265,,
