space,held_out,prototype_mode,true_label,n,accuracy,mean_own_distance,mean_nearest_wrong_distance,mean_margin_wrong_minus_own,dominant_wrong_neighbor,dominant_prediction
derivative_input,Ag,row_mean,4np,25,0.72,1.0815908908843994,1.1517571210861206,0.07016617059707642,benzenethiol,4np
derivative_input,Ag,row_mean,benzenethiol,25,1.0,0.8571485280990601,1.197960376739502,0.3408118784427643,4np,benzenethiol
derivative_input,Ag,row_mean,pyridine,25,1.0,0.7600440382957458,1.172663688659668,0.41261959075927734,4np,pyridine
siamese_embedding,Ag,row_mean,4np,25,0.76,0.3231849670410156,0.38009777665138245,0.056912779808044434,benzenethiol,4np
siamese_embedding,Ag,row_mean,benzenethiol,25,1.0,0.18358707427978516,0.5202065110206604,0.33661940693855286,4np,benzenethiol
siamese_embedding,Ag,row_mean,pyridine,25,1.0,0.1663338840007782,0.5432727336883545,0.3769387900829315,4np,pyridine
derivative_input,Au,row_mean,benzenethiol,25,1.0,0.5632714033126831,1.0199353694915771,0.4566640853881836,4np,benzenethiol
derivative_input,Au,row_mean,pyridine,25,1.0,0.6570045948028564,1.0735604763031006,0.41655591130256653,4np,pyridine
siamese_embedding,Au,row_mean,benzenethiol,25,0.96,0.07795128226280212,0.8883123993873596,0.8103610277175903,pyridine,benzenethiol
siamese_embedding,Au,row_mean,pyridine,25,1.0,0.12400845438241959,1.002983808517456,0.8789752721786499,benzenethiol,pyridine
derivative_input,PICO,row_mean,4np,25,1.0,1.0302579402923584,1.2319741249084473,0.2017160952091217,pyridine,4np
derivative_input,PICO,row_mean,benzenethiol,25,0.96,1.0384656190872192,1.1745691299438477,0.13610337674617767,pyridine,benzenethiol
derivative_input,PICO,row_mean,pyridine,25,1.0,0.7980684041976929,1.2307140827178955,0.4326455593109131,4np,pyridine
siamese_embedding,PICO,row_mean,4np,25,1.0,0.08088111132383347,0.7750697135925293,0.6941885352134705,benzenethiol,4np
siamese_embedding,PICO,row_mean,benzenethiol,25,0.4,0.4997488856315613,0.4942674934864044,-0.00548139214515686,4np,4np
siamese_embedding,PICO,row_mean,pyridine,25,1.0,0.07049741595983505,1.104285717010498,1.0337883234024048,4np,pyridine
derivative_input,pSERS,row_mean,4np,25,1.0,0.9003875851631165,1.0832875967025757,0.18290004134178162,benzenethiol,4np
derivative_input,pSERS,row_mean,benzenethiol,25,1.0,0.6042186617851257,1.2079740762710571,0.6037554740905762,4np,benzenethiol
derivative_input,pSERS,row_mean,pyridine,25,1.0,0.8236331939697266,1.1553303003311157,0.3316972255706787,4np,pyridine
siamese_embedding,pSERS,row_mean,4np,25,1.0,0.22044433653354645,0.8704292178153992,0.6499848961830139,benzenethiol,4np
siamese_embedding,pSERS,row_mean,benzenethiol,25,1.0,0.14725777506828308,0.9474918246269226,0.8002340793609619,4np,benzenethiol
siamese_embedding,pSERS,row_mean,pyridine,25,1.0,0.1303865760564804,0.8681489825248718,0.737762451171875,benzenethiol,pyridine
