model,exact_match,micro_precision,micro_recall,micro_f1,mean_true_labels,mean_predicted_labels
Siamese+MLP 2-head (default 0.5),0.3064159292035398,0.6140888208269525,0.8871681415929203,0.7257918552036199,2.0,2.8893805309734515
Siamese+MLP 2-head (calibrated),0.3008849557522124,0.5719776380153738,0.9054203539823009,0.7010706638115631,2.0,3.165929203539823
Replicate-Dictionary Pair NNLS,0.9402654867256637,0.9701327433628318,0.9701327433628318,0.9701327433628318,2.0,2.0
Similarity-Supervised Coefficient Regressor,0.9690265486725663,0.9834070796460177,0.9834070796460177,0.9834070796460177,2.0,2.0
