size_penalty,min_share_threshold,score_combined_exact,existing_exact,existing_micro_f1,existing_mean_predicted_labels,pure_exact,pure_micro_f1,pure_mean_predicted_labels
0.01,0.03,0.9299999999999999,0.9,0.969335604770017,2.0482758620689654,1.0,1.0,1.0
0.01,0.05,0.9299999999999999,0.9,0.969335604770017,2.0482758620689654,1.0,1.0,1.0
0.01,0.08,0.9299999999999999,0.9,0.969335604770017,2.0482758620689654,1.0,1.0,1.0
0.005,0.08,0.9275862068965517,0.896551724137931,0.9669211195928753,2.06551724137931,1.0,1.0,1.0
0.01,0.0,0.9263793103448275,0.8948275862068965,0.968098681412165,2.053448275862069,1.0,1.0,1.0
0.005,0.05,0.9251724137931034,0.8931034482758621,0.9653130287648054,2.075862068965517,1.0,1.0,1.0
0.01,0.1,0.911896551724138,0.8741379310344828,0.9627089584226318,2.0224137931034485,1.0,1.0,1.0
0.02,0.0,0.9082758620689655,0.8689655172413793,0.9630266552020637,2.010344827586207,1.0,1.0,1.0
0.02,0.03,0.9082758620689655,0.8689655172413793,0.9630266552020637,2.010344827586207,1.0,1.0,1.0
0.02,0.05,0.9082758620689655,0.8689655172413793,0.9630266552020637,2.010344827586207,1.0,1.0,1.0
0.02,0.08,0.9082758620689655,0.8689655172413793,0.9630266552020637,2.010344827586207,1.0,1.0,1.0
0.02,0.1,0.9082758620689655,0.8689655172413793,0.9630266552020637,2.010344827586207,1.0,1.0,1.0
0.005,0.1,0.9070689655172413,0.8672413793103448,0.959349593495935,2.029310344827586,1.0,1.0,1.0
0.005,0.03,0.8805172413793103,0.8293103448275863,0.9504373177842566,2.139655172413793,1.0,1.0,1.0
0.0025,0.08,0.8503448275862069,0.7862068965517242,0.9400499583680266,2.1413793103448278,1.0,1.0,1.0
0.0025,0.1,0.8431034482758619,0.7758620689655172,0.9336691855583543,2.106896551724138,1.0,1.0,1.0
0.005,0.0,0.8370689655172414,0.7672413793103449,0.9363972096840377,2.2017241379310346,1.0,1.0,1.0
0.0,0.1,0.8358620689655172,0.7655172413793103,0.9309334449560486,2.1189655172413793,1.0,1.0,1.0
0.0025,0.05,0.8213793103448275,0.7448275862068966,0.9318645450836394,2.225862068965517,1.0,1.0,1.0
0.0,0.08,0.791206896551724,0.7017241379310345,0.9208809135399674,2.2275862068965515,1.0,1.0,1.0
0.03,0.0,0.7839655172413793,0.6913793103448276,0.9158036920306168,1.8293103448275863,1.0,1.0,1.0
0.03,0.03,0.7839655172413793,0.6913793103448276,0.9158036920306168,1.8293103448275863,1.0,1.0,1.0
0.03,0.05,0.7839655172413793,0.6913793103448276,0.9158036920306168,1.8293103448275863,1.0,1.0,1.0
0.03,0.08,0.7839655172413793,0.6913793103448276,0.9158036920306168,1.8293103448275863,1.0,1.0,1.0
0.03,0.1,0.7839655172413793,0.6913793103448276,0.9158036920306168,1.8293103448275863,1.0,1.0,1.0
0.0,0.05,0.7485794934391211,0.6431034482758621,0.9095977698128236,2.329310344827586,0.9946902654867257,0.9973521624007061,1.0053097345132744
0.0025,0.03,0.7175862068965517,0.596551724137931,0.8977987421383647,2.386206896551724,1.0,1.0,1.0
0.0025,0.0,0.6644827586206896,0.5206896551724138,0.8821938972576284,2.463793103448276,1.0,1.0,1.0
0.0,0.03,0.529504119621605,0.33620689655172414,0.8466666666666667,2.6551724137931036,0.9805309734513274,0.9903593339176161,1.0194690265486726
0.0,0.0,0.009026548672566371,0.0,0.7885477750948603,2.9982758620689656,0.03008849557522124,0.522181146025878,2.8300884955752212
