epoch,beta,train_loss,train_reconstruction_loss,train_kl_unnormalized,train_kl_normalized
1,0.0,0.07761791315607684,0.07761791315607684,291.0164813458584,0.20772054343030577
2,0.08,0.07328386253923681,0.05084528861389151,392.95551740921906,0.28048216802942116
3,0.16,0.04642924106562786,0.04077375240582015,49.520871840543194,0.035346803597818124
4,0.24,0.041403703237787644,0.03614087499971685,30.72176197545837,0.021928452516387132
5,0.32,0.03805632022599118,0.03509418342059817,12.968605102338666,0.009256677446351653
6,0.4,0.03686128378501529,0.034282629746824896,9.031735653725171,0.006446635013365575
7,0.48,0.035892909801587825,0.03324165012456798,7.738366058127742,0.005523458999377403
8,0.56,0.03403577269675249,0.03102620872782498,7.529284232105591,0.005374221436192428
9,0.64,0.03282609225493658,0.028431152474086237,9.620799043165139,0.006867094249225652
10,0.72,0.031471939138914364,0.02640457417096027,9.86024759947471,0.007038006851873454
11,0.8,0.031021603591055182,0.0263469483682407,8.186489251943735,0.005843318523871331
12,0.88,0.030218127325149235,0.025342445988312895,7.762307067749425,0.005540547514453551
13,0.96,0.03058597353578844,0.025060494739639155,8.063746230463597,0.005755707516390861
14,1.0,0.030178246771528843,0.025056059722129893,7.176184047677504,0.005122187043310139
15,1.0,0.029768864318420917,0.02455956268685173,7.298231650919672,0.005209301678029745
16,1.0,0.02926988209515642,0.024153306168166827,7.168322648161124,0.00511657576599652
17,1.0,0.029390642604673556,0.023789333913468286,7.847433814859301,0.00560130893280464
18,1.0,0.029067494010108944,0.023748887133195746,7.451368321173634,0.0053186069387392105
19,1.0,0.02812027165886385,0.02302387043288568,7.140058398470423,0.005096401426459974
20,1.0,0.02752451924694524,0.022399238906591068,7.180517498145184,0.005125280155706769
21,1.0,0.027100764449133657,0.021810424274731757,7.41176676437063,0.005290340302905518
22,1.0,0.02669298009314412,0.02095964665945766,8.032400585697024,0.005733333751389739
23,1.0,0.02635933953297183,0.020730828153455234,7.88554426697808,0.005628511254088565
24,1.0,0.02551582646792087,0.020463326771168727,7.078552614680822,0.005052500081856404
25,1.0,0.02575719132180733,0.02040866861298093,7.493280484126164,0.0053485228294976195
26,0.0,0.01884820426536434,0.01884820426536434,12.170786122220095,0.008687213506224194
27,0.08,0.018132578469742977,0.016478723261023103,28.963144656641173,0.020673193901956582
28,0.16,0.01894562759595673,0.015439208673826973,30.703082551652003,0.02191511959432691
29,0.24,0.019462734852230795,0.015917440194909167,20.695658202466554,0.014772061529240937
30,0.32,0.020046802856181843,0.016527440105381423,15.408210455588508,0.010998008890498578
31,0.4,0.020679230108074355,0.016674825953106494,14.025425141568926,0.010011010093910725
32,0.48,0.021127127767951136,0.016675826148121263,12.992236964027162,0.009273545299091478
33,0.56,0.0216391960483946,0.017013333772796627,11.57291573565628,0.008260468048291421
34,0.64,0.022201030894303187,0.017212073274977212,10.921140243143794,0.007795246426226834
35,0.72,0.022713894747882577,0.01764658851091231,9.860133171081543,0.0070379251756470685
36,0.8,0.023023208494928945,0.01760092976644607,9.495765287030705,0.006777848170614351
37,0.88,0.023478366944792124,0.01795140280970154,8.799177865821022,0.006280640874961472
38,0.96,0.02418185120507879,0.01829381029193218,8.592859858643495,0.006133376058988933
39,1.0,0.02383932106434516,0.01783389446813103,8.413602963173814,0.006005426811687233
40,1.0,0.0238548313419546,0.018347413976297595,7.715891712825696,0.00550741735390842
41,1.0,0.024050830893120666,0.018145436281250968,8.273457768710424,0.00590539455296961
42,1.0,0.02355563631857873,0.018098899570431762,7.644887884830668,0.005456736534497265
43,1.0,0.023442816971250814,0.01770591953556153,8.037393357024632,0.005736897471109659
44,1.0,0.023394732259032203,0.018054443442980857,7.481744939793342,0.005340289036255062
45,1.0,0.02349541637536285,0.01764134380190614,8.201555826426894,0.005854072681246891
46,1.0,0.02327137457916258,0.01777734875846759,7.697130358017855,0.005494025951475985
47,1.0,0.023075443208497193,0.01762269455135763,7.639300846472019,0.005452748641307651
48,1.0,0.022936035450862452,0.017575138393530927,7.510617084395818,0.005360897276513789
49,1.0,0.022957665153812288,0.017502121955827298,7.643215975663004,0.005455543166069239
50,1.0,0.02290044074238577,0.01742937240057658,7.664966858797628,0.005471068421697094
51,0.0,0.016106463940796664,0.016106463940796664,11.169493462310276,0.007972514962391347
52,0.08,0.01571616164354457,0.014389564218541248,23.232038941660697,0.016582468909108278
53,0.16,0.016634640481329992,0.013826342455092223,24.59015999770746,0.01755186295339576
54,0.24,0.01717287076962151,0.014136964596779999,17.722101116717198,0.012649608220354889
55,0.32,0.01763527229861627,0.014537281087664345,13.563393789652812,0.009681223261707932
56,0.4,0.01831106588901431,0.014790805070669745,12.329713057398125,0.008800651718342703
57,0.48,0.01885402464005558,0.014825859888130013,11.75720615637459,0.008392010104478652
58,0.56,0.01932712472751597,0.014911130013024718,11.047872840351728,0.007885705096610797
59,0.64,0.019905406709124402,0.01546023670744717,9.73075510994802,0.006945578236936489
60,0.72,0.020518129722933383,0.015487040075041899,9.78966191561987,0.006987624493661577
61,0.8,0.020654766035823616,0.015706325418142843,8.665956369260462,0.006185550584768352
62,0.88,0.021124722694674084,0.015974795538407888,8.198918367639939,0.005852190126795102
63,0.96,0.021454113397544588,0.015959791832133485,8.018275846012537,0.005723251852971119
64,1.0,0.022155968161338267,0.016626534291576265,7.7467373334444485,0.005529434213736223
65,1.0,0.021837789208871115,0.016193926152659625,7.90705233980075,0.005643863197573698
66,1.0,0.022172959902329023,0.016375217693342388,8.122637194048396,0.0057977424654164144
67,1.0,0.021721494606019857,0.016568365683307343,7.219533414822806,0.005153128775747898
68,1.0,0.02185046406878651,0.01628142727738138,7.802220230030969,0.005569036566760149
69,1.0,0.02145451271651386,0.016209286707497113,7.348561886327575,0.005245226185815542
70,1.0,0.021459743824366332,0.01631427168545591,7.2088070202052705,0.005145472534050871
71,1.0,0.02143833964475995,0.01624775963781251,7.272002885757646,0.005190580218242431
72,1.0,0.021369630212268283,0.015950950687335312,7.591570185004659,0.005418679646684268
73,1.0,0.021382339634210934,0.016395066013842764,6.987170593376232,0.004987273799697525
74,1.0,0.021460096419947904,0.016106875477040688,7.499863055588828,0.005353221310199021
75,1.0,0.021352234382119455,0.01619642146113442,7.22329380185698,0.005155812849291206
76,0.0,0.014880779754950562,0.014880779754950562,11.240738169113646,0.008023367715284543
77,0.08,0.01484597372293025,0.013546671630992898,22.754029730247513,0.016241277466272314
78,0.16,0.01573037088797978,0.01328513343201681,21.41111143087133,0.015282734782920292
79,0.24,0.016056655264873664,0.013331235461566058,15.909638739437368,0.011355916302239377
80,0.32,0.016579581602820758,0.013785416964532398,12.233200967871003,0.00873176371725268
81,0.4,0.017097925721872145,0.013927197220121942,11.10547610921663,0.007926820920211727
82,0.48,0.017607665605018332,0.013873053286539122,10.900399859358625,0.007780442440655693
83,0.56,0.018214246691475443,0.014232926916393957,9.960409114329497,0.0071094997247177
84,0.64,0.01883811220233145,0.014501358314258297,9.493425863097801,0.0067761783462511075
85,0.72,0.019354334981731135,0.014662831041465669,9.128884517676834,0.006515977528677255
86,0.8,0.019848299235468957,0.015086157320811646,8.339701187319871,0.005952677507009187
87,0.88,0.020192722302440406,0.015034782141097602,8.211675479309196,0.005861295845331333
88,0.96,0.020563754747581528,0.01518020304845992,7.856620913822253,0.005607866462399895
89,1.0,0.020806473342607438,0.01540202543656665,7.571632012193691,0.00540444825995267
90,1.0,0.020815150644525354,0.015560244360334095,7.362124103989879,0.005254906569585924
91,1.0,0.020918631384509143,0.01578414514241478,7.193415256199649,0.005134486264239578
92,1.0,0.020812233997330655,0.015491184687650785,7.454790237920593,0.005321049420357311
93,1.0,0.02075979769523439,0.015580868456813229,7.255679653912056,0.005178929089159212
94,1.0,0.02064629810151083,0.015494165159272655,7.21813768651651,0.005152132538555681
95,1.0,0.020669705749927946,0.015467334136814158,7.288522539621893,0.005202371548623764
96,1.0,0.02047233537929814,0.015359369988988309,7.163264577876336,0.0051129654374563425
97,1.0,0.020551314151113744,0.015482591690520072,7.1012803394396355,0.00506872258346869
98,1.0,0.02067510590069066,0.01551226448917702,7.233141015215618,0.00516284155261643
99,1.0,0.020600550135293553,0.015395014055814126,7.2929558977624485,0.005205535972706958
