epoch,beta,learning_rate,train_loss,train_reconstruction_loss,train_kl_unnormalized,train_kl_normalized,mean_unclipped_gradient_norm
1,0.0,0.001,0.08277736446569188,0.08277736446569188,15.50998188566501,0.011070650881987873,0.08365825882979802
2,0.02,0.001,0.07736769596335269,0.07617744202878073,83.3773630368019,0.05951275020471227,0.07272544183901378
3,0.04,0.001,0.06992788984433229,0.0642428234576128,199.11942481514188,0.1421266415525638,0.13527180893080576
4,0.06,0.001,0.057343018342100406,0.048445648769437515,207.7535679238269,0.14828948459944818,0.1267135324222701
5,0.08,0.001,0.046506750737539765,0.04187799300482351,81.06112250032594,0.0578594735905253,0.0729112374995436
6,0.1,0.001,0.0429165195157606,0.03926340171537111,51.180189329671016,0.036531184389486805,0.04520397260785103
7,0.12,0.001,0.04082115987311082,0.03801604602438977,32.74971321547962,0.02337595518592407,0.056216739384191375
8,0.14,0.001,0.03900048409773961,0.036546296264122355,24.559410700569824,0.017529914846944914,0.04547983381365027
9,0.16,0.001,0.03669978338540051,0.034253146790287056,21.423361295416612,0.015291478440697082,0.04483003222516605
10,0.18,0.001,0.034057223029265775,0.0313357413002766,21.182203653177027,0.0151193459337452,0.036504956760576794
11,0.2,0.001,0.03186684566308329,0.02832037161200563,24.843053707247716,0.017732372382046908,0.03190015934939895
12,0.22,0.001,0.030445804950835122,0.026844466724421274,22.933978429068848,0.016369720506116237,0.05327641471688237
13,0.24,0.001,0.02971423154588911,0.026269548593712996,20.108336888272454,0.014352845744662708,0.05232059636286327
14,0.25,0.001,0.028105354152375864,0.024224295916612862,21.749449919693415,0.015524232633614143,0.04576074917401586
15,0.25,0.001,0.026719494654752447,0.02333205251928691,18.983226877015543,0.01354976936260924,0.05154523812234402
16,0.25,0.001,0.0247424684830892,0.02109999608445528,20.412415343508012,0.014569889609927203,0.031426046043634415
17,0.25,0.001,0.023049712532976413,0.019256307971042108,21.258239491460305,0.015173618480699718,0.03032030990081174
18,0.25,0.001,0.02177634767681285,0.01801575804293456,21.074344428420368,0.015042358621285059,0.05862457850681884
19,0.25,0.001,0.020790055511467703,0.01716923879773851,20.29105775001968,0.01448326748752297,0.0576861138854708
20,0.25,0.001,0.02010108740714095,0.016454128074630984,20.437559127807617,0.014587836636550762,0.037581149488687515
21,0.25,0.001,0.019338245932904237,0.015656482376702488,20.632605713620894,0.014727056183883579,0.02967847657522985
22,0.25,0.001,0.018869255352718405,0.014975842740621314,21.818683340807706,0.015573649779306,0.021650578028389385
23,0.25,0.001,0.018487979078510547,0.014751074948261307,20.9416113644463,0.014947616962488437,0.029110424619700228
24,0.25,0.001,0.01809549053441217,0.014024702419224254,22.81269913296255,0.016283154270494326,0.027332539670169353
25,0.25,0.001,0.018021121278630398,0.014218674487051946,21.308912531855125,0.015209787674414792,0.032671568649155755
26,0.0,0.001,0.013203701834834793,0.013203701834834793,26.928124002605603,0.019220645255250253,0.044226519763469696
27,0.02,0.001,0.01228774977749406,0.011652194552348753,44.520644766858005,0.0317777621462227,0.03091383446007967
28,0.04,0.001,0.012618038540598127,0.010800426314474653,63.66187259472287,0.04544030877567657,0.026128604875079224
29,0.06,0.001,0.013340578782806168,0.010524322407822164,65.75959431914899,0.046937611933725185,0.032333268384848325
30,0.08,0.001,0.013611395186474851,0.010515350243193977,54.219486515227736,0.038700561395594385,0.02642548456788063
31,0.1,0.001,0.013817739124018088,0.011008335117916917,39.35975102153173,0.028094040700593667,0.027064984797367027
