stage,control,outer_fold,candidate_id,representation,architecture,embedding_dimension,declared_seed,run_seed,epochs,n_test,n_supported,n_unsupported,balanced_accuracy,macro_f1,accuracy,negative_log_likelihood,brier_multiclass,expected_calibration_error_10,same_analyte_distance,different_analyte_distance,different_minus_same_margin,same_master_cross_instrument_distance,embedding_effective_rank,analyte_probe_balanced_accuracy,instrument_probe_balanced_accuracy,sensor_probe_balanced_accuracy,analyte_heldout_master_probe_balanced_accuracy,analyte_heldout_master_probe_n_supported,analyte_heldout_master_probe_supported_fraction,instrument_heldout_master_probe_balanced_accuracy,instrument_heldout_master_probe_n_supported,instrument_heldout_master_probe_supported_fraction,sensor_heldout_master_probe_balanced_accuracy,sensor_heldout_master_probe_n_supported,sensor_heldout_master_probe_supported_fraction,classifier_parameters,encoder_parameters,total_parameters,state_sha256
negative_control,master_group_analyte_label_permutation,0,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,657628022,70,118,118,0,0.14476190476190479,0.14223930603240947,0.16101694915254236,2.407574428284097,1.0219272479551986,0.3211223046479344,0.9252257943153381,0.99664306640625,0.07141727209091187,0.9316551089286804,4.862794399261475,0.14476190476190479,0.14466422466422466,0.2997242715552575,0.22611111111111107,98,0.8305084745762712,0.12098595848595847,118,1.0,0.2656805027697046,112,0.9491525423728814,231,361152,361383,01614e530dac5739932d16b5757739f4a3792fb241197d0f3dc50491a85c415c
negative_control,randomized_domain_relationships,0,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,1802495769,70,118,118,0,0.7614285714285715,0.7661380487467444,0.788135593220339,0.8262882117846718,0.36099478091465814,0.14217117931540554,0.5974940657615662,1.2259920835494995,0.6284980177879333,0.60564786195755,5.857522964477539,0.7685714285714287,0.045245726495726495,0.0940923317683881,0.7111111111111111,98,0.8305084745762712,0.23308150183150184,118,1.0,0.6224383337059393,112,0.9491525423728814,231,361152,361383,4fefb6849feb9da00c7648f1f5243ee8609ca1af564bb64fa556423fbfcab5d4
negative_control,master_group_analyte_label_permutation,1,full_domain_aware__minimal_minmax__legacy64__051dfe345fd2,minimal_minmax,legacy,64,1729,1849037372,66,119,119,0,0.20699808527530003,0.20477187614467107,0.21008403361344538,2.168678723198292,0.9650997881983916,0.32070516999265364,1.0344345569610596,1.1324139833450317,0.09797942638397217,1.030556082725525,10.228729248046875,0.1959533927987671,0.23140203449800972,0.4345853273597393,0.20144927536231885,59,0.4957983193277311,0.17396022736580014,118,0.9915966386554622,0.3648728914231409,112,0.9411764705882353,455,719584,720039,1ad9c0bfc89c200d6489ba3959083d5c42431c2fe76c838537a7d0451c1a584c
negative_control,randomized_domain_relationships,1,full_domain_aware__minimal_minmax__legacy64__051dfe345fd2,minimal_minmax,legacy,64,1729,657139918,66,119,119,0,0.7128558975077446,0.7037825520776826,0.7310924369747899,0.9110190441846676,0.41145612986273716,0.08329294876895033,0.6539924144744873,1.2187947034835815,0.5648022890090942,0.6780805587768555,8.208173751831055,0.7298985040240352,0.05263157894736842,0.4350562570003055,0.8273550724637682,59,0.4957983193277311,0.33927179058758006,118,0.9915966386554622,0.4863557682517055,112,0.9411764705882353,455,719584,720039,c6ffaf15736373a72533d75ad1479e5357bd2131a65a300406cc8c6ea5580f4a
negative_control,master_group_analyte_label_permutation,2,full_domain_aware__minimal_minmax__legacy32__b3af07d3bce0,minimal_minmax,legacy,32,1729,1993225291,72,117,117,0,0.21281179138321996,0.2180756918151876,0.23076923076923078,2.1881246108931345,0.968360930110165,0.2789782699750164,1.0262513160705566,1.1252306699752808,0.09897935390472412,1.045519471168518,9.130578994750977,0.178656462585034,0.2321288798920378,0.5605911330049261,0.3601190476190476,99,0.8461538461538461,0.22726407364565254,117,1.0,0.4355090311986864,115,0.9829059829059829,231,361152,361383,afb16dd228f1bbb243e046ee6ebd8dc4afd7bc8f399186ec52a39f21eab5c479
negative_control,randomized_domain_relationships,2,full_domain_aware__minimal_minmax__legacy32__b3af07d3bce0,minimal_minmax,legacy,32,1729,574468348,72,117,117,0,0.7688492063492064,0.7218575284364758,0.7521367521367521,0.8445865481098351,0.37750090724143326,0.08561196997013368,0.7243639230728149,1.254241704940796,0.529877781867981,0.8006735444068909,7.616717338562012,0.7708333333333333,0.07052125506072875,0.15588054187192119,0.8055555555555557,99,0.8461538461538461,0.31769688644688643,117,1.0,0.5401477832512315,115,0.9829059829059829,231,361152,361383,9e4307ea677bca69a9edad670a7a89176ade9a2942676e50fe48ecdd820137af
negative_control,master_group_analyte_label_permutation,3,full_domain_aware__minimal_minmax__legacy32__7c6a92f7ab2d,minimal_minmax,legacy,32,1729,1946134086,66,120,120,0,0.12268009768009769,0.11551978764602354,0.125,2.579438948209356,1.1082404396152365,0.410512617603887,1.1319432258605957,1.1937077045440674,0.06176447868347168,1.1317729949951172,8.608427047729492,0.12268009768009769,0.16545787545787546,0.28369218500797444,0.2642361111111111,78,0.65,0.16157701947175632,120,1.0,0.2965011961722488,120,1.0,231,361152,361383,01333d6bddf07d6223de8715cd07c3a3420cab92ea59718e1d28e4214da22f47
negative_control,randomized_domain_relationships,3,full_domain_aware__minimal_minmax__legacy32__7c6a92f7ab2d,minimal_minmax,legacy,32,1729,412460534,66,120,120,0,0.6997100122100122,0.7005065965896294,0.7166666666666667,0.9716176580903851,0.4485666462441778,0.10842904470512811,0.7311249375343323,1.2210437059402466,0.4899187684059143,0.7758201956748962,8.273508071899414,0.6827686202686202,0.12412575556538405,0.165420653907496,0.734375,78,0.65,0.22643614125812267,120,1.0,0.4409888357256778,120,1.0,231,361152,361383,4f4d97a2e73ba65f1bd896bc353931e38a044c0cf6cfd5e7363ec2d9be9492bd
negative_control,master_group_analyte_label_permutation,4,full_domain_aware__minimal_minmax__legacy32__0a620682d4c2,minimal_minmax,legacy,32,1729,1496441805,72,124,124,0,0.11082766439909296,0.10377165334325676,0.12096774193548387,2.6821104122316233,1.0956186644070853,0.37340305479333397,1.0214706659317017,1.1088835000991821,0.08741283416748047,1.0197336673736572,9.442954063415527,0.12380080237223094,0.17553921568627454,0.4415830546265329,0.3807301373090847,111,0.8951612903225806,0.22449382388001315,124,1.0,0.5757277344233865,124,1.0,231,361152,361383,a4649acafa902e6cd18efc38d3c98a4ef5bbf8ebc72de44a5078ca489589b7cf
negative_control,randomized_domain_relationships,4,full_domain_aware__minimal_minmax__legacy32__0a620682d4c2,minimal_minmax,legacy,32,1729,1277404536,72,124,124,0,0.647578768349445,0.6361522993632153,0.6693548387096774,0.9717861532851783,0.4548529938445619,0.1063070056088345,0.6945661306381226,1.2294033765792847,0.5348372459411621,0.7507306933403015,7.182261943817139,0.6660865763309374,0.13149429073342117,0.35803914282175153,0.7089498586209112,111,0.8951612903225806,0.32760788373320343,124,1.0,0.6007370246500682,124,1.0,231,361152,361383,e009ddb7b856d853b4e5ee574cdb5d49860b6e82a99cd6438e05b966b68a357e
