stage,training_subset,evaluation_subset,outer_fold,variant,candidate_id,representation,architecture,embedding_dimension,declared_seed,run_seed,epochs,temperature,rejection_score,rejection_selected,rejection_selection_source,requested_coverage,n_retained,realized_coverage,accuracy,selective_risk,confidence_threshold
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,calibrated_max_probability,True,cross_fitted_development,1.0,118,1.0,0.7711864406779662,0.22881355932203384,0.32664583641826384
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,calibrated_max_probability,True,cross_fitted_development,0.9,107,0.9067796610169492,0.8317757009345794,0.16822429906542058,0.5338675378093949
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,calibrated_max_probability,True,cross_fitted_development,0.8,95,0.8050847457627118,0.8631578947368421,0.13684210526315788,0.702183023881934
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,calibrated_max_probability,True,cross_fitted_development,0.7,83,0.7033898305084746,0.8674698795180723,0.1325301204819277,0.767527320685675
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,calibrated_max_probability,True,cross_fitted_development,0.5,59,0.5,0.9152542372881356,0.0847457627118644,0.8441294724913945
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,energy,False,cross_fitted_development,1.0,118,1.0,0.7711864406779662,0.22881355932203384,1.522667407989502
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,energy,False,cross_fitted_development,0.9,107,0.9067796610169492,0.8317757009345794,0.16822429906542058,1.872215747833252
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,energy,False,cross_fitted_development,0.8,95,0.8050847457627118,0.8736842105263158,0.12631578947368416,2.019217014312744
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,energy,False,cross_fitted_development,0.7,83,0.7033898305084746,0.9036144578313253,0.09638554216867468,2.0824360847473145
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,energy,False,cross_fitted_development,0.5,59,0.5,0.8813559322033898,0.11864406779661019,2.198854446411133
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,class_conditional_embedding_mahalanobis,False,cross_fitted_development,1.0,118,1.0,0.7711864406779662,0.22881355932203384,-2851.268798828125
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,class_conditional_embedding_mahalanobis,False,cross_fitted_development,0.9,107,0.9067796610169492,0.794392523364486,0.20560747663551404,-1589.0201416015625
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,class_conditional_embedding_mahalanobis,False,cross_fitted_development,0.8,95,0.8050847457627118,0.8526315789473684,0.1473684210526316,-562.809326171875
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,class_conditional_embedding_mahalanobis,False,cross_fitted_development,0.7,83,0.7033898305084746,0.891566265060241,0.10843373493975905,-251.8236083984375
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,class_conditional_embedding_mahalanobis,False,cross_fitted_development,0.5,59,0.5,0.9152542372881356,0.0847457627118644,-45.72218322753906
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,2718,713018678,70,0.8214659729062531,calibrated_max_probability,True,cross_fitted_development,1.0,118,1.0,0.8220338983050848,0.17796610169491522,0.3284995581429252
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,2718,713018678,70,0.8214659729062531,calibrated_max_probability,True,cross_fitted_development,0.9,107,0.9067796610169492,0.8411214953271028,0.15887850467289721,0.530878364270759
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,2718,713018678,70,0.8214659729062531,calibrated_max_probability,True,cross_fitted_development,0.8,95,0.8050847457627118,0.8842105263157894,0.11578947368421055,0.7399396417843606
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,2718,713018678,70,0.8214659729062531,calibrated_max_probability,True,cross_fitted_development,0.7,83,0.7033898305084746,0.9156626506024096,0.08433734939759041,0.8383418804931679
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,2718,713018678,70,0.8214659729062531,calibrated_max_probability,True,cross_fitted_development,0.5,59,0.5,0.9152542372881356,0.0847457627118644,0.8764099023562946
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,2718,713018678,70,0.8214659729062531,energy,False,cross_fitted_development,1.0,118,1.0,0.8220338983050848,0.17796610169491522,1.3971648216247559
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,2718,713018678,70,0.8214659729062531,energy,False,cross_fitted_development,0.9,107,0.9067796610169492,0.8411214953271028,0.15887850467289721,1.7428797483444214
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,2718,713018678,70,0.8214659729062531,energy,False,cross_fitted_development,0.8,95,0.8050847457627118,0.8842105263157894,0.11578947368421055,1.8873015642166138
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,2718,713018678,70,0.8214659729062531,energy,False,cross_fitted_development,0.7,83,0.7033898305084746,0.9036144578313253,0.09638554216867468,2.0884387493133545
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,2718,713018678,70,0.8214659729062531,energy,False,cross_fitted_development,0.5,59,0.5,0.8983050847457628,0.10169491525423724,2.258558988571167
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,2718,713018678,70,0.8214659729062531,class_conditional_embedding_mahalanobis,False,cross_fitted_development,1.0,118,1.0,0.8220338983050848,0.17796610169491522,-3644.465576171875
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,2718,713018678,70,0.8214659729062531,class_conditional_embedding_mahalanobis,False,cross_fitted_development,0.9,107,0.9067796610169492,0.8411214953271028,0.15887850467289721,-1674.8604736328125
