stage,training_subset,evaluation_subset,outer_fold,variant,candidate_id,representation,architecture,embedding_dimension,declared_seed,run_seed,epochs,temperature,n_test,n_supported,n_unsupported,balanced_accuracy,macro_f1,accuracy,negative_log_likelihood,brier_multiclass,expected_calibration_error_10,same_analyte_distance,different_analyte_distance,different_minus_same_margin,same_master_cross_instrument_distance,embedding_effective_rank,analyte_probe_balanced_accuracy,instrument_probe_balanced_accuracy,sensor_probe_balanced_accuracy,analyte_heldout_master_probe_balanced_accuracy,analyte_heldout_master_probe_n_supported,analyte_heldout_master_probe_supported_fraction,instrument_heldout_master_probe_balanced_accuracy,instrument_heldout_master_probe_n_supported,instrument_heldout_master_probe_supported_fraction,sensor_heldout_master_probe_balanced_accuracy,sensor_heldout_master_probe_n_supported,sensor_heldout_master_probe_supported_fraction,encoder_parameters,classifier_parameters,total_parameters,state_sha256
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,118,118,0,0.7438095238095238,0.7518359917665667,0.7711864406779662,0.7349805369289735,0.32556102043445795,0.0835609011862863,0.6139239072799683,1.1888055801391602,0.5748816728591919,0.6200597882270813,6.307369709014893,0.7557142857142857,0.28237179487179487,0.6103472687979731,0.7677777777777779,98.0,0.8305084745762712,0.21874236874236877,118.0,1.0,0.6956305735648458,112.0,0.9491525423728814,361152,231,361383,c9428db135a618529f3f6b77a3ad843fb5eeab61b6f588863c5120f0e5c2c63d
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,2718,713018678,70,0.8214659729062531,118,118,0,0.8014285714285714,0.8075605639104377,0.8220338983050848,0.732285954071787,0.30234387746734,0.02934530080002264,0.6338281631469727,1.2526743412017822,0.6188461780548096,0.6301829218864441,7.138838768005371,0.7899999999999999,0.2820283882783883,0.6041061181906252,0.7305555555555556,98.0,0.8305084745762712,0.2225656288156288,118.0,1.0,0.6233201679211069,112.0,0.9491525423728814,361152,231,361383,3963a96dbde1bb536d15958dab3845f160ced105347fbdca3caea61cdbe31ddd
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,3141,1055240366,70,0.8214659729062531,118,118,0,0.7971428571428572,0.7927884169334238,0.8050847457627118,0.7702290068499814,0.32567938727056056,0.11411493381786691,0.5714922547340393,1.1912850141525269,0.6197927594184875,0.5870276689529419,5.294123649597168,0.7819047619047618,0.2608974358974359,0.5452436843281914,0.7816666666666666,98.0,0.8305084745762712,0.1867445054945055,118.0,1.0,0.591313311970589,112.0,0.9491525423728814,361152,231,361383,d2097cb63c34ec7e823259552489e02db8e5e320d5b009e87b80442d959e8f10
outer,strict_core,strict_core,0,cross_entropy_only,cross_entropy_only__arpls_minmax__legacy32__1ce34d27141c,arpls_minmax,legacy,32,1729,142000702,70,1.0,118,118,0,0.7566666666666667,0.7611400654846225,0.7796610169491526,0.7352856630730404,0.3215840713319266,0.07691278971624937,0.6302484273910522,1.2091031074523926,0.5788546800613403,0.6450557112693787,7.632870674133301,0.7623809523809524,0.26009615384615387,0.7125717266562337,,,,,,,,,,361152,231,361383,bd91587bd1f31c00748f226842b58e3411ecac7a27cf77db8882fdd47260857c
outer,strict_core,strict_core,0,cross_entropy_only,cross_entropy_only__arpls_minmax__legacy32__1ce34d27141c,arpls_minmax,legacy,32,2718,928104089,70,1.0,118,118,0,0.7847619047619048,0.780824694381074,0.7966101694915254,0.6943995002187153,0.2922498510193607,0.0728635238279432,0.6218216419219971,1.2497196197509766,0.6278979778289795,0.6343866586685181,8.238375663757324,0.8109523809523809,0.2953754578754578,0.6292570236232209,,,,,,,,,,361152,231,361383,05dfb7cb5f12297d9116c002ae6747bf6d4c921af57c29f38c65b07e0935ad18
outer,strict_core,strict_core,0,cross_entropy_only,cross_entropy_only__arpls_minmax__legacy32__1ce34d27141c,arpls_minmax,legacy,32,3141,1053004972,70,1.0,118,118,0,0.8104761904761906,0.803977130867887,0.8050847457627118,0.7312716441983514,0.3197973332857255,0.10354640650505142,0.649566113948822,1.23209547996521,0.5825293660163879,0.6652365922927856,8.104334831237793,0.7961904761904762,0.3022130647130647,0.6914449660928534,,,,,,,,,,361152,231,361383,754b94004e328247331bc499f8cce317a06255921912d18e36844229cee5550e
outer,strict_core,strict_core,0,supervised_contrastive_only,supervised_contrastive_only__arpls_minmax__legacy32__809317046e24,arpls_minmax,legacy,32,1729,2119173188,70,1.0,118,118,0,0.758095238095238,0.7638799006596682,0.7711864406779662,1.032469857991325,0.4538647665704367,0.28287706889050035,0.5404941439628601,1.2705810070037842,0.7300868630409241,0.5450602173805237,5.7850728034973145,0.7509523809523809,0.23157051282051283,0.5767754676205381,,,,,,,,,,361152,231,361383,84f02c01260c8e1b90aecc58827a746bd51019bcf04f78cd2781fcfaf87b99e5
outer,strict_core,strict_core,0,supervised_contrastive_only,supervised_contrastive_only__arpls_minmax__legacy32__809317046e24,arpls_minmax,legacy,32,2718,1682837152,70,1.0,118,118,0,0.7990476190476191,0.8036159020937838,0.8220338983050848,0.9918150318772103,0.44223007354580873,0.3510172812544644,0.48436373472213745,1.2800019979476929,0.7956382632255554,0.5136811137199402,5.756684303283691,0.7919047619047619,0.23202075702075703,0.6999869587897757,,,,,,,,,,361152,231,361383,4810c3e35aaec7bb5894557ceaba88ed6f0fe9e30eb243d0ca26692310c8d616
outer,strict_core,strict_core,0,supervised_contrastive_only,supervised_contrastive_only__arpls_minmax__legacy32__809317046e24,arpls_minmax,legacy,32,3141,101234752,70,1.0,118,118,0,0.7590476190476191,0.7543937683035428,0.7627118644067796,1.1672324438919883,0.537579274496572,0.3481526003716314,0.5552939176559448,1.1973919868469238,0.642098069190979,0.5575509071350098,4.292749881744385,0.770952380952381,0.2870421245421246,0.5555928161561964,,,,,,,,,,361152,231,361383,f2377267edfc9d4185e39fdd8391d911d8a36099d46fe2d1715ccbc0adcfd7e8
outer,strict_core,strict_core,0,ce_plus_supervised_contrastive,ce_plus_supervised_contrastive__arpls_minmax__legacy32__7367f3fcfe1d,arpls_minmax,legacy,32,1729,1853933850,70,1.0,118,118,0,0.7661904761904762,0.7779921622731196,0.788135593220339,0.7183694623246357,0.31553531267857493,0.09529077300945295,0.602864682674408,1.281310796737671,0.6784461140632629,0.6143882274627686,6.954158782958984,0.7852380952380953,0.24426129426129423,0.5671249720545495,,,,,,,,,,361152,231,361383,85ed676242e84c347dce9b127eee58b8c9bd2678a2b973dcb24d25cd29d331a0
