stage,scenario,outer_fold,model_family,model,representation,curriculum,seed,balanced_accuracy_supported,macro_f1_supported,macro_f1_union,n_test,n_test_supported,n_test_unsupported,unsupported_classes,reconstruction_mse,reconstruction_smooth_l1,reconstruction_spectral_angle,reconstruction_median_row_correlation,reconstruction_first_derivative_mae,repeatable_peak_recall,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change
outer,nato_outer_o0__train_strict_core__test_strict_core,0,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,0.7466666666666667,0.7526723316367239,0.7526723316367239,118,118,0,,,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,0.6961904761904761,0.6664488454386587,0.6664488454386587,118,118,0,,,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0,siamese,deterministic_edge_triplet,derivative_1,triplet,3141,0.7447619047619048,0.7359315927962696,0.7359315927962696,118,118,0,,,,,,,,,,
outer,nato_outer_o0__train_quality_pass__test_quality_pass,0,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,0.7000566893424036,0.6671166303210879,0.6671166303210879,103,103,0,,,,,,,,,,
outer,nato_outer_o0__train_quality_pass__test_quality_pass,0,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,0.7259070294784581,0.698095321536644,0.698095321536644,103,103,0,,,,,,,,,,
outer,nato_outer_o0__train_quality_pass__test_quality_pass,0,siamese,deterministic_edge_triplet,derivative_1,triplet,3141,0.761592970521542,0.7370382513368486,0.7370382513368486,103,103,0,,,,,,,,,,
outer,nato_outer_o0__train_quality_pass__test_field_quality_stress,0,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,0.5416666666666666,0.4781746031746032,0.4098639455782313,15,15,0,,,,,,,,,,
outer,nato_outer_o0__train_quality_pass__test_field_quality_stress,0,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,0.5972222222222222,0.553968253968254,0.4748299319727891,15,15,0,,,,,,,,,,
outer,nato_outer_o0__train_quality_pass__test_field_quality_stress,0,siamese,deterministic_edge_triplet,derivative_1,triplet,3141,0.5555555555555556,0.5138888888888888,0.4404761904761904,15,15,0,,,,,,,,,,
outer,nato_outer_o1__train_strict_core__test_strict_core,1,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,0.6860456654057504,0.6794535027025923,0.6794535027025923,119,119,0,,,,,,,,,,
outer,nato_outer_o1__train_strict_core__test_strict_core,1,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,0.5880975731253599,0.5806847699731045,0.5806847699731045,119,119,0,,,,,,,,,,
outer,nato_outer_o1__train_strict_core__test_strict_core,1,siamese,deterministic_edge_triplet,derivative_1,triplet,3141,0.6183696819688974,0.6181057623422156,0.6181057623422156,119,119,0,,,,,,,,,,
outer,nato_outer_o1__train_quality_pass__test_quality_pass,1,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,0.6825445086314652,0.6769297701191388,0.6769297701191388,104,104,0,,,,,,,,,,
outer,nato_outer_o1__train_quality_pass__test_quality_pass,1,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,0.6043775065514195,0.6114041756721029,0.6114041756721029,104,104,0,,,,,,,,,,
outer,nato_outer_o1__train_quality_pass__test_quality_pass,1,siamese,deterministic_edge_triplet,derivative_1,triplet,3141,0.588061696757349,0.5601977203306107,0.5601977203306107,104,104,0,,,,,,,,,,
outer,nato_outer_o1__train_quality_pass__test_field_quality_stress,1,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,0.375,0.4046296296296296,0.3468253968253968,15,15,0,,,,,,,,,,
outer,nato_outer_o1__train_quality_pass__test_field_quality_stress,1,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,0.3611111111111111,0.3148148148148148,0.3148148148148148,15,15,0,,,,,,,,,,
outer,nato_outer_o1__train_quality_pass__test_field_quality_stress,1,siamese,deterministic_edge_triplet,derivative_1,triplet,3141,0.3611111111111111,0.2851851851851852,0.2444444444444444,15,15,0,,,,,,,,,,
outer,nato_outer_o2__train_strict_core__test_strict_core,2,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,0.6376133786848072,0.5930758490455519,0.5930758490455519,117,117,0,,,,,,,,,,
outer,nato_outer_o2__train_strict_core__test_strict_core,2,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,0.5184807256235828,0.4940839099878001,0.4940839099878001,117,117,0,,,,,,,,,,
outer,nato_outer_o2__train_strict_core__test_strict_core,2,siamese,deterministic_edge_triplet,derivative_1,triplet,3141,0.6849489795918368,0.6417334707725565,0.6417334707725565,117,117,0,,,,,,,,,,
outer,nato_outer_o2__train_quality_pass__test_quality_pass,2,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,0.7040977655884488,0.6365197003070756,0.6365197003070756,95,95,0,,,,,,,,,,
outer,nato_outer_o2__train_quality_pass__test_quality_pass,2,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,0.641488084034668,0.5564363646033337,0.5564363646033337,95,95,0,,,,,,,,,,
outer,nato_outer_o2__train_quality_pass__test_quality_pass,2,siamese,deterministic_edge_triplet,derivative_1,triplet,3141,0.6583649269984674,0.5740506549808876,0.5740506549808876,95,95,0,,,,,,,,,,
outer,nato_outer_o2__train_quality_pass__test_field_quality_stress,2,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,0.219047619047619,0.2166666666666666,0.2166666666666666,22,22,0,,,,,,,,,,
outer,nato_outer_o2__train_quality_pass__test_field_quality_stress,2,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,0.3095238095238095,0.2666666666666666,0.2666666666666666,22,22,0,,,,,,,,,,
outer,nato_outer_o2__train_quality_pass__test_field_quality_stress,2,siamese,deterministic_edge_triplet,derivative_1,triplet,3141,0.3142857142857142,0.3048855905998762,0.3048855905998762,22,22,0,,,,,,,,,,
outer,nato_outer_o3__train_strict_core__test_strict_core,3,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,0.6511904761904762,0.6479106484616403,0.6479106484616403,120,120,0,,,,,,,,,,
outer,nato_outer_o3__train_strict_core__test_strict_core,3,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,0.5702075702075702,0.5650625057204004,0.5650625057204004,120,120,0,,,,,,,,,,
outer,nato_outer_o3__train_strict_core__test_strict_core,3,siamese,deterministic_edge_triplet,derivative_1,triplet,3141,0.6028693528693528,0.5938583151676762,0.5938583151676762,120,120,0,,,,,,,,,,
outer,nato_outer_o3__train_quality_pass__test_quality_pass,3,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,0.6450441371494005,0.6336012021263436,0.6336012021263436,101,101,0,,,,,,,,,,
outer,nato_outer_o3__train_quality_pass__test_quality_pass,3,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,0.6535578456631088,0.6547944601981869,0.6547944601981869,101,101,0,,,,,,,,,,
outer,nato_outer_o3__train_quality_pass__test_quality_pass,3,siamese,deterministic_edge_triplet,derivative_1,triplet,3141,0.6905264326316958,0.6868643903973423,0.6868643903973423,101,101,0,,,,,,,,,,
outer,nato_outer_o3__train_quality_pass__test_field_quality_stress,3,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,0.2976190476190475,0.3503401360544217,0.3503401360544217,19,19,0,,,,,,,,,,
outer,nato_outer_o3__train_quality_pass__test_field_quality_stress,3,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,0.3095238095238095,0.3030612244897959,0.3030612244897959,19,19,0,,,,,,,,,,
outer,nato_outer_o3__train_quality_pass__test_field_quality_stress,3,siamese,deterministic_edge_triplet,derivative_1,triplet,3141,0.3095238095238095,0.3388888888888889,0.3388888888888889,19,19,0,,,,,,,,,,
outer,nato_outer_o4__train_strict_core__test_strict_core,4,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,0.5860168966371975,0.5855184396492165,0.5855184396492165,124,124,0,,,,,,,,,,
outer,nato_outer_o4__train_strict_core__test_strict_core,4,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,0.5626067228510837,0.5612594779243978,0.5612594779243978,124,124,0,,,,,,,,,,
outer,nato_outer_o4__train_strict_core__test_strict_core,4,siamese,deterministic_edge_triplet,derivative_1,triplet,3141,0.5873463420455902,0.5814026727316237,0.5814026727316237,124,124,0,,,,,,,,,,
outer,nato_outer_o4__train_quality_pass__test_quality_pass,4,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,0.7078185789365914,0.6956176673567979,0.6956176673567979,97,97,0,,,,,,,,,,
outer,nato_outer_o4__train_quality_pass__test_quality_pass,4,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,0.7029099265124109,0.6873074647919368,0.6873074647919368,97,97,0,,,,,,,,,,
outer,nato_outer_o4__train_quality_pass__test_quality_pass,4,siamese,deterministic_edge_triplet,derivative_1,triplet,3141,0.6836848451755284,0.6663659887999808,0.6663659887999808,97,97,0,,,,,,,,,,
outer,nato_outer_o4__train_quality_pass__test_field_quality_stress,4,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,0.3888888888888888,0.3927248677248676,0.3927248677248676,27,27,0,,,,,,,,,,
outer,nato_outer_o4__train_quality_pass__test_field_quality_stress,4,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,0.3194444444444445,0.2737012987012987,0.2737012987012987,27,27,0,,,,,,,,,,
outer,nato_outer_o4__train_quality_pass__test_field_quality_stress,4,siamese,deterministic_edge_triplet,derivative_1,triplet,3141,0.2972222222222222,0.2500901875901876,0.2500901875901876,27,27,0,,,,,,,,,,
