scenario,outer_fold,declared_seed,evaluation_subset,representation,confidence_kind,requested_coverage,n_retained,realized_coverage,accuracy,selective_risk,confidence_threshold
nato_outer_o0__train_quality_pass__test_field_quality_stress,0,1729,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,1.0,15,1.0,0.4,0.6,0.3730427880972851
nato_outer_o0__train_quality_pass__test_field_quality_stress,0,1729,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.9,14,0.9333333333333333,0.42857142857142855,0.5714285714285714,0.3751935362730709
nato_outer_o0__train_quality_pass__test_field_quality_stress,0,1729,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.8,12,0.8,0.4166666666666667,0.5833333333333333,0.3868896015927693
nato_outer_o0__train_quality_pass__test_field_quality_stress,0,1729,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.7,11,0.7333333333333333,0.45454545454545453,0.5454545454545454,0.3890818142799111
nato_outer_o0__train_quality_pass__test_field_quality_stress,0,1729,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.5,8,0.5333333333333333,0.625,0.375,0.39806047337898803
nato_outer_o0__train_quality_pass__test_field_quality_stress,0,2718,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,1.0,15,1.0,0.4666666666666667,0.5333333333333333,0.3181758757157178
nato_outer_o0__train_quality_pass__test_field_quality_stress,0,2718,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.9,14,0.9333333333333333,0.5,0.5,0.31823456854498255
nato_outer_o0__train_quality_pass__test_field_quality_stress,0,2718,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.8,12,0.8,0.5,0.5,0.32183510207644256
nato_outer_o0__train_quality_pass__test_field_quality_stress,0,2718,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.7,11,0.7333333333333333,0.5454545454545454,0.4545454545454546,0.32265400464762845
nato_outer_o0__train_quality_pass__test_field_quality_stress,0,2718,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.5,8,0.5333333333333333,0.625,0.375,0.3271520537777392
nato_outer_o0__train_quality_pass__test_field_quality_stress,0,3141,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,1.0,15,1.0,0.4,0.6,0.3162470351117085
nato_outer_o0__train_quality_pass__test_field_quality_stress,0,3141,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.9,14,0.9333333333333333,0.42857142857142855,0.5714285714285714,0.3200102974803365
nato_outer_o0__train_quality_pass__test_field_quality_stress,0,3141,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.8,12,0.8,0.4166666666666667,0.5833333333333333,0.3228091273084701
nato_outer_o0__train_quality_pass__test_field_quality_stress,0,3141,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.7,11,0.7333333333333333,0.45454545454545453,0.5454545454545454,0.32281550027821504
nato_outer_o0__train_quality_pass__test_field_quality_stress,0,3141,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.5,8,0.5333333333333333,0.375,0.625,0.3302049539464275
nato_outer_o0__train_quality_pass__test_quality_pass,0,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,1.0,103,1.0,0.6796116504854369,0.3203883495145631,0.583835161673704
nato_outer_o0__train_quality_pass__test_quality_pass,0,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.9,93,0.9029126213592233,0.6989247311827957,0.30107526881720426,0.6747620255841339
nato_outer_o0__train_quality_pass__test_quality_pass,0,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.8,83,0.8058252427184466,0.6867469879518072,0.3132530120481928,0.7054708596787366
nato_outer_o0__train_quality_pass__test_quality_pass,0,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.7,73,0.7087378640776699,0.7397260273972602,0.26027397260273977,0.7392709502297015
nato_outer_o0__train_quality_pass__test_quality_pass,0,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.5,52,0.5048543689320388,0.8846153846153846,0.11538461538461542,0.7702564816030766
nato_outer_o0__train_quality_pass__test_quality_pass,0,2718,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,1.0,103,1.0,0.6990291262135923,0.30097087378640774,0.47979112728394513
nato_outer_o0__train_quality_pass__test_quality_pass,0,2718,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.9,93,0.9029126213592233,0.7526881720430108,0.24731182795698925,0.5839041490355258
