stage,subset,protocol,domain_type,heldout_domain,variant,candidate_id,representation,architecture,embedding_dimension,declared_seed,run_seed,epochs,temperature,n_test,n_supported,n_unsupported,balanced_accuracy,macro_f1,accuracy,negative_log_likelihood,brier_multiclass,expected_calibration_error_10,same_analyte_distance,different_analyte_distance,different_minus_same_margin,same_master_cross_instrument_distance,embedding_effective_rank,analyte_probe_balanced_accuracy,instrument_probe_balanced_accuracy,sensor_probe_balanced_accuracy,analyte_heldout_master_probe_balanced_accuracy,analyte_heldout_master_probe_n_supported,analyte_heldout_master_probe_supported_fraction,instrument_heldout_master_probe_balanced_accuracy,instrument_heldout_master_probe_n_supported,instrument_heldout_master_probe_supported_fraction,sensor_heldout_master_probe_balanced_accuracy,sensor_heldout_master_probe_n_supported,sensor_heldout_master_probe_supported_fraction,encoder_parameters,classifier_parameters,total_parameters,state_sha256
domain,strict_core,domain_and_sample,instrument,Mira-3,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,3141,1421647414,61,0.7849390324234737,72,41,31,0.60375,0.3484719864176571,0.5853658536585366,1.195088477490264,0.5601376308306385,0.147335317383802,0.6573464274406433,0.968804657459259,0.3114582300186157,,2.8439042568206787,0.62375,,0.551923076923077,0.7213978494623655,72,1.0,,0,0.0,0.5423076923076923,72,1.0,719584,390,719974,68d8582064f836f019582105535a0ba25bcaeca54bcc17c957991c0445401883
domain,strict_core,domain_and_sample,instrument,Pendar-1,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,1729,2098045778,61,0.7849390324234737,46,25,21,0.6215277777777778,0.2962962962962963,0.64,1.0966537705481827,0.5180463959724607,0.21755699099461656,0.9026971459388733,1.145241618156433,0.24254447221755981,,5.5513105392456055,0.6215277777777778,,0.6964285714285714,0.7212301587301587,46,1.0,,0,0.0,0.5870535714285714,46,1.0,719584,390,719974,a51136eb81eaebe7b74ea35083dda8528557047c2ad5744fbacdf0bc89bc1019
domain,strict_core,domain_and_sample,instrument,Pendar-1,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,2718,132098104,61,0.7849390324234737,46,25,21,0.7881944444444444,0.34074074074074073,0.76,0.7941163077406692,0.3946300193833908,0.20001949910233713,0.7850469350814819,1.1084965467453003,0.32344961166381836,,4.14373779296875,0.7881944444444444,,0.703125,0.8052248677248678,46,1.0,,0,0.0,0.6875,46,1.0,719584,390,719974,55a0445bc9d58f72c1fdeb396a2877548a5b0de5a72d7494bc70148a025743cd
domain,strict_core,domain_and_sample,instrument,Pendar-1,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,3141,1384734339,61,0.7849390324234737,46,25,21,0.5277777777777778,0.2761904761904762,0.52,1.3017454861763351,0.6369157470107781,0.24595634471787803,0.8184726238250732,1.0244282484054565,0.2059556245803833,,5.5603227615356445,0.5277777777777778,,0.7321428571428572,0.7582671957671957,46,1.0,,0,0.0,0.7165178571428572,46,1.0,719584,390,719974,b44027d5f45ba16bb25cd3fe33c8e1689b52191407eb619304641fdcd6dc725b
domain,strict_core,domain_and_sample,instrument,Pendar-2,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,1729,1411088687,61,0.7849390324234737,98,21,77,0.9444444444444445,0.903030303030303,0.9047619047619048,0.29421231329604486,0.127670436625687,0.18467673532049345,0.528921365737915,0.8181759715080261,0.2892546057701111,,3.975066661834717,0.9444444444444445,,0.5365853658536586,0.5443764172335601,98,1.0,,0,0.0,0.5351543056246889,98,1.0,719584,195,719779,4f47528ccd6ddfe512b17ae0218c7dbfefa52119d6c383b8ff1a1be2bcfa3270
domain,strict_core,domain_and_sample,instrument,Pendar-2,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,2718,653023594,61,0.7849390324234737,98,21,77,1.0,1.0,1.0,0.23850780732873642,0.08054048066695764,0.20543382403572205,0.6103253960609436,0.8573404550552368,0.2470150589942932,,3.503323793411255,1.0,,0.4878048780487805,0.4987755102040817,98,1.0,,0,0.0,0.5537580886012942,98,1.0,719584,195,719779,46ac726a1b4f4802f6b63e90d0a99e8ca2b8efa682a8fa256bcfba20f00702c7
domain,strict_core,domain_and_sample,instrument,Pendar-2,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,3141,653561224,61,0.7849390324234737,98,21,77,0.9444444444444445,0.903030303030303,0.9047619047619048,0.24321272232456354,0.09933975728327298,0.142614170505009,0.5922824740409851,0.8697466254234314,0.2774641513824463,,4.358642101287842,1.0,,0.43902439024390244,0.5662358276643992,98,1.0,,0,0.0,0.5831466733034677,98,1.0,719584,195,719779,9bb242b5ce54c59e50750e93b0f7aa620c0d7953252ee639b5bd4e98018faf81
domain,strict_core,domain_and_sample,instrument,Pendar-3,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,1729,794026824,61,0.7849390324234737,70,61,9,0.37360066833751043,0.3577371974430798,0.47540983606557374,1.440477323803927,0.6614458428938169,0.27191796177615407,0.7945878505706787,1.1281095743179321,0.3335217237472534,,4.765841007232666,0.4152673350041771,,0.5908079543874288,0.35118152524167556,70,1.0,,0,0.0,0.6142400222500347,70,1.0,719584,390,719974,236cc6062f245b239dbfc45833b22489dc8eb9657691e07cc7f34ac1a8a1a87f
domain,strict_core,domain_and_sample,instrument,Pendar-3,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,2718,1317328417,61,0.7849390324234737,70,61,9,0.46209273182957394,0.4460118425635668,0.5573770491803278,1.3381798063390045,0.619899798876381,0.21408779177060516,0.7631670236587524,1.1755461692810059,0.4123791456222534,,5.033895492553711,0.5335213032581453,,0.5603532193019052,0.3969865139038071,70,1.0,,0,0.0,0.5837852871645112,70,1.0,719584,390,719974,9038fd5caa9438460a52520e6b7b6ec03c5083a4daad4b96b4ac8b3414b1447e
domain,strict_core,domain_and_sample,instrument,Pendar-3,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,3141,696521885,61,0.7849390324234737,70,61,9,0.41006683375104425,0.39071669071669063,0.4918032786885246,1.3909477203031928,0.648659868355249,0.23421231410117094,0.8501392602920532,1.2079246044158936,0.35778534412384033,,6.562984466552734,0.42121971595655805,,0.46558197747183977,0.45673708079723113,70,1.0,,0,0.0,0.557085245445696,70,1.0,719584,390,719974,55eea27c3fa5d790ff5da38e04ce964d586178660395177bfc971d07be7eaf5a
