stage,scope,outer_fold,inner_validation_fold,candidate_id,name,representation,architecture,embedding_dimension,classification_weight,supervised_contrastive_weight,pair_margin_weight,contrastive_temperature,pair_margin,domain_aware_positives,hard_negative_mining,domain_balanced_batches,seed,best_epoch,epochs_run,state_sha256,encoder_parameters,classifier_parameters,total_parameters,n_train,n_validation,n_train_groups,n_validation_groups,balanced_accuracy,macro_f1,predicted_class_count,same_analyte_distance,different_analyte_distance,different_minus_same_margin,same_master_cross_instrument_distance,embedding_effective_rank,gate_positive_margin,gate_effective_rank,gate_predicted_classes,eligible
stage1,outer,0,1,domain_aware_stage1__arpls_minmax__legacy64__037801b7f02a,domain_aware_stage1,arpls_minmax,legacy,64,1.0,0.25,0.1,0.1,0.2,True,True,True,863383607,80,105,dbaf1e37a49059e188b6d025a17b4b860764e9f08b1ec458fcf2f8b8ce6deda6,719584,455,720039,293,104,43,12,0.6372661155269851,0.6371657917876405,7,0.6269676685333252,1.184278130531311,0.5573104619979858,0.6574846506118774,7.384805679321289,True,True,True,True
stage1,outer,0,1,domain_aware_stage1__arpls_minmax__legacy64__d781ab81703d,domain_aware_stage1,arpls_minmax,legacy,64,1.0,0.25,0.25,0.1,0.2,True,True,True,668322507,70,95,d366e1dd6359c8f50bcf9c4911c8ed3e49e6783731e63402d4247a33063235ee,719584,455,720039,293,104,43,12,0.67206465032552,0.6685992578849722,7,0.6345540285110474,1.1952133178710938,0.5606592893600464,0.6721389889717102,7.8620805740356445,True,True,True,True
stage1,outer,0,1,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,domain_aware_stage1,arpls_minmax,legacy,64,1.0,0.5,0.1,0.1,0.2,True,True,True,1469583302,65,90,09f34243f55becf173f306b43425e7a08e300525469839dff806f4de5f425b29,719584,455,720039,293,104,43,12,0.6740626523235219,0.6709725093837549,7,0.6194553971290588,1.2271702289581299,0.607714831829071,0.6464893817901611,7.0123772621154785,True,True,True,True
stage1,outer,0,1,domain_aware_stage1__arpls_minmax__legacy64__6832389fb131,domain_aware_stage1,arpls_minmax,legacy,64,1.0,0.5,0.25,0.1,0.2,True,True,True,2111439855,55,80,058a093d7de6b5b12b0af1a813e2c5cc8e588ab3491e5a64d1c48cf63b8cd86b,719584,455,720039,293,104,43,12,0.7187956970565665,0.7014350090604681,7,0.6372634768486023,1.235188364982605,0.5979248881340027,0.6553338170051575,7.688183307647705,True,True,True,True
stage1,outer,0,1,domain_aware_stage1__minimal_minmax__legacy64__4221af65625a,domain_aware_stage1,minimal_minmax,legacy,64,1.0,0.25,0.1,0.1,0.2,True,True,True,913835850,50,75,ae0fa0bca78d6139abf9b33ff950b8459b0ef799c1ad75e92894c74104fbc70b,719584,455,720039,293,104,43,12,0.693182421443291,0.6958102389892126,7,0.6629944443702698,1.2133675813674927,0.5503731369972229,0.6999056339263916,7.916053295135498,True,True,True,True
stage1,outer,0,1,domain_aware_stage1__minimal_minmax__legacy64__323ba3e90ba9,domain_aware_stage1,minimal_minmax,legacy,64,1.0,0.25,0.25,0.1,0.2,True,True,True,1600364635,50,75,a5f3bd38e0b77af04f8ad205afacaca6484cf8bb8972ce8401cf6d69bae1015a,719584,455,720039,293,104,43,12,0.6941765963505093,0.7033471359558315,7,0.6363637447357178,1.2200649976730347,0.5837012529373169,0.6691217422485352,8.118860244750977,True,True,True,True
stage1,outer,0,1,domain_aware_stage1__minimal_minmax__legacy64__ca2cc946f2fd,domain_aware_stage1,minimal_minmax,legacy,64,1.0,0.5,0.1,0.1,0.2,True,True,True,1244674903,50,75,02c06cb31927b6e8519f05ba8a709011abe07f3c4fca5af6e8d9b70872e13633,719584,455,720039,293,104,43,12,0.7328649611258307,0.7297004907303485,7,0.626430094242096,1.2112586498260498,0.5848285555839539,0.6598777174949646,7.6654276847839355,True,True,True,True
stage1,outer,0,1,domain_aware_stage1__minimal_minmax__legacy64__2499ae1e3749,domain_aware_stage1,minimal_minmax,legacy,64,1.0,0.5,0.25,0.1,0.2,True,True,True,1359981870,50,75,90f28a777b0f5ad04e82308b6e31bb16b07883227926502a87db12179894fa54,719584,455,720039,293,104,43,12,0.7159374441983138,0.71228327389585,7,0.661994457244873,1.238014578819275,0.5760201215744019,0.6775454878807068,7.945375442504883,True,True,True,True
stage1,outer,0,1,domain_aware_stage1__derivative_1__legacy64__49f4430f6e50,domain_aware_stage1,derivative_1,legacy,64,1.0,0.25,0.1,0.1,0.2,True,True,True,712960814,50,75,fb7a442f1d5ff3a75ebc801b376951d5859b16c4ce1cf19505c9c82d258a7acb,719584,455,720039,293,104,43,12,0.7107337107337109,0.7079437229437229,7,0.6055755615234375,1.2490651607513428,0.6434895992279053,0.6353610754013062,7.354792594909668,True,True,True,True
stage1,outer,0,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,domain_aware_stage1,derivative_1,legacy,64,1.0,0.25,0.25,0.1,0.2,True,True,True,1115683815,55,80,1f524075ead2f43f8b5cae6028ec300ba1a2698218c480ca6ae871d6ecee8362,719584,455,720039,293,104,43,12,0.7042498564237695,0.6976906748645879,7,0.6092514395713806,1.2155157327651978,0.6062642931938171,0.6111827492713928,7.1542840003967285,True,True,True,True
