subset,outer_fold,candidate_id,temperature,epochs,n_calibration,raw_nll,calibrated_nll,raw_ece,calibrated_ece,selected_rejection_score,selected_rejection_utility
strict_core,0,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,0.8214659729062531,70,480,1.0057675558405696,0.9831515259547003,0.1000625853142414,0.04706216664906577,calibrated_max_probability,0.7887628141534392
quality_pass,0,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,0.7458733687003581,70,397,1.0209848366282466,0.9726567454240467,0.13170189489251974,0.03413937935200585,calibrated_max_probability,0.8024378675789003
strict_core,1,full_domain_aware__minimal_minmax__legacy64__051dfe345fd2,0.7856581886099233,66,479,0.8657609559972089,0.8326690720337379,0.08724984775603756,0.06852664643760704,calibrated_max_probability,0.8318535052910053
quality_pass,1,full_domain_aware__minimal_minmax__legacy64__051dfe345fd2,0.7313059047531547,66,396,0.8172349185013632,0.7608368493192165,0.14226267994771036,0.057460446533776896,calibrated_max_probability,0.8816730793332477
strict_core,2,full_domain_aware__minimal_minmax__legacy32__b3af07d3bce0,0.7849390324234737,72,481,1.0420484986795824,1.0090133087411794,0.09739176325777943,0.0635906049408184,class_conditional_embedding_mahalanobis,0.7793210416055962
quality_pass,2,full_domain_aware__minimal_minmax__legacy32__b3af07d3bce0,0.6738053605431427,72,405,0.9267280338582591,0.8435656776525862,0.15428406580703263,0.045386573753140244,calibrated_max_probability,0.8275983889011449
strict_core,3,full_domain_aware__minimal_minmax__legacy32__7c6a92f7ab2d,0.7649583284870406,66,478,1.0102110255737418,0.9692506557377679,0.11505283037592587,0.07749449165111655,calibrated_max_probability,0.7976650351721047
quality_pass,3,full_domain_aware__minimal_minmax__legacy32__7c6a92f7ab2d,0.7117630673716475,66,399,0.8765415649317102,0.810596903458329,0.14174624198918911,0.0314060868283401,calibrated_max_probability,0.8409722222222222
strict_core,4,full_domain_aware__minimal_minmax__legacy32__0a620682d4c2,0.784433679114227,72,474,0.9567795270572701,0.9225434507320645,0.09705290501998867,0.04553062121172506,calibrated_max_probability,0.8052232764505513
quality_pass,4,full_domain_aware__minimal_minmax__legacy32__0a620682d4c2,0.674654549675511,72,403,0.9826689568904802,0.8972955764395417,0.18107614413102416,0.041837628426639205,calibrated_max_probability,0.8259321149166351
