scope,selection_outer_fold,candidate_id,name,representation,architecture,embedding_dimension,classification_weight,supervised_contrastive_weight,pair_margin_weight,contrastive_temperature,pair_margin,domain_aware_positives,hard_negative_mining,domain_balanced_batches
outer,0,domain_aware_stage2_legacy_32__arpls_minmax__legacy32__a14f43bc17e3,domain_aware_stage2_legacy_32,arpls_minmax,legacy,32,1.0,0.5,0.1,0.1,0.2,True,True,True
outer,0,domain_aware_stage2_legacy_64__arpls_minmax__legacy64__ed0a712ca783,domain_aware_stage2_legacy_64,arpls_minmax,legacy,64,1.0,0.5,0.1,0.1,0.2,True,True,True
outer,0,domain_aware_stage2_compact_32__arpls_minmax__compact32__78e11bebc084,domain_aware_stage2_compact_32,arpls_minmax,compact,32,1.0,0.5,0.1,0.1,0.2,True,True,True
outer,0,domain_aware_stage2_compact_64__arpls_minmax__compact64__2327502e58f5,domain_aware_stage2_compact_64,arpls_minmax,compact,64,1.0,0.5,0.1,0.1,0.2,True,True,True
outer,1,domain_aware_stage2_legacy_32__minimal_minmax__legacy32__fe09b44bbbad,domain_aware_stage2_legacy_32,minimal_minmax,legacy,32,1.0,0.5,0.25,0.1,0.2,True,True,True
outer,1,domain_aware_stage2_legacy_64__minimal_minmax__legacy64__d4af836e233a,domain_aware_stage2_legacy_64,minimal_minmax,legacy,64,1.0,0.5,0.25,0.1,0.2,True,True,True
outer,1,domain_aware_stage2_compact_32__minimal_minmax__compact32__0c850f86c6b8,domain_aware_stage2_compact_32,minimal_minmax,compact,32,1.0,0.5,0.25,0.1,0.2,True,True,True
outer,1,domain_aware_stage2_compact_64__minimal_minmax__compact64__ba06ef178b3d,domain_aware_stage2_compact_64,minimal_minmax,compact,64,1.0,0.5,0.25,0.1,0.2,True,True,True
outer,2,domain_aware_stage2_legacy_32__minimal_minmax__legacy32__a6f24bb952b7,domain_aware_stage2_legacy_32,minimal_minmax,legacy,32,1.0,0.5,0.1,0.1,0.2,True,True,True
outer,2,domain_aware_stage2_legacy_64__minimal_minmax__legacy64__b5569d382061,domain_aware_stage2_legacy_64,minimal_minmax,legacy,64,1.0,0.5,0.1,0.1,0.2,True,True,True
outer,2,domain_aware_stage2_compact_32__minimal_minmax__compact32__e76d944e06a3,domain_aware_stage2_compact_32,minimal_minmax,compact,32,1.0,0.5,0.1,0.1,0.2,True,True,True
outer,2,domain_aware_stage2_compact_64__minimal_minmax__compact64__c1b20cd51990,domain_aware_stage2_compact_64,minimal_minmax,compact,64,1.0,0.5,0.1,0.1,0.2,True,True,True
outer,3,domain_aware_stage2_legacy_32__minimal_minmax__legacy32__3ba7188d044c,domain_aware_stage2_legacy_32,minimal_minmax,legacy,32,1.0,0.25,0.25,0.1,0.2,True,True,True
outer,3,domain_aware_stage2_legacy_64__minimal_minmax__legacy64__fdee860905a3,domain_aware_stage2_legacy_64,minimal_minmax,legacy,64,1.0,0.25,0.25,0.1,0.2,True,True,True
outer,3,domain_aware_stage2_compact_32__minimal_minmax__compact32__3dd57f1ab3f2,domain_aware_stage2_compact_32,minimal_minmax,compact,32,1.0,0.25,0.25,0.1,0.2,True,True,True
outer,3,domain_aware_stage2_compact_64__minimal_minmax__compact64__9d618496c3cb,domain_aware_stage2_compact_64,minimal_minmax,compact,64,1.0,0.25,0.25,0.1,0.2,True,True,True
outer,4,domain_aware_stage2_legacy_32__minimal_minmax__legacy32__fe09b44bbbad,domain_aware_stage2_legacy_32,minimal_minmax,legacy,32,1.0,0.5,0.25,0.1,0.2,True,True,True
outer,4,domain_aware_stage2_legacy_64__minimal_minmax__legacy64__d4af836e233a,domain_aware_stage2_legacy_64,minimal_minmax,legacy,64,1.0,0.5,0.25,0.1,0.2,True,True,True
outer,4,domain_aware_stage2_compact_32__minimal_minmax__compact32__0c850f86c6b8,domain_aware_stage2_compact_32,minimal_minmax,compact,32,1.0,0.5,0.25,0.1,0.2,True,True,True
outer,4,domain_aware_stage2_compact_64__minimal_minmax__compact64__ba06ef178b3d,domain_aware_stage2_compact_64,minimal_minmax,compact,64,1.0,0.5,0.25,0.1,0.2,True,True,True
global,-1,domain_aware_stage2_legacy_32__derivative_1__legacy32__f61a164758b6,domain_aware_stage2_legacy_32,derivative_1,legacy,32,1.0,0.5,0.25,0.1,0.2,True,True,True
global,-1,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,domain_aware_stage2_legacy_64,derivative_1,legacy,64,1.0,0.5,0.25,0.1,0.2,True,True,True
global,-1,domain_aware_stage2_compact_32__derivative_1__compact32__8c2d05d728c7,domain_aware_stage2_compact_32,derivative_1,compact,32,1.0,0.5,0.25,0.1,0.2,True,True,True
global,-1,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,domain_aware_stage2_compact_64,derivative_1,compact,64,1.0,0.5,0.25,0.1,0.2,True,True,True
