held_out_substrate,n_train,n_test,test_labels,accuracy,balanced_accuracy,macro_f1,final_loss
Ag,250,25,benzenethiol,0.2,0.2,0.08333333333333333,0.03683090329170227
AgNP,225,50,"4np,pyridine",0.52,0.52,0.39087301587301587,0.06222222222222222
Au,250,25,benzenethiol,0.96,0.96,0.4897959183673469,1.1250972811467364e-06
AuNP,250,25,pyridine,0.92,0.92,0.4791666666666667,0.1418945130109787
PICO,200,75,"4np,bt,pyridine",0.7066666666666667,0.7066666666666667,0.6362433862433862,0.04375238686800003
pSERS,200,75,"4np,bt,pyridine",0.9866666666666667,0.9866666666666667,0.7448979591836735,0.05582982629537583
