held_out_substrate,n_train,n_test,test_labels,accuracy,balanced_accuracy,macro_f1,final_loss
Ag,250,25,benzenethiol,1.0,1.0,1.0,0.0
AgNP,225,50,"4np,pyridine",0.36,0.36,0.23215898825654924,0.0
Au,250,25,benzenethiol,0.96,0.96,0.4897959183673469,0.00032872676849365234
AuNP,250,25,pyridine,1.0,1.0,1.0,0.00018254101276397706
PICO,200,75,"4np,bt,pyridine",0.7866666666666666,0.7866666666666666,0.5872709739633558,0.0
pSERS,200,75,"4np,bt,pyridine",0.6666666666666666,0.6666666666666666,0.5,0.001582433432340622
