held_out_substrate,n_train,n_test,test_labels,accuracy,balanced_accuracy,macro_f1,final_loss
Ag,250,25,benzenethiol,0.84,0.84,0.45652173913043476,0.0009643908296711743
AgNP,225,50,"4np,pyridine",0.42,0.42000000000000004,0.3219373219373219,0.001651513162586424
Au,250,25,benzenethiol,0.96,0.96,0.4897959183673469,0.00720887787360698
AuNP,250,25,pyridine,1.0,1.0,1.0,0.01646845902875066
PICO,200,75,"4np,bt,pyridine",0.6666666666666666,0.6666666666666666,0.4858490566037736,0.013190307542681695
pSERS,200,75,"4np,bt,pyridine",0.6666666666666666,0.6666666666666666,0.5,0.08036226058378816
