held_out_substrate,n_train,n_test,test_labels,accuracy,balanced_accuracy,macro_f1,final_loss
Ag,250,25,benzenethiol,0.76,0.76,0.4318181818181818,0.0004542493876069784
AgNP,225,50,"4np,pyridine",0.48,0.48,0.2710795902285264,0.01151331605211198
Au,250,25,benzenethiol,0.76,0.76,0.4318181818181818,0.0011930267475545406
AuNP,250,25,pyridine,1.0,1.0,1.0,0.0035573175605386497
PICO,200,75,"4np,bt,pyridine",0.6666666666666666,0.6666666666666666,0.4732142857142857,0.0006932477329974063
pSERS,200,75,"4np,bt,pyridine",0.6533333333333333,0.6533333333333333,0.49489795918367346,0.0012153945863246918
