epoch,train_loss,evaluation_subset,domain_protocol,domain_type,heldout_domain,n_train,n_test_partition,stage,scenario,outer_fold,model_family,model,representation,curriculum,seed,fixed_epoch_count
1,0.1752061760358005,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
2,0.1170755099289363,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
3,0.1001233088335852,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
4,0.0929799315798793,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
5,0.0755826669841329,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
6,0.0885305310451714,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
7,0.0696107620181004,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
8,0.0670911078845673,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
9,0.0637304227639656,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
10,0.0522596976515703,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
11,0.0629233882131444,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
