evaluation_subset,domain_protocol,domain_type,heldout_domain,n_train,n_test_partition,stage,scenario,outer_fold,model_family,model,representation,curriculum,seed,balanced_accuracy_supported,macro_f1_supported,macro_f1_union,n_test,n_test_supported,n_test_unsupported,unsupported_classes,reconstruction_mse,reconstruction_smooth_l1,reconstruction_spectral_angle,reconstruction_median_row_correlation,reconstruction_first_derivative_mae,repeatable_peak_recall,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,classical,nearest_centroid,minimal_minmax,none,2026,0.6761363636363636,0.7781954887218046,0.518796992481203,29,19,10,blank,,,,,,,,,
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,classical,pca_logistic,minimal_minmax,none,2026,0.5170454545454546,0.5873015873015872,0.2936507936507936,29,19,10,blank,,,,,,,,,
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,classical,linear_svm,minimal_minmax,none,2026,0.5852272727272727,0.7375565610859729,0.49170437405731526,29,19,10,blank,,,,,,,,,
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,classical,nearest_centroid,arpls_minmax,none,2026,0.6761363636363636,0.7781954887218046,0.518796992481203,29,19,10,blank,,,,,,,,,
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,classical,pca_logistic,arpls_minmax,none,2026,0.8465909090909092,0.861764705882353,0.5745098039215687,29,19,10,blank,,,,,,,,,
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,classical,linear_svm,arpls_minmax,none,2026,0.6647727272727273,0.75,0.5,29,19,10,blank,,,,,,,,,
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,classical,nearest_centroid,derivative_1,none,2026,0.7215909090909092,0.8346153846153846,0.4173076923076923,29,19,10,blank,,,,,,,,,
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,classical,pca_logistic,derivative_1,none,2026,0.7215909090909092,0.8346153846153846,0.4173076923076923,29,19,10,blank,,,,,,,,,
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,classical,linear_svm,derivative_1,none,2026,0.6306818181818181,0.7735042735042735,0.5156695156695157,29,19,10,blank,,,,,,,,,
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,0.7556818181818181,0.8555555555555556,0.5703703703703704,29,19,10,blank,,,,,,,,,
