epoch,train_loss,stage,scenario,outer_fold,model_family,model,representation,curriculum,seed,fixed_epoch_count
1,0.1926031708717346,outer,nato_outer_o0__train_strict_core__test_strict_core,0,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
2,0.125446572403113,outer,nato_outer_o0__train_strict_core__test_strict_core,0,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
3,0.103877783815066,outer,nato_outer_o0__train_strict_core__test_strict_core,0,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
4,0.0863286674022674,outer,nato_outer_o0__train_strict_core__test_strict_core,0,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
5,0.0805183271567026,outer,nato_outer_o0__train_strict_core__test_strict_core,0,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
6,0.0647037332256635,outer,nato_outer_o0__train_strict_core__test_strict_core,0,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
7,0.0710128386815389,outer,nato_outer_o0__train_strict_core__test_strict_core,0,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
8,0.0550485382477442,outer,nato_outer_o0__train_strict_core__test_strict_core,0,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
9,0.0448468439280986,outer,nato_outer_o0__train_strict_core__test_strict_core,0,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
10,0.0494276812300086,outer,nato_outer_o0__train_strict_core__test_strict_core,0,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
11,0.0489866722996036,outer,nato_outer_o0__train_strict_core__test_strict_core,0,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
12,0.0486826398720343,outer,nato_outer_o0__train_strict_core__test_strict_core,0,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
13,0.0449791681642333,outer,nato_outer_o0__train_strict_core__test_strict_core,0,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
14,0.0399919281403223,outer,nato_outer_o0__train_strict_core__test_strict_core,0,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
15,0.0365623978277047,outer,nato_outer_o0__train_strict_core__test_strict_core,0,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
16,0.0345982683822512,outer,nato_outer_o0__train_strict_core__test_strict_core,0,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
17,0.037020015095671,outer,nato_outer_o0__train_strict_core__test_strict_core,0,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
18,0.0351119662324587,outer,nato_outer_o0__train_strict_core__test_strict_core,0,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
19,0.0353007509683569,outer,nato_outer_o0__train_strict_core__test_strict_core,0,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
20,0.0376602430517474,outer,nato_outer_o0__train_strict_core__test_strict_core,0,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
21,0.0300660973414778,outer,nato_outer_o0__train_strict_core__test_strict_core,0,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
22,0.0316132724285125,outer,nato_outer_o0__train_strict_core__test_strict_core,0,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
23,0.0397099129234751,outer,nato_outer_o0__train_strict_core__test_strict_core,0,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
