evaluation_subset,domain_protocol,domain_type,heldout_domain,n_train,n_test_partition,stage,scenario,outer_fold,model_family,model,representation,curriculum,seed,corruption,severity,balanced_accuracy_supported,macro_f1_supported,prediction_agreement,latent_cosine_drift,reconstruction_mse,reconstruction_smooth_l1,reconstruction_spectral_angle,reconstruction_median_row_correlation,reconstruction_first_derivative_mae,repeatable_peak_recall,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,clean,1729,scale_offset,0.5,0.8636363636363636,0.8654970760233918,0.8620689655172413,0.004747101105749607,0.005335054790079794,0.002667527395039897,0.08644090941204959,0.9593029729848593,0.00726098348533556,,2.0,0.31979765183278575,0.050088151125237346
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,clean,1729,scale_offset,1.0,0.8011363636363636,0.8328173374613003,0.8275862068965517,0.015210063196718693,0.008135729538993696,0.004067864769496848,0.10008748776674509,0.9522393952722377,0.007557473555222393,,2.0,0.2972135416384619,0.05414225813001394
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,clean,1729,scale_offset,1.5,0.8181818181818181,0.8099415204678362,0.7931034482758621,0.03222392871975899,0.008591107963004678,0.004295553981502339,0.10454213788786261,0.9327278381035188,0.007477633469001139,,2.0,0.2967534286404996,0.06809907592833042
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,clean,1729,smooth_baseline,0.5,0.7386363636363636,0.8210526315789474,0.7586206896551724,0.013801990076899529,0.006209968075296918,0.003104984037648459,0.09911323054662623,0.9453345192979642,0.007479698963015787,,2.0,0.30696684037709054,0.05298476293683052
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,clean,1729,smooth_baseline,1.0,0.6590909090909092,0.7576923076923077,0.5862068965517241,0.053529851138591766,0.009601700129557765,0.0048008500647788825,0.12917122101419076,0.8962603683523875,0.007870185175528137,,2.0,0.3170872251993331,0.06164109939709306
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,clean,1729,smooth_baseline,1.5,0.5965909090909092,0.7227272727272727,0.4827586206896552,0.10338136553764343,0.016041181526668714,0.008020590763334357,0.1599841713870366,0.8135753018731251,0.008558715644965133,,2.0,0.37889158500865244,0.0773795461282134
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,clean,1729,gaussian_noise,0.5,0.8636363636363636,0.8654970760233918,1.0,0.00010344694601371884,0.004643146012240069,0.0023215730061200346,0.08230533464347052,0.956963993586647,0.007215174776254734,,2.0,0.32950725294837,0.04149540443904698
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,clean,1729,gaussian_noise,1.0,0.8636363636363636,0.8654970760233918,0.9655172413793104,0.0005498261307366192,0.004685786324895672,0.002342893162447836,0.08299551758520357,0.9562415941867363,0.007214174449089899,,2.0,0.3063198979694377,0.04108569608069956
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,clean,1729,gaussian_noise,1.5,0.8636363636363636,0.8654970760233918,0.9655172413793104,0.001514956820756197,0.0047587280222210135,0.0023793640111105067,0.08415242389216526,0.955299643060466,0.007241685779794698,,2.0,0.30972821439953957,0.046638456638902426
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,clean,1729,isolated_spikes,0.5,0.8636363636363636,0.8654970760233918,1.0,5.347153273760341e-05,0.004629643499389157,0.0023148217496945784,0.08204450894114713,0.9575135799699913,0.007213251000939725,,2.0,0.33478703223514655,0.04206799273379147
