selection_phase,best_validation_loss,bottleneck_dimension,channels,clean_median_absolute_peak_prominence_change,clean_median_absolute_relative_peak_width_change,clean_median_peak_shift_cm1,clean_reconstruction_first_derivative_mae,clean_reconstruction_median_row_correlation,clean_reconstruction_mse,clean_reconstruction_smooth_l1,clean_reconstruction_spectral_angle,clean_repeatable_peak_recall,configuration,corrupted_latent_cosine_drift,corrupted_median_absolute_peak_prominence_change,corrupted_median_absolute_relative_peak_width_change,corrupted_median_peak_shift_cm1,corrupted_prediction_agreement,corrupted_reconstruction_first_derivative_mae,corrupted_reconstruction_median_row_correlation,corrupted_reconstruction_mse,corrupted_reconstruction_smooth_l1,corrupted_reconstruction_spectral_angle,corrupted_repeatable_peak_recall,corrupted_target_balanced_accuracy,curriculum,fold_count,gate_chemical_probe,gate_clean_correlation,gate_instrument_leakage,gate_peak_recall,gate_quality_sensitivity,gate_same_master_distance,instrument_probe_increment_delta,latent_cross_instrument_separation_margin,latent_instrument_probe_increment,latent_same_master_cross_instrument_distance,latent_sensor_probe_increment,latent_target_balanced_accuracy,latent_target_macro_f1_supported,latent_target_macro_f1_union,loss_name,model_family,parameter_count,passes_ae_gates,quality_latent_target_balanced_accuracy,quality_target_drop_from_core,raw_instrument_probe_increment,raw_same_master_cross_instrument_distance,raw_sensor_probe_increment,raw_target_balanced_accuracy,representation,same_master_distance_delta,selection_utility,sensor_probe_increment_delta,subset,target_balanced_accuracy_delta_from_raw,ae_clean_reconstruction_median_row_correlation,ae_clean_repeatable_peak_recall,ae_corrupted_latent_cosine_drift,ae_corrupted_prediction_agreement,ae_corrupted_reconstruction_mse,ae_latent_target_balanced_accuracy,benefit_corrupted_recovery,benefit_latent_drift,benefit_prediction_agreement,clean_correlation_delta_from_ae,clean_peak_recall_delta_from_ae,clean_reconstruction_median_row_correlation_quality,clean_repeatable_peak_recall_quality,clean_target_delta_from_ae,corrupted_latent_cosine_drift_quality,corrupted_latent_drift_relative_reduction,corrupted_prediction_agreement_delta_from_ae,corrupted_prediction_agreement_quality,corrupted_reconstruction_mse_quality,corrupted_recovery_relative_improvement,gate_clean_peak_recall,gate_clean_target,latent_target_balanced_accuracy_quality,passes_any_denoising_benefit,passes_dae_gates,passes_dae_gates_with_quality
ae,0.0052788519125569,64,16x32,0.0570956245705019,0.3150549752896867,2.0,0.0203693564758448,0.9482726424901806,0.0052788519751073,0.0026394259875536,0.0667652930715907,0.5150422059003755,c16x32_z64_mse_clean,0.0661358449608087,0.0759723261857288,0.4043958330472167,2.0,0.711900522682612,0.0214229689857226,0.8441780522070799,0.0154882263774111,0.0077441131887055,0.1128202241416393,0.4890572205842021,0.5950930785915258,clean,20,True,False,True,False,False,True,-0.0959987517279183,0.1182436271586388,0.5141413586205253,0.3878912013958367,0.4294693551053424,0.6769481250107272,0.6589258743363239,0.6589258743363239,mse,ae,1450273.0,False,,,0.6101401103484436,0.6752592197001345,0.4458425679354472,0.705712274993903,arpls_minmax,-0.2873680183042977,0.3,-0.0163732128301047,strict_core,-0.0287641499831758,,,,,,,,,,,,,,,,,,,,,,,,,,
ae,0.0105929097134186,64,16x32,0.0558412391779711,0.2685476673784597,2.0,0.0191361066593932,0.9553236351005876,0.0051155451317141,0.002557772565857,0.0612152667493349,0.4999412853053815,c16x32_z64_spectral_composite_clean,0.079018672183156,0.0778423133757314,0.3939207674236425,2.0,0.7130215600490662,0.0199797681490489,0.8484856878827929,0.0141789135439471,0.0070894567719735,0.1113671105533772,0.463179474004301,0.5981573810302153,clean,20,True,True,True,False,True,True,-0.0846967875613708,0.1421892564811582,0.5254433227870728,0.4447726048611903,0.4382774116148729,0.6818624599402632,0.6676309673505418,0.6676309673505418,spectral_composite,ae,1450273.0,False,0.6974356133587092,0.015573153418446,0.6101401103484436,0.6752592197001345,0.4458425679354472,0.705712274993903,arpls_minmax,-0.2304866148389441,0.5054530518036469,-0.0075651563205742,strict_core,-0.0238498150536398,,,,,,,,,,,,,,,,,,,,,,,,,,
ae,0.010485575356515,64,8x16,0.0566593883995665,0.2669763827604979,2.0,0.019217313309472,0.9561406578435236,0.0049624372819167,0.0024812186409583,0.0608262551636277,0.4860053751871412,c8x16_z64_spectral_composite_clean,0.0703056491911411,0.0782067607229692,0.3970054266115744,2.0,0.7188030455484544,0.020047339491949,0.8313531805349653,0.0143843730467135,0.0071921865233567,0.112441569629962,0.4572336312437478,0.6147015728224048,clean,20,True,True,True,False,True,True,-0.0818340736569903,0.1404699079964713,0.5283060366914534,0.4431244540453825,0.4421269147805525,0.697417580471724,0.6795714783387794,0.6795714783387794,spectral_composite,ae,723889.0,False,0.7119715885119203,0.0145540080401963,0.6101401103484436,0.6752592197001345,0.4458425679354472,0.705712274993903,arpls_minmax,-0.2321347656547519,0.6700644348699915,-0.0037156531548946,strict_core,-0.0082946945221789,,,,,,,,,,,,,,,,,,,,,,,,,,
ae,0.0049672000799062,64,16x32,0.0555804667528718,0.3352664279477078,2.0,0.0190586299049815,0.9753072127426214,0.0049672001091802,0.0024836000545901,0.0596309045034931,0.6133665625088403,c16x32_z64_mse_clean,0.0459729667752981,0.0646667099441401,0.4377239634854131,2.0,0.7932432606862543,0.0199912901426829,0.8736958725026642,0.0185719997210439,0.0092859998605219,0.1088111656132242,0.5863274931705083,0.6226637097102528,clean,20,True,True,True,False,True,True,-0.0315297365818198,0.0804564797718967,0.64176945174341,0.3738205912638536,0.441930914630605,0.6641851991720821,0.6484863866827071,0.6484863866827071,mse,ae,1450273.0,False,0.6735168627547673,0.0093316635826852,0.67329918832523,0.7603972061983383,0.4408425617496824,0.6936054971099512,minimal_minmax,-0.3865766149344846,0.3,0.0010883528809225,strict_core,-0.029420297937869,,,,,,,,,,,,,,,,,,,,,,,,,,
ae,0.0097605688143954,64,16x32,0.0532746627257438,0.2741145035596329,2.0,0.0172573191033863,0.9795091892759544,0.0048561830723995,0.0024280915361997,0.056067458589535,0.583646966806714,c16x32_z64_spectral_composite_clean,0.0555176818743348,0.0700074041553307,0.3900252065365431,2.0,0.7973508701611892,0.0179303928891781,0.8771571131884045,0.0179053196702322,0.0089526598351161,0.1082429587885407,0.5604073828101842,0.6178542708199867,clean,20,True,True,True,False,True,True,-0.0168007069569569,0.0892582176574725,0.656498481368273,0.4229225811922216,0.437626700283434,0.6759389323763302,0.659547970543221,0.659547970543221,spectral_composite,ae,1450273.0,False,0.7010299843721713,0.0250910519958411,0.67329918832523,0.7603972061983383,0.4408425617496824,0.6936054971099512,minimal_minmax,-0.3374746250061167,0.6845829120529706,-0.0032158614662484,strict_core,-0.0176665647336209,,,,,,,,,,,,,,,,,,,,,,,,,,
ae,0.0097408826952269,64,8x16,0.0542386654415167,0.2907566213600311,2.0,0.0173887893687074,0.9796152717384649,0.0048153225207698,0.0024076612603849,0.0559434376753203,0.5805998987521724,c8x16_z64_spectral_composite_clean,0.0481446700170636,0.069515402946854,0.3993766589069813,2.0,0.8083479652813587,0.0180542183867501,0.8763152320803169,0.0181387534078498,0.0090693767039249,0.1087228876801366,0.5608000908191922,0.6196501619453156,clean,20,True,True,True,False,False,True,-0.0312825325325325,0.0912190804042282,0.6420166557926974,0.4201881073551399,0.4454685557172769,0.6671537369861986,0.6529445221343907,0.6529445221343907,spectral_composite,ae,723889.0,False,,,0.67329918832523,0.7603972061983383,0.4408425617496824,0.6936054971099512,minimal_minmax,-0.3402090988431984,0.5068458042929104,0.0046259939675944,strict_core,-0.0264517601237525,,,,,,,,,,,,,,,,,,,,,,,,,,
dae,0.0119417103009521,64,8x16,0.0566929560573044,0.2822988699815826,2.0,0.0192188922175981,0.9499742028315769,0.0056398772560913,0.0028199386280456,0.0657580103695199,0.4742295709125782,c8x16_z64_spectral_composite_mixed_progressive,0.0198069781996309,0.067433151541627,0.2876668979210933,2.0,0.8359689978667723,0.0193490889558733,0.9419741327222904,0.007853648319814,0.003926824159907,0.0768963140618662,0.4665156468532808,0.6396563358547668,mixed_progressive,20,,True,,,True,,-0.0853562640020973,0.1628220392294078,0.5233025547869298,0.4284133135679798,0.435715998956324,0.680621201434866,0.6653963765511633,0.6653963765511633,spectral_composite,dae,723889.0,,,0.0205261761231032,0.6086588187890272,0.6752592197001345,0.4491314424596158,0.7078173718557422,arpls_minmax,-0.2468459061321547,0.4894375514486431,-0.0134154435032918,strict_core,-0.0271961704208762,0.9561406578435236,0.4860053751871412,0.070305649191141,0.7188030455484544,0.0143843730467134,0.697417580471724,True,True,True,-0.0061664550119466,-0.011775804274563,0.9645957991291512,0.5245130090615413,-0.0167963790368579,0.0184557679574936,0.7182733048125133,0.1171659523183178,0.8325721101801579,0.0059532722953846,0.4540152501392167,True,True,0.7011473775579693,True,True,True
dae,0.0121524724247239,64,8x16,0.0598457083746325,0.2880072966734547,2.0,0.0192513899450839,0.9472736782267136,0.0058518091295896,0.0029259045647948,0.067109392203965,0.4781388613297956,c8x16_z64_spectral_composite_mixed_uniform,0.0170006857253611,0.0650191515807819,0.3016659516734736,2.0,0.8441384675584496,0.0193554920024251,0.9416466472647064,0.0076283052228678,0.0038141526114339,0.0766015773179902,0.4693236280352726,0.6433200971552149,mixed_uniform,20,,True,,,True,,-0.08638103505291,0.1618241355538129,0.5222777837361171,0.4197101338062173,0.43022455572289,0.6832873935116498,0.6662627275667703,0.6662627275667703,spectral_composite,dae,723889.0,,,0.0262163290380027,0.6086588187890272,0.6752592197001345,0.4491314424596158,0.7078173718557422,arpls_minmax,-0.2555490858939171,0.7106515391405014,-0.0189068867367258,strict_core,-0.0245299783440924,0.9561406578435236,0.4860053751871412,0.070305649191141,0.7188030455484544,0.0143843730467134,0.697417580471724,True,True,True,-0.0088669796168099,-0.0078665138573456,0.9630198167459048,0.5176492157788715,-0.0141301869600741,0.0165177312213927,0.7581889091281829,0.1253354220099951,0.8519696395834698,0.005973846449316,0.4696810769510198,True,True,0.7095037225496525,True,True,True
dae,0.0115417766880318,64,16x32,0.0547033466056745,0.2942602034477081,2.0,0.0172227106452631,0.9738638402807888,0.0057477104482565,0.0028738552241282,0.0612483077258648,0.5798252922417501,c16x32_z64_spectral_composite_mixed_progressive,0.027656175661832,0.0628031584434211,0.339198895814764,2.0,0.8346035298433346,0.0173857093266563,0.9491506939405424,0.008946688888288,0.004473344444144,0.0773111205816359,0.5739871419730267,0.6395229329894253,mixed_progressive,20,,True,,,True,,-0.0406015278671528,0.1170682289426348,0.6347957741968159,0.4869739098689526,0.4513576946789021,0.6799913080499465,0.6672092010346803,0.6672092010346803,spectral_composite,dae,1450273.0,,,-0.0012576669362382,0.6753973020639688,0.7603972061983383,0.446997049418876,0.6942374042587757,minimal_minmax,-0.2734232963293855,0.6769927767708486,0.004360645260026,strict_core,-0.0142460962088291,0.9795091892759544,0.583646966806714,0.0555176818743347,0.7973508701611892,0.0179053196702321,0.6759389323763302,True,True,True,-0.0056453489951658,-0.0038216745649639,0.9811120653437504,0.6614170495369003,0.0040523756736162,0.0267104398459196,0.5018492356285277,0.0372526596821454,0.8304610992248819,0.0068069481496204,0.5003334733441259,True,True,0.6787336411137082,True,True,True
dae,0.0117373894631667,64,16x32,0.0555831488396506,0.3110031776134466,2.0,0.0172358680364352,0.97142028224824,0.0060653217386502,0.0030326608693251,0.0624729359855468,0.5802086821704994,c16x32_z64_spectral_composite_mixed_uniform,0.0257047763094305,0.0613659946469852,0.3255125590736233,2.0,0.8368827952807063,0.0173683122781079,0.9507234281810596,0.0086138741853974,0.0043069370926987,0.07628227671889,0.57150574831988,0.6212540197942699,mixed_uniform,20,,True,,,True,,-0.034555824425616,0.1214997270562555,0.6408414776383526,0.5284229930361035,0.4314973981127232,0.6653509801239043,0.6496065735968424,0.6496065735968424,spectral_composite,dae,1450273.0,,,0.0202743782270179,0.6753973020639688,0.7603972061983383,0.446997049418876,0.6942374042587757,minimal_minmax,-0.2319742131622347,0.2343756162009547,-0.0154996513061528,strict_core,-0.0288864241348712,0.9795091892759544,0.583646966806714,0.0555176818743347,0.7973508701611892,0.0179053196702321,0.6759389323763302,True,True,True,-0.0080889070277144,-0.0034382846362146,0.9803471886425252,0.6606962742933606,-0.0105879522524259,0.0251249138265848,0.5369983860706972,0.039531925119517,0.8452120447405351,0.0063226922566417,0.518920949525513,True,True,0.6856253583509222,True,True,True
