class_label,support,predicted_count,true_positive,recall,precision,evaluation_phase,scenario,model_family,model,representation,seed
4_ANPP,20,21,1,0.05,0.047619047619047616,control,nato_outer_o0_label_permutation,negative_control,pca_logistic_group_label_permutation,arpls_minmax,2026
4_nitrophenol,20,15,2,0.1,0.13333333333333333,control,nato_outer_o0_label_permutation,negative_control,pca_logistic_group_label_permutation,arpls_minmax,2026
acetaminophen,15,21,0,0.0,0.0,control,nato_outer_o0_label_permutation,negative_control,pca_logistic_group_label_permutation,arpls_minmax,2026
benzyl_fentanyl,25,12,0,0.0,0.0,control,nato_outer_o0_label_permutation,negative_control,pca_logistic_group_label_permutation,arpls_minmax,2026
blank,20,15,2,0.1,0.13333333333333333,control,nato_outer_o0_label_permutation,negative_control,pca_logistic_group_label_permutation,arpls_minmax,2026
ethanol,12,20,6,0.5,0.3,control,nato_outer_o0_label_permutation,negative_control,pca_logistic_group_label_permutation,arpls_minmax,2026
ethyl_paraoxon,6,14,0,0.0,0.0,control,nato_outer_o0_label_permutation,negative_control,pca_logistic_group_label_permutation,arpls_minmax,2026
4_ANPP,20,13,1,0.05,0.07692307692307693,control,nato_outer_o1_label_permutation,negative_control,pca_logistic_group_label_permutation,arpls_minmax,2026
4_nitrophenol,19,12,2,0.10526315789473684,0.16666666666666666,control,nato_outer_o1_label_permutation,negative_control,pca_logistic_group_label_permutation,arpls_minmax,2026
acetaminophen,16,23,2,0.125,0.08695652173913043,control,nato_outer_o1_label_permutation,negative_control,pca_logistic_group_label_permutation,arpls_minmax,2026
benzyl_fentanyl,23,16,1,0.043478260869565216,0.0625,control,nato_outer_o1_label_permutation,negative_control,pca_logistic_group_label_permutation,arpls_minmax,2026
blank,15,16,1,0.06666666666666667,0.0625,control,nato_outer_o1_label_permutation,negative_control,pca_logistic_group_label_permutation,arpls_minmax,2026
ethanol,12,17,0,0.0,0.0,control,nato_outer_o1_label_permutation,negative_control,pca_logistic_group_label_permutation,arpls_minmax,2026
ethyl_paraoxon,14,22,0,0.0,0.0,control,nato_outer_o1_label_permutation,negative_control,pca_logistic_group_label_permutation,arpls_minmax,2026
4_ANPP,21,9,1,0.047619047619047616,0.1111111111111111,control,nato_outer_o2_label_permutation,negative_control,pca_logistic_group_label_permutation,arpls_minmax,2026
4_nitrophenol,16,9,0,0.0,0.0,control,nato_outer_o2_label_permutation,negative_control,pca_logistic_group_label_permutation,arpls_minmax,2026
acetaminophen,18,27,10,0.5555555555555556,0.37037037037037035,control,nato_outer_o2_label_permutation,negative_control,pca_logistic_group_label_permutation,arpls_minmax,2026
benzyl_fentanyl,24,10,3,0.125,0.3,control,nato_outer_o2_label_permutation,negative_control,pca_logistic_group_label_permutation,arpls_minmax,2026
blank,21,22,15,0.7142857142857143,0.6818181818181818,control,nato_outer_o2_label_permutation,negative_control,pca_logistic_group_label_permutation,arpls_minmax,2026
ethanol,12,27,5,0.4166666666666667,0.18518518518518517,control,nato_outer_o2_label_permutation,negative_control,pca_logistic_group_label_permutation,arpls_minmax,2026
ethyl_paraoxon,5,13,0,0.0,0.0,control,nato_outer_o2_label_permutation,negative_control,pca_logistic_group_label_permutation,arpls_minmax,2026
4_ANPP,20,12,4,0.2,0.3333333333333333,control,nato_outer_o3_label_permutation,negative_control,pca_logistic_group_label_permutation,arpls_minmax,2026
4_nitrophenol,18,22,4,0.2222222222222222,0.18181818181818182,control,nato_outer_o3_label_permutation,negative_control,pca_logistic_group_label_permutation,arpls_minmax,2026
acetaminophen,16,9,1,0.0625,0.1111111111111111,control,nato_outer_o3_label_permutation,negative_control,pca_logistic_group_label_permutation,arpls_minmax,2026
benzyl_fentanyl,24,15,5,0.20833333333333334,0.3333333333333333,control,nato_outer_o3_label_permutation,negative_control,pca_logistic_group_label_permutation,arpls_minmax,2026
blank,13,22,2,0.15384615384615385,0.09090909090909091,control,nato_outer_o3_label_permutation,negative_control,pca_logistic_group_label_permutation,arpls_minmax,2026
ethanol,13,21,0,0.0,0.0,control,nato_outer_o3_label_permutation,negative_control,pca_logistic_group_label_permutation,arpls_minmax,2026
ethyl_paraoxon,16,19,0,0.0,0.0,control,nato_outer_o3_label_permutation,negative_control,pca_logistic_group_label_permutation,arpls_minmax,2026
4_ANPP,21,32,0,0.0,0.0,control,nato_outer_o4_label_permutation,negative_control,pca_logistic_group_label_permutation,arpls_minmax,2026
4_nitrophenol,19,11,0,0.0,0.0,control,nato_outer_o4_label_permutation,negative_control,pca_logistic_group_label_permutation,arpls_minmax,2026
acetaminophen,16,17,5,0.3125,0.29411764705882354,control,nato_outer_o4_label_permutation,negative_control,pca_logistic_group_label_permutation,arpls_minmax,2026
benzyl_fentanyl,24,10,2,0.08333333333333333,0.2,control,nato_outer_o4_label_permutation,negative_control,pca_logistic_group_label_permutation,arpls_minmax,2026
blank,18,23,5,0.2777777777777778,0.21739130434782608,control,nato_outer_o4_label_permutation,negative_control,pca_logistic_group_label_permutation,arpls_minmax,2026
ethanol,13,14,5,0.38461538461538464,0.35714285714285715,control,nato_outer_o4_label_permutation,negative_control,pca_logistic_group_label_permutation,arpls_minmax,2026
ethyl_paraoxon,13,17,0,0.0,0.0,control,nato_outer_o4_label_permutation,negative_control,pca_logistic_group_label_permutation,arpls_minmax,2026
4_ANPP,11,9,9,0.8181818181818182,1.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,1729
benzyl_fentanyl,8,6,5,0.625,0.8333333333333334,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,1729
ethanol,0,4,0,,0.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,1729
4_ANPP,11,9,9,0.8181818181818182,1.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,2718
benzyl_fentanyl,8,9,7,0.875,0.7777777777777778,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,2718
ethyl_paraoxon,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,2718
4_ANPP,11,9,9,0.8181818181818182,1.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,3141
benzyl_fentanyl,8,9,8,1.0,0.8888888888888888,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,3141
ethanol,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,3141
4_ANPP,11,5,5,0.45454545454545453,1.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,classical,linear_svm,arpls_minmax,2026
acetaminophen,0,4,0,,0.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,classical,linear_svm,arpls_minmax,2026
benzyl_fentanyl,8,10,8,1.0,0.8,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,classical,linear_svm,arpls_minmax,2026
4_ANPP,11,7,7,0.6363636363636364,1.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,classical,linear_svm,derivative_1,2026
acetaminophen,0,7,0,,0.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,classical,linear_svm,derivative_1,2026
benzyl_fentanyl,8,5,5,0.625,1.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,classical,linear_svm,derivative_1,2026
4_ANPP,11,6,6,0.5454545454545454,1.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,classical,linear_svm,minimal_minmax,2026
acetaminophen,0,8,0,,0.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,classical,linear_svm,minimal_minmax,2026
benzyl_fentanyl,8,5,5,0.625,1.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,classical,linear_svm,minimal_minmax,2026
4_ANPP,11,6,6,0.5454545454545454,1.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,classical,nearest_centroid,arpls_minmax,2026
4_nitrophenol,0,4,0,,0.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,classical,nearest_centroid,arpls_minmax,2026
benzyl_fentanyl,8,8,5,0.625,0.625,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,classical,nearest_centroid,arpls_minmax,2026
ethyl_paraoxon,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,classical,nearest_centroid,arpls_minmax,2026
4_ANPP,11,9,9,0.8181818181818182,1.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,classical,nearest_centroid,derivative_1,2026
acetaminophen,0,3,0,,0.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,classical,nearest_centroid,derivative_1,2026
benzyl_fentanyl,8,5,5,0.625,1.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,classical,nearest_centroid,derivative_1,2026
ethyl_paraoxon,0,2,0,,0.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,classical,nearest_centroid,derivative_1,2026
4_ANPP,11,9,9,0.8181818181818182,1.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,classical,nearest_centroid,minimal_minmax,2026
4_nitrophenol,0,5,0,,0.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,classical,nearest_centroid,minimal_minmax,2026
benzyl_fentanyl,8,5,5,0.625,1.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,classical,nearest_centroid,minimal_minmax,2026
4_ANPP,11,9,9,0.8181818181818182,1.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,classical,pca_logistic,arpls_minmax,2026
benzyl_fentanyl,8,10,8,1.0,0.8,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,classical,pca_logistic,arpls_minmax,2026
4_ANPP,11,7,7,0.6363636363636364,1.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,classical,pca_logistic,derivative_1,2026
acetaminophen,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,classical,pca_logistic,derivative_1,2026
benzyl_fentanyl,8,5,5,0.625,1.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,classical,pca_logistic,derivative_1,2026
ethanol,0,4,0,,0.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,classical,pca_logistic,derivative_1,2026
ethyl_paraoxon,0,2,0,,0.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,classical,pca_logistic,derivative_1,2026
4_ANPP,11,9,9,0.8181818181818182,1.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,classical,pca_logistic,minimal_minmax,2026
acetaminophen,0,2,0,,0.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,classical,pca_logistic,minimal_minmax,2026
benzyl_fentanyl,8,7,6,0.75,0.8571428571428571,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,classical,pca_logistic,minimal_minmax,2026
ethyl_paraoxon,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,classical,pca_logistic,minimal_minmax,2026
4_ANPP,11,8,8,0.7272727272727273,1.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,1729
acetaminophen,0,3,0,,0.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,1729
benzyl_fentanyl,8,7,6,0.75,0.8571428571428571,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,1729
ethanol,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,1729
4_ANPP,11,9,9,0.8181818181818182,1.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,2718
benzyl_fentanyl,8,8,7,0.875,0.875,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,2718
ethanol,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,2718
ethyl_paraoxon,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,2718
4_ANPP,11,9,9,0.8181818181818182,1.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,3141
benzyl_fentanyl,8,10,8,1.0,0.8,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,3141
4_ANPP,11,8,8,0.7272727272727273,1.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,siamese,deterministic_edge_triplet,derivative_1,1729
acetaminophen,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,siamese,deterministic_edge_triplet,derivative_1,1729
benzyl_fentanyl,8,5,5,0.625,1.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,siamese,deterministic_edge_triplet,derivative_1,1729
ethyl_paraoxon,0,5,0,,0.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,siamese,deterministic_edge_triplet,derivative_1,1729
4_ANPP,11,6,6,0.5454545454545454,1.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,siamese,deterministic_edge_triplet,derivative_1,2718
