stage,scenario,outer_fold,model_family,model,representation,curriculum,seed,observation_uid,mse,smooth_l1,spectral_angle,pearson_correlation,first_derivative_mae,reference_peak_count,matched_peak_count,repeatable_reference_peak_count,repeatable_matched_peak_count,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session1_row181,0.01853844777390876,0.00926922388695438,0.13616914329696386,0.444795930192271,0.0549830272163464,146,30,7,4,3.0,1.6199992937255034,0.08303693309426308
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session1_row188,0.0027877664616969907,0.0013938832308484953,0.05806104381485375,0.9563221945669002,0.02262093694755874,86,16,4,4,3.5,0.19410499119387697,0.06849507801234722
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session1_row191,0.0001732497546099131,8.662487730495655e-05,0.01877581106362551,0.9971029249568231,0.004950435818214569,11,10,5,5,1.0,0.07233568562091536,0.026644591242074966
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session1_row202,0.011751599270921178,0.005875799635460589,0.10685910535349515,0.7660297188167878,0.04403947898319789,127,24,5,2,2.0,0.6943483337955466,0.15488171577453613
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session1_row204,0.009111513304400602,0.004555756652200301,0.1271449197736811,0.6586892429307052,0.03776499379542656,128,23,2,2,1.0,2.033970542292394,0.09463486075401306
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session1_row223,0.0002013279549470051,0.00010066397747350255,0.016371356006985416,0.9977235808216867,0.00165371144602854,9,9,4,4,0.0,0.07965290948091129,0.025323158130049706
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session1_row227,0.0004747231670376149,0.00023736158351880744,0.021470264717450196,0.9949458121327338,0.002627019126583556,1,0,0,0,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session1_row230,0.0011335055920960748,0.0005667527960480374,0.027362927889141322,0.9889378605345818,0.003584751268312435,9,7,5,3,1.0,0.0724623510973927,0.05504553020000458
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session1_row231,0.0004528638493973226,0.0002264319246986613,0.017263570177209083,0.992899329837567,0.002575742067004155,1,1,0,0,4.0,0.06379386675834392,0.032906681299209595
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session1_row239,0.0014555435460621526,0.0007277717730310763,0.04435011277844372,0.9864177523377836,0.004075854713992157,11,10,6,6,1.0,0.15688486367275992,0.04478745860978961
