heldout_substrate_family,poster_axis,stage,scenario,outer_fold,model_family,model,representation,curriculum,seed,balanced_accuracy_supported,macro_f1_supported,macro_f1_union,n_test,n_test_supported,n_test_unsupported,unsupported_classes,reconstruction_mse,reconstruction_smooth_l1,reconstruction_spectral_angle,reconstruction_median_row_correlation,reconstruction_first_derivative_mae,repeatable_peak_recall,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,clean,1729,0.6533333333333333,0.5360028099754127,0.5360028099754127,75,75,0,,0.005087163924326221,0.0025435819621631105,0.08736255152735671,0.868707161919185,0.016203270516261716,0.4790104947526237,2.0,0.5606228271503356,0.08029269427061081
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,clean,2718,0.7600000000000001,0.7278669043374926,0.7278669043374926,75,75,0,,0.00518057025497436,0.00259028512748718,0.0885865128415136,0.8675314763724147,0.016448504051856466,0.4752623688155922,2.0,0.497243318682405,0.07345212530344725
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,clean,3141,0.7999999999999999,0.7910251820026256,0.7910251820026256,75,75,0,,0.005138874218480272,0.002569437109240136,0.08872905887951017,0.8691444597757443,0.01617264484712907,0.48050974512743627,2.0,0.5970768012055647,0.07805221155285835
Ag,400-1800_common,poster,poster_holdout_Ag,,dae,c16x32_z64_spectral_composite_mixed_progressive,minimal_minmax,mixed_progressive,1729,0.56,0.4949199507389162,0.4949199507389162,75,75,0,,0.00527800982324062,0.00263900491162031,0.033198547915446956,0.9603302845251597,0.008519746808364202,0.4986225895316804,2.0,0.5245005394332362,0.05995889753103256
Ag,400-1800_common,poster,poster_holdout_Ag,,dae,c16x32_z64_spectral_composite_mixed_progressive,minimal_minmax,mixed_progressive,2718,0.41333333333333333,0.3240660049170687,0.3240660049170687,75,75,0,,0.007202757023632994,0.003601378511816497,0.03918979178323293,0.9443730393589211,0.00880476389555155,0.4765840220385675,1.5,0.5011437501200412,0.08528105914592743
Ag,400-1800_common,poster,poster_holdout_Ag,,dae,c16x32_z64_spectral_composite_mixed_progressive,minimal_minmax,mixed_progressive,3141,0.48,0.4071259709557582,0.4071259709557582,75,75,0,,0.007072756331667723,0.0035363781658338616,0.03777538633553092,0.946186444431054,0.008604866627485327,0.5068870523415978,1.75,0.39256143463870274,0.0698513388633728
Ag,400-1800_common,poster,poster_holdout_Ag,,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,mixed_uniform,1729,0.7600000000000001,0.7332448130767458,0.7332448130767458,75,75,0,,0.005987262072556867,0.0029936310362784335,0.09243393871379929,0.856278195353419,0.016289780314534298,0.4752623688155922,2.0,0.5279799977251204,0.07999753206968307
Ag,400-1800_common,poster,poster_holdout_Ag,,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,mixed_uniform,2718,0.6933333333333334,0.6363606745380145,0.6363606745380145,75,75,0,,0.006042989709259416,0.003021494854629708,0.09218071864754993,0.8586749687597871,0.016411052864746586,0.46401799100449775,2.0,0.5916236078705142,0.0809529721736908
Ag,400-1800_common,poster,poster_holdout_Ag,,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,mixed_uniform,3141,0.8133333333333334,0.8031634951277807,0.8031634951277807,75,75,0,,0.007136262948141941,0.0035681314740709704,0.10389535135515403,0.807803535687973,0.016190275506139596,0.41679160419790107,2.0,0.5348462917386789,0.08942127646878362
Au,400-1800_common,poster,poster_holdout_Au,,classical,nearest_centroid,minimal_minmax,none,2026,0.74,0.8145204027556969,0.5430136018371313,50,50,0,,,,,,,,,,
Au,400-1800_common,poster,poster_holdout_Au,,classical,pca_logistic,minimal_minmax,none,2026,0.84,0.898886827458256,0.5992578849721707,50,50,0,,,,,,,,,,
Au,400-1800_common,poster,poster_holdout_Au,,classical,linear_svm,minimal_minmax,none,2026,0.74,0.7555260831122901,0.5036840554081934,50,50,0,,,,,,,,,,
Au,400-1800_common,poster,poster_holdout_Au,,classical,nearest_centroid,arpls_minmax,none,2026,0.9,0.9183333333333333,0.6122222222222222,50,50,0,,,,,,,,,,
Au,400-1800_common,poster,poster_holdout_Au,,classical,pca_logistic,arpls_minmax,none,2026,0.96,0.9791666666666667,0.6527777777777778,50,50,0,,,,,,,,,,
Au,400-1800_common,poster,poster_holdout_Au,,classical,linear_svm,arpls_minmax,none,2026,0.96,0.9795918367346939,0.6530612244897959,50,50,0,,,,,,,,,,
Au,400-1800_common,poster,poster_holdout_Au,,classical,nearest_centroid,derivative_1,none,2026,1.0,1.0,1.0,50,50,0,,,,,,,,,,
Au,400-1800_common,poster,poster_holdout_Au,,classical,pca_logistic,derivative_1,none,2026,0.98,0.9897959183673469,0.6598639455782312,50,50,0,,,,,,,,,,
Au,400-1800_common,poster,poster_holdout_Au,,classical,linear_svm,derivative_1,none,2026,0.98,0.9897959183673469,0.6598639455782312,50,50,0,,,,,,,,,,
Au,400-1800_common,poster,poster_holdout_Au,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,0.98,0.9897959183673469,0.6598639455782312,50,50,0,,,,,,,,,,
Au,400-1800_common,poster,poster_holdout_Au,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,0.98,0.9897959183673469,0.6598639455782312,50,50,0,,,,,,,,,,
Au,400-1800_common,poster,poster_holdout_Au,,siamese,deterministic_edge_triplet,derivative_1,triplet,3141,1.0,1.0,1.0,50,50,0,,,,,,,,,,
Au,400-1800_common,poster,poster_holdout_Au,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,0.8400000000000001,0.8577441077441077,0.5718294051627385,50,50,0,,0.003189360171335963,0.0015946800856679814,0.029726000668849145,0.9689059738215166,0.005441911318671607,0.8098159509202454,1.25,0.1871868137310591,0.05960571765899658
Au,400-1800_common,poster,poster_holdout_Au,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,2718,0.74,0.7488048674489353,0.49920324496595686,50,50,0,,0.003094819802793405,0.0015474099013967025,0.026644494243678592,0.9782726918946978,0.005254709793319386,0.8098159509202454,1.5,0.2150734154575704,0.05132929980754852
Au,400-1800_common,poster,poster_holdout_Au,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,3141,0.94,0.9591836734693877,0.6394557823129251,50,50,0,,0.0026535378105250786,0.0013267689052625393,0.02764910771004803,0.9735616549682212,0.005409160117421871,0.7607361963190185,1.5,0.234080449070945,0.051486849784851074
Au,400-1800_common,poster,poster_holdout_Au,,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,clean,1729,0.98,0.9897959183673469,0.6598639455782312,50,50,0,,0.002193184160037219,0.0010965920800186095,0.06735350305194633,0.9544390597498319,0.010049463456825053,0.5981308411214953,2.0,0.21939550227554686,0.06126362457871437
Au,400-1800_common,poster,poster_holdout_Au,,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,clean,2718,0.98,0.9897959183673469,0.6598639455782312,50,50,0,,0.002653199943752802,0.001326599971876401,0.0757898657129878,0.9438859535008077,0.009969258769636509,0.6425233644859814,2.0,0.19787833327924198,0.06221484951674938
Au,400-1800_common,poster,poster_holdout_Au,,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,clean,3141,0.98,0.9897959183673469,0.6598639455782312,50,50,0,,0.0022974146932967818,0.0011487073466483909,0.07007352334720085,0.9551186794293489,0.010045684804689203,0.6074766355140186,1.5,0.2271228773638826,0.05722281616181135
Au,400-1800_common,poster,poster_holdout_Au,,dae,c16x32_z64_spectral_composite_mixed_progressive,minimal_minmax,mixed_progressive,1729,0.9199999999999999,0.9565217391304348,0.6376811594202899,50,50,0,,0.006040164871745591,0.0030200824358727956,0.03533468692764282,0.9559859425511483,0.00524584334189276,0.7914110429447853,1.0,0.27834181523771695,0.056503504514694214
Au,400-1800_common,poster,poster_holdout_Au,,dae,c16x32_z64_spectral_composite_mixed_progressive,minimal_minmax,mixed_progressive,2718,0.94,0.9680851063829787,0.6453900709219859,50,50,0,,0.005840765147214827,0.0029203825736074133,0.0332077586657548,0.9657692134525864,0.005322278926526321,0.7852760736196319,1.0,0.2630994218324497,0.07555128633975983
