stage,scenario,outer_fold,model_family,model,representation,curriculum,seed,balanced_accuracy_supported,macro_f1_supported,macro_f1_union,n_test,n_test_supported,n_test_unsupported,unsupported_classes,reconstruction_mse,reconstruction_smooth_l1,reconstruction_spectral_angle,reconstruction_median_row_correlation,reconstruction_first_derivative_mae,repeatable_peak_recall,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change
outer,nato_outer_o0__train_strict_core__test_strict_core,0,classical,nearest_centroid,minimal_minmax,none,2026,0.47333333333333333,0.46787435278197437,0.46787435278197437,118,118,0,,,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0,classical,pca_logistic,minimal_minmax,none,2026,0.8109523809523811,0.7942361985840246,0.7942361985840246,118,118,0,,,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0,classical,linear_svm,minimal_minmax,none,2026,0.6628571428571428,0.6686814311814312,0.6686814311814312,118,118,0,,,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0,classical,nearest_centroid,arpls_minmax,none,2026,0.4742857142857143,0.46064849204384084,0.46064849204384084,118,118,0,,,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0,classical,pca_logistic,arpls_minmax,none,2026,0.82,0.8003404490246595,0.8003404490246595,118,118,0,,,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0,classical,linear_svm,arpls_minmax,none,2026,0.7566666666666667,0.7673957839484832,0.7673957839484832,118,118,0,,,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0,classical,nearest_centroid,derivative_1,none,2026,0.661904761904762,0.6697812194706605,0.6697812194706605,118,118,0,,,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0,classical,pca_logistic,derivative_1,none,2026,0.8019047619047619,0.7930117501546073,0.7930117501546073,118,118,0,,,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0,classical,linear_svm,derivative_1,none,2026,0.7471428571428572,0.7508407907270919,0.7508407907270919,118,118,0,,,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,0.7466666666666667,0.7526723316367239,0.7526723316367239,118,118,0,,,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,0.6961904761904761,0.6664488454386587,0.6664488454386587,118,118,0,,,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0,siamese,deterministic_edge_triplet,derivative_1,triplet,3141,0.7447619047619048,0.7359315927962696,0.7359315927962696,118,118,0,,,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,0.8023809523809523,0.7817388391957945,0.7817388391957945,118,118,0,,0.003970472842739251,0.0019852364213696254,0.05118678239978338,0.9839774004890669,0.016288430966703335,0.6883408071748879,2.0,0.33279718423235727,0.053531862795352936
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,2718,0.7571428571428571,0.7530239829037237,0.7530239829037237,118,118,0,,0.004175489512202591,0.0020877447561012956,0.05360469052938447,0.9838842902997735,0.016200247112611494,0.6591928251121076,2.0,0.3006975575400445,0.06410698592662811
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,3141,0.7819047619047618,0.7622987399915139,0.7622987399915139,118,118,0,,0.003989776084506493,0.0019948880422532467,0.05171167511808062,0.9854014385425502,0.01625347803697423,0.6681614349775785,2.0,0.26387430561560177,0.05011799558997154
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,clean,1729,0.7499999999999999,0.7310550346264633,0.7310550346264633,118,118,0,,0.00435884503759594,0.00217942251879797,0.061716511764218274,0.9445491509712529,0.01789332047606366,0.5575980392156863,2.0,0.2714577301020644,0.060958961956202984
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,clean,2718,0.7461904761904762,0.7466483507689387,0.7466483507689387,118,118,0,,0.003929636587419284,0.001964818293709642,0.05675195918456177,0.9543126074253068,0.01782496341628222,0.5759803921568627,2.0,0.2675628946282059,0.05610051704570651
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,clean,3141,0.7119047619047619,0.7093092523968229,0.7093092523968229,118,118,0,,0.004012685527030475,0.0020063427635152375,0.05826861089157449,0.9550930291494908,0.017771664116563578,0.5735294117647058,2.0,0.2609323921107698,0.05781770113389939
outer,nato_outer_o0__train_strict_core__test_strict_core,0,dae,c16x32_z64_spectral_composite_mixed_progressive,minimal_minmax,mixed_progressive,1729,0.6861904761904762,0.6736259236259237,0.6736259236259237,118,118,0,,0.005228721300861548,0.002614360650430774,0.05852709483280834,0.9795553122761281,0.016272095123070186,0.6614349775784754,2.0,0.2765475481114785,0.056915283203125
outer,nato_outer_o0__train_strict_core__test_strict_core,0,dae,c16x32_z64_spectral_composite_mixed_progressive,minimal_minmax,mixed_progressive,2718,0.8114285714285715,0.7888170097833538,0.7888170097833538,118,118,0,,0.005391592096892331,0.0026957960484461654,0.060980945360419474,0.9756556582534817,0.016151075492957984,0.6838565022421524,2.0,0.2762925030335423,0.05709115508943796
outer,nato_outer_o0__train_strict_core__test_strict_core,0,dae,c16x32_z64_spectral_composite_mixed_progressive,minimal_minmax,mixed_progressive,3141,0.7728571428571429,0.7590967019516591,0.7590967019516591,118,118,0,,0.005104947221883761,0.0025524736109418804,0.05838370661182558,0.981642144680587,0.01629899473121438,0.679372197309417,2.0,0.3032067243027235,0.049241635017096996
outer,nato_outer_o0__train_strict_core__test_strict_core,0,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,mixed_uniform,1729,0.7438095238095237,0.7296902971715002,0.7296902971715002,118,118,0,,0.004610370374335592,0.002305185187167796,0.06256499659340364,0.9484202768148353,0.017897487805446474,0.5796568627450981,2.0,0.2920971170954478,0.05728698894381523
outer,nato_outer_o0__train_strict_core__test_strict_core,0,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,mixed_uniform,2718,0.760952380952381,0.7333074507444255,0.7333074507444255,118,118,0,,0.004663907827842369,0.0023319539139211847,0.06272891834277261,0.9523458940618685,0.01778197542600944,0.5808823529411765,2.0,0.2799454375469146,0.051928480505011976
outer,nato_outer_o0__train_strict_core__test_strict_core,0,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,mixed_uniform,3141,0.7509523809523808,0.7263031531116636,0.7263031531116636,118,118,0,,0.004922602430744387,0.0024613012153721935,0.06805607020197361,0.9349979145501106,0.01780146030416696,0.5502450980392157,2.0,0.31447123626685886,0.06002746568992734
outer,nato_outer_o0__train_quality_pass__test_quality_pass,0,classical,nearest_centroid,minimal_minmax,none,2026,0.4904478458049887,0.4781778794201154,0.4781778794201154,103,103,0,,,,,,,,,,
