configuration,curriculum,epoch,inner_fold,outer_fold,representation,run_identifier,run_seed,stage,subset,train_loss,validation_loss
c16x32_z64_spectral_composite_gaussian_only,gaussian_only,1,1,0,minimal_minmax,strict_core__o0__i1__minimal_minmax__c16x32_z64_spectral_composite_gaussian_only,172920770,dae_search_core,strict_core,0.06653460687919,0.0541095945264111
c16x32_z64_spectral_composite_gaussian_only,gaussian_only,2,1,0,minimal_minmax,strict_core__o0__i1__minimal_minmax__c16x32_z64_spectral_composite_gaussian_only,172920770,dae_search_core,strict_core,0.0542896262929875,0.0488914379051753
c16x32_z64_spectral_composite_gaussian_only,gaussian_only,3,1,0,minimal_minmax,strict_core__o0__i1__minimal_minmax__c16x32_z64_spectral_composite_gaussian_only,172920770,dae_search_core,strict_core,0.0471716681159929,0.0472936400470613
c16x32_z64_spectral_composite_gaussian_only,gaussian_only,4,1,0,minimal_minmax,strict_core__o0__i1__minimal_minmax__c16x32_z64_spectral_composite_gaussian_only,172920770,dae_search_core,strict_core,0.0434645919691657,0.0407839583060821
c16x32_z64_spectral_composite_gaussian_only,gaussian_only,5,1,0,minimal_minmax,strict_core__o0__i1__minimal_minmax__c16x32_z64_spectral_composite_gaussian_only,172920770,dae_search_core,strict_core,0.0389213275236601,0.0379387178466099
c16x32_z64_spectral_composite_gaussian_only,gaussian_only,6,1,0,minimal_minmax,strict_core__o0__i1__minimal_minmax__c16x32_z64_spectral_composite_gaussian_only,172920770,dae_search_core,strict_core,0.0373594395486106,0.0369617995970389
c16x32_z64_spectral_composite_gaussian_only,gaussian_only,7,1,0,minimal_minmax,strict_core__o0__i1__minimal_minmax__c16x32_z64_spectral_composite_gaussian_only,172920770,dae_search_core,strict_core,0.0360101668313764,0.0353060446742202
c16x32_z64_spectral_composite_gaussian_only,gaussian_only,8,1,0,minimal_minmax,strict_core__o0__i1__minimal_minmax__c16x32_z64_spectral_composite_gaussian_only,172920770,dae_search_core,strict_core,0.0344082681137108,0.0334861294186415
c16x32_z64_spectral_composite_gaussian_only,gaussian_only,9,1,0,minimal_minmax,strict_core__o0__i1__minimal_minmax__c16x32_z64_spectral_composite_gaussian_only,172920770,dae_search_core,strict_core,0.0323294082816452,0.031063543225662
c16x32_z64_spectral_composite_gaussian_only,gaussian_only,10,1,0,minimal_minmax,strict_core__o0__i1__minimal_minmax__c16x32_z64_spectral_composite_gaussian_only,172920770,dae_search_core,strict_core,0.0296842473974435,0.0276251381748363
c16x32_z64_spectral_composite_gaussian_only,gaussian_only,11,1,0,minimal_minmax,strict_core__o0__i1__minimal_minmax__c16x32_z64_spectral_composite_gaussian_only,172920770,dae_search_core,strict_core,0.0264721043263445,0.0242414925278735
c16x32_z64_spectral_composite_gaussian_only,gaussian_only,12,1,0,minimal_minmax,strict_core__o0__i1__minimal_minmax__c16x32_z64_spectral_composite_gaussian_only,172920770,dae_search_core,strict_core,0.0235842807202953,0.0215597289982212
c16x32_z64_spectral_composite_gaussian_only,gaussian_only,13,1,0,minimal_minmax,strict_core__o0__i1__minimal_minmax__c16x32_z64_spectral_composite_gaussian_only,172920770,dae_search_core,strict_core,0.0210467922472887,0.0189594843839647
c16x32_z64_spectral_composite_gaussian_only,gaussian_only,14,1,0,minimal_minmax,strict_core__o0__i1__minimal_minmax__c16x32_z64_spectral_composite_gaussian_only,172920770,dae_search_core,strict_core,0.0185694491640352,0.0171081484178034
c16x32_z64_spectral_composite_gaussian_only,gaussian_only,15,1,0,minimal_minmax,strict_core__o0__i1__minimal_minmax__c16x32_z64_spectral_composite_gaussian_only,172920770,dae_search_core,strict_core,0.0165832862464344,0.016033248748912
c16x32_z64_spectral_composite_gaussian_only,gaussian_only,16,1,0,minimal_minmax,strict_core__o0__i1__minimal_minmax__c16x32_z64_spectral_composite_gaussian_only,172920770,dae_search_core,strict_core,0.0155294559834076,0.0152565426576663
c16x32_z64_spectral_composite_gaussian_only,gaussian_only,17,1,0,minimal_minmax,strict_core__o0__i1__minimal_minmax__c16x32_z64_spectral_composite_gaussian_only,172920770,dae_search_core,strict_core,0.0144724254973666,0.0143209961360367
c16x32_z64_spectral_composite_gaussian_only,gaussian_only,18,1,0,minimal_minmax,strict_core__o0__i1__minimal_minmax__c16x32_z64_spectral_composite_gaussian_only,172920770,dae_search_core,strict_core,0.013751876604978,0.0137932541381035
c16x32_z64_spectral_composite_gaussian_only,gaussian_only,19,1,0,minimal_minmax,strict_core__o0__i1__minimal_minmax__c16x32_z64_spectral_composite_gaussian_only,172920770,dae_search_core,strict_core,0.0132109580685351,0.0133675496414804
c16x32_z64_spectral_composite_gaussian_only,gaussian_only,20,1,0,minimal_minmax,strict_core__o0__i1__minimal_minmax__c16x32_z64_spectral_composite_gaussian_only,172920770,dae_search_core,strict_core,0.0128152852547754,0.0130286676762234
c16x32_z64_spectral_composite_gaussian_only,gaussian_only,21,1,0,minimal_minmax,strict_core__o0__i1__minimal_minmax__c16x32_z64_spectral_composite_gaussian_only,172920770,dae_search_core,strict_core,0.012377182671857,0.0127257678360373
c16x32_z64_spectral_composite_gaussian_only,gaussian_only,22,1,0,minimal_minmax,strict_core__o0__i1__minimal_minmax__c16x32_z64_spectral_composite_gaussian_only,172920770,dae_search_core,strict_core,0.0120474609115529,0.0123538017006857
c16x32_z64_spectral_composite_gaussian_only,gaussian_only,23,1,0,minimal_minmax,strict_core__o0__i1__minimal_minmax__c16x32_z64_spectral_composite_gaussian_only,172920770,dae_search_core,strict_core,0.01175176003468,0.0121024116685911
c16x32_z64_spectral_composite_gaussian_only,gaussian_only,24,1,0,minimal_minmax,strict_core__o0__i1__minimal_minmax__c16x32_z64_spectral_composite_gaussian_only,172920770,dae_search_core,strict_core,0.0115115402725594,0.0118750195652872
c16x32_z64_spectral_composite_gaussian_only,gaussian_only,25,1,0,minimal_minmax,strict_core__o0__i1__minimal_minmax__c16x32_z64_spectral_composite_gaussian_only,172920770,dae_search_core,strict_core,0.0114173478965448,0.0118279471414304
c16x32_z64_spectral_composite_gaussian_only,gaussian_only,26,1,0,minimal_minmax,strict_core__o0__i1__minimal_minmax__c16x32_z64_spectral_composite_gaussian_only,172920770,dae_search_core,strict_core,0.0112468981109249,0.0116621945835963
c16x32_z64_spectral_composite_gaussian_only,gaussian_only,27,1,0,minimal_minmax,strict_core__o0__i1__minimal_minmax__c16x32_z64_spectral_composite_gaussian_only,172920770,dae_search_core,strict_core,0.011047941823477,0.0113378243066933
c16x32_z64_spectral_composite_gaussian_only,gaussian_only,28,1,0,minimal_minmax,strict_core__o0__i1__minimal_minmax__c16x32_z64_spectral_composite_gaussian_only,172920770,dae_search_core,strict_core,0.0108691713465713,0.0113753077002758
c16x32_z64_spectral_composite_gaussian_only,gaussian_only,29,1,0,minimal_minmax,strict_core__o0__i1__minimal_minmax__c16x32_z64_spectral_composite_gaussian_only,172920770,dae_search_core,strict_core,0.01076776646542,0.0112814422728133
c16x32_z64_spectral_composite_gaussian_only,gaussian_only,30,1,0,minimal_minmax,strict_core__o0__i1__minimal_minmax__c16x32_z64_spectral_composite_gaussian_only,172920770,dae_search_core,strict_core,0.0106919111188635,0.0110597394156355
c16x32_z64_spectral_composite_gaussian_only,gaussian_only,31,1,0,minimal_minmax,strict_core__o0__i1__minimal_minmax__c16x32_z64_spectral_composite_gaussian_only,172920770,dae_search_core,strict_core,0.0105245511855032,0.0110993684746888
c16x32_z64_spectral_composite_gaussian_only,gaussian_only,32,1,0,minimal_minmax,strict_core__o0__i1__minimal_minmax__c16x32_z64_spectral_composite_gaussian_only,172920770,dae_search_core,strict_core,0.010396687528041,0.0110307768175081
c16x32_z64_spectral_composite_gaussian_only,gaussian_only,33,1,0,minimal_minmax,strict_core__o0__i1__minimal_minmax__c16x32_z64_spectral_composite_gaussian_only,172920770,dae_search_core,strict_core,0.0103739601717307,0.0109479161558531
c16x32_z64_spectral_composite_gaussian_only,gaussian_only,34,1,0,minimal_minmax,strict_core__o0__i1__minimal_minmax__c16x32_z64_spectral_composite_gaussian_only,172920770,dae_search_core,strict_core,0.0102831726336536,0.0108390546818616
c16x32_z64_spectral_composite_gaussian_only,gaussian_only,35,1,0,minimal_minmax,strict_core__o0__i1__minimal_minmax__c16x32_z64_spectral_composite_gaussian_only,172920770,dae_search_core,strict_core,0.010208086004878,0.010945304891705
c16x32_z64_spectral_composite_gaussian_only,gaussian_only,36,1,0,minimal_minmax,strict_core__o0__i1__minimal_minmax__c16x32_z64_spectral_composite_gaussian_only,172920770,dae_search_core,strict_core,0.010212292520644,0.0107824419460752
c16x32_z64_spectral_composite_gaussian_only,gaussian_only,37,1,0,minimal_minmax,strict_core__o0__i1__minimal_minmax__c16x32_z64_spectral_composite_gaussian_only,172920770,dae_search_core,strict_core,0.0100982971489429,0.0106893261471966
