evaluation_phase,stage,scenario,outer_fold,model_family,model,representation,curriculum,seed,observation_uid,mse,smooth_l1,spectral_angle,pearson_correlation,first_derivative_mae,reference_peak_count,matched_peak_count,repeatable_reference_peak_count,repeatable_matched_peak_count,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change,heldout_substrate_family,poster_axis,evaluation_subset,domain_protocol,domain_type,heldout_domain,n_train,n_test_partition
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session1_row31,0.0002273598152366,0.0001136799076183,0.0133520000746744,0.9979655097054904,0.0023118856123515,3,0,0,0,,,,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session1_row33,7.957901796906207e-05,3.978950898453104e-05,0.0073757268199662,0.9994114911070257,0.0019884633098575,1,0,0,0,,,,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session1_row36,0.0025817514989782,0.0012908757494891,0.1236017506052363,0.8840097799717066,0.0113984275946027,63,9,4,3,3.0,1.403803701049814,0.0621758587658405,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session1_row37,0.0046107479778716,0.0023053739889358,0.1070887173925142,0.8878327150131244,0.0186758485378231,82,15,3,2,3.0,1.0747107667695743,0.0989633128046989,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session1_row38,0.0018993886860523,0.0009496943430261,0.0789662755285513,0.9508689091798388,0.0091570488775115,35,14,3,3,1.5,0.4652809768505666,0.035043210722506,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session1_row50,0.0018532013550933,0.0009266006775466,0.1127076395129052,0.9168798225505796,0.0061812722775747,22,10,1,1,1.0,0.2144123217348459,0.0521389245986938,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session1_row54,0.001071674257144,0.000535837128572,0.0210053351300906,0.9833868947109576,0.0057404814021927,5,2,0,0,2.0,0.5226169217137236,0.0242708995938301,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session1_row64,0.0001631276873582,8.156384367910759e-05,0.0117993458965064,0.9984542414585252,0.0026475327348868,2,1,1,1,0.0,0.2180142594724085,0.0644624442793428,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session1_row65,0.0020916412444245,0.0010458206222122,0.0843999064356871,0.8956898176818007,0.0169465961427028,76,14,2,2,2.0,1.2497683893406646,0.0421131774783134,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session1_row177,0.0258287646776406,0.0129143823388203,0.1302213270039617,0.4731247611884145,0.0639274127403457,142,32,4,0,2.0,1.725541996125734,0.1480541639029979,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session1_row181,0.0185384477739087,0.0092692238869543,0.1361691432969638,0.444795930192271,0.0549830272163464,146,30,7,4,3.0,1.6199992937255034,0.083036933094263,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session1_row188,0.0027877664616969,0.0013938832308484,0.0580610438148537,0.9563221945669002,0.0226209369475587,86,16,4,4,3.5,0.1941049911938769,0.0684950780123472,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session1_row191,0.0001732497546099,8.662487730495655e-05,0.0187758110636255,0.9971029249568232,0.0049504358182145,11,10,5,5,1.0,0.0723356856209153,0.0266445912420749,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session1_row202,0.0117515992709211,0.0058757996354605,0.1068591053534951,0.7660297188167878,0.0440394789831978,127,24,5,2,2.0,0.6943483337955466,0.1548817157745361,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session1_row204,0.0091115133044006,0.0045557566522003,0.1271449197736811,0.6586892429307052,0.0377649937954265,128,23,2,2,1.0,2.033970542292394,0.094634860754013,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session1_row223,0.000201327954947,0.0001006639774735,0.0163713560069854,0.9977235808216868,0.0016537114460285,9,9,4,4,0.0,0.0796529094809112,0.0253231581300497,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session1_row227,0.0004747231670376,0.0002373615835188,0.0214702647174501,0.9949458121327338,0.0026270191265835,1,0,0,0,,,,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session1_row230,0.001133505592096,0.000566752796048,0.0273629278891413,0.9889378605345818,0.0035847512683124,9,7,5,3,1.0,0.0724623510973927,0.0550455302000045,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session1_row231,0.0004528638493973,0.0002264319246986,0.017263570177209,0.992899329837567,0.0025757420670041,1,1,0,0,4.0,0.0637938667583439,0.0329066812992095,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session1_row239,0.0014555435460621,0.000727771773031,0.0443501127784437,0.9864177523377836,0.0040758547139921,11,10,6,6,1.0,0.1568848636727599,0.0447874586097896,,,,,,,,
