heldout_substrate_family,poster_axis,stage,scenario,outer_fold,model_family,model,representation,curriculum,seed,observation_uid,true_label,predicted_label,prediction_confidence,test_class_supported,correct,instrument,sensor_family,substrate_family,source_substrate,target_analyte,localized_case
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,minimal_minmax,none,2026,poster_row_0150,4np,pyridine,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__all_4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,minimal_minmax,none,2026,poster_row_0151,4np,pyridine,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__all_4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,minimal_minmax,none,2026,poster_row_0152,4np,benzenethiol,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__all_4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,minimal_minmax,none,2026,poster_row_0153,4np,pyridine,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__all_4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,minimal_minmax,none,2026,poster_row_0154,4np,pyridine,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__all_4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,minimal_minmax,none,2026,poster_row_0155,4np,benzenethiol,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__all_4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,minimal_minmax,none,2026,poster_row_0156,4np,pyridine,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__all_4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,minimal_minmax,none,2026,poster_row_0157,4np,benzenethiol,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__all_4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,minimal_minmax,none,2026,poster_row_0158,4np,benzenethiol,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__all_4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,minimal_minmax,none,2026,poster_row_0159,4np,pyridine,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__all_4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,minimal_minmax,none,2026,poster_row_0160,4np,pyridine,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__all_4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,minimal_minmax,none,2026,poster_row_0161,4np,pyridine,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__all_4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,minimal_minmax,none,2026,poster_row_0162,4np,benzenethiol,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__all_4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,minimal_minmax,none,2026,poster_row_0163,4np,benzenethiol,0.9999999999934746,True,False,,,Ag,AgNP,4np,heldout_Ag__all_4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,minimal_minmax,none,2026,poster_row_0164,4np,benzenethiol,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__all_4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,minimal_minmax,none,2026,poster_row_0165,4np,pyridine,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__all_4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,minimal_minmax,none,2026,poster_row_0166,4np,pyridine,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__all_4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,minimal_minmax,none,2026,poster_row_0167,4np,benzenethiol,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__all_4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,minimal_minmax,none,2026,poster_row_0168,4np,pyridine,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__all_4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,minimal_minmax,none,2026,poster_row_0169,4np,pyridine,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__all_4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,minimal_minmax,none,2026,poster_row_0170,4np,benzenethiol,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__all_4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,minimal_minmax,none,2026,poster_row_0171,4np,pyridine,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__all_4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,minimal_minmax,none,2026,poster_row_0172,4np,pyridine,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__all_4np
