evaluation_phase,stage,scenario,outer_fold,model_family,model,representation,curriculum,seed,corruption,severity,balanced_accuracy_supported,macro_f1_supported,prediction_agreement,latent_cosine_drift,reconstruction_mse,reconstruction_smooth_l1,reconstruction_spectral_angle,reconstruction_median_row_correlation,reconstruction_first_derivative_mae,repeatable_peak_recall,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change,heldout_substrate_family,poster_axis,evaluation_subset,domain_protocol,domain_type,heldout_domain,n_train,n_test_partition
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,scale_offset,0.5,0.7452380952380953,0.7212617299061608,0.9322033898305084,0.0049609956331551,0.0053146637499599,0.0026573318749799,0.057151660237305,0.9833170057729153,0.0163276621362288,0.6748878923766816,2.0,0.2587635867066373,0.0506445749197155,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,scale_offset,1.0,0.7599999999999999,0.7475422679175481,0.9067796610169492,0.0178155861794948,0.0092180036262472,0.0046090018131236,0.069268931557915,0.9747903066099348,0.0165042774744606,0.6816143497757847,2.0,0.2956075253933656,0.0610634295735508,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,scale_offset,1.5,0.7028571428571427,0.6952399399604368,0.8305084745762712,0.037678062915802,0.0141376529471699,0.0070688264735849,0.0839466230119762,0.9610988827272468,0.016662348718114,0.6434977578475336,2.0,0.3429897940575459,0.0646908041089773,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,smooth_baseline,0.5,0.7404761904761904,0.7227440258400011,0.9491525423728814,0.0149996252730488,0.0063310571991337,0.0031655285995668,0.0716259149392638,0.9589075382760032,0.016572925729192,0.6748878923766816,2.0,0.2852921213246193,0.0490092074032872,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,smooth_baseline,1.0,0.718095238095238,0.7073198331556994,0.8813559322033898,0.043976105749607,0.0129599858503228,0.0064799929251614,0.0989373911164356,0.889616202786838,0.0169400816305892,0.6502242152466368,2.0,0.4351130318173425,0.0548449540510773,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,smooth_baseline,1.5,0.6666666666666667,0.6602926492104603,0.7796610169491526,0.0850861892104148,0.0233249298346572,0.0116624649173286,0.1242517077813322,0.7939263447051521,0.0174102896490275,0.6502242152466368,2.0,0.3764972695871512,0.0614421516656875,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,gaussian_noise,0.5,0.8142857142857142,0.7930761828365317,0.9830508474576272,7.483413355657831e-05,0.0039811489112938,0.0019905744556469,0.0514651591981598,0.9839283535057164,0.0162903700564178,0.6905829596412556,2.0,0.3200750321476393,0.0538649596273899,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,gaussian_noise,1.0,0.8142857142857142,0.7969212758068024,0.9745762711864406,0.0003278790973126,0.0040301726636216,0.0020150863318108,0.0521440065656981,0.9836460298358936,0.0162977712401177,0.6860986547085202,2.0,0.2736815942287834,0.0517405029386282,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,gaussian_noise,1.5,0.8261904761904761,0.8107050102660235,0.9661016949152542,0.0008363359957002,0.0041194376367569,0.0020597188183784,0.0532026366490862,0.9835870462037346,0.0163084074657365,0.672645739910314,2.0,0.305501858523321,0.055895528756082,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,isolated_spikes,0.5,0.8023809523809523,0.7817388391957945,1.0,1.2282092939130962e-05,0.0039717455836451,0.0019858727918225,0.0511934164665984,0.9839692749114586,0.016289731838981,0.695067264573991,2.0,0.3158828167804532,0.0538240559399127,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,isolated_spikes,1.0,0.7904761904761904,0.7699396367561979,0.9915254237288136,4.333105971454643e-05,0.0039748225846409,0.0019874112923204,0.0512624361966976,0.9838186908441277,0.0162933253671316,0.6883408071748879,2.0,0.3030162652841095,0.0531727857887744,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,isolated_spikes,1.5,0.7904761904761904,0.7704260314700969,0.9745762711864406,8.316312596434727e-05,0.0039792267113275,0.0019896133556637,0.0512785422243221,0.9839164584802116,0.0162935721376165,0.6928251121076233,2.0,0.2911641834167688,0.0545662250369787,,,,,,,,
