stage,scenario,outer_fold,model_family,model,representation,curriculum,seed,corruption,severity,balanced_accuracy_supported,macro_f1_supported,prediction_agreement,latent_cosine_drift,reconstruction_mse,reconstruction_smooth_l1,reconstruction_spectral_angle,reconstruction_median_row_correlation,reconstruction_first_derivative_mae,repeatable_peak_recall,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,scale_offset,0.5,0.7452380952380953,0.7212617299061608,0.9322033898305084,0.0049609956331551075,0.005314663749959979,0.0026573318749799897,0.057151660237305016,0.9833170057729153,0.016327662136228865,0.6748878923766816,2.0,0.2587635867066373,0.050644574919715524
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,scale_offset,1.0,0.7599999999999999,0.7475422679175481,0.9067796610169492,0.017815586179494858,0.00921800362624727,0.004609001813123635,0.06926893155791503,0.9747903066099348,0.01650427747446062,0.6816143497757847,2.0,0.29560752539336566,0.06106342957355082
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,scale_offset,1.5,0.7028571428571427,0.6952399399604368,0.8305084745762712,0.037678062915802,0.014137652947169947,0.007068826473584974,0.08394662301197627,0.9610988827272468,0.016662348718114037,0.6434977578475336,2.0,0.3429897940575459,0.06469080410897732
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,smooth_baseline,0.5,0.7404761904761904,0.7227440258400011,0.9491525423728814,0.014999625273048878,0.0063310571991337,0.00316552859956685,0.07162591493926386,0.9589075382760031,0.01657292572919205,0.6748878923766816,2.0,0.28529212132461934,0.04900920740328729
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,smooth_baseline,1.0,0.718095238095238,0.7073198331556994,0.8813559322033898,0.043976105749607086,0.012959985850322871,0.006479992925161436,0.09893739111643568,0.889616202786838,0.016940081630589285,0.6502242152466368,2.0,0.4351130318173425,0.054844954051077366
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,smooth_baseline,1.5,0.6666666666666667,0.6602926492104603,0.7796610169491526,0.08508618921041489,0.023324929834657268,0.011662464917328634,0.12425170778133222,0.7939263447051521,0.017410289649027515,0.6502242152466368,2.0,0.37649726958715124,0.06144215166568756
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,gaussian_noise,0.5,0.8142857142857142,0.7930761828365317,0.9830508474576272,7.483413355657831e-05,0.003981148911293842,0.001990574455646921,0.0514651591981598,0.9839283535057163,0.016290370056417865,0.6905829596412556,2.0,0.3200750321476393,0.05386495962738991
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,gaussian_noise,1.0,0.8142857142857142,0.7969212758068024,0.9745762711864406,0.00032787909731268883,0.004030172663621681,0.0020150863318108407,0.052144006565698196,0.9836460298358936,0.016297771240117758,0.6860986547085202,2.0,0.2736815942287834,0.0517405029386282
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,gaussian_noise,1.5,0.8261904761904761,0.8107050102660235,0.9661016949152542,0.0008363359957002103,0.004119437636756945,0.0020597188183784725,0.053202636649086234,0.9835870462037346,0.016308407465736568,0.672645739910314,2.0,0.305501858523321,0.05589552875608206
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,isolated_spikes,0.5,0.8023809523809523,0.7817388391957945,1.0,1.2282092939130962e-05,0.00397174558364513,0.001985872791822565,0.05119341646659849,0.9839692749114586,0.016289731838981088,0.695067264573991,2.0,0.3158828167804532,0.053824055939912796
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,isolated_spikes,1.0,0.7904761904761904,0.7699396367561979,0.9915254237288136,4.333105971454643e-05,0.003974822584640946,0.001987411292320473,0.051262436196697694,0.9838186908441275,0.016293325367131614,0.6883408071748879,2.0,0.3030162652841095,0.05317278578877449
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,isolated_spikes,1.5,0.7904761904761904,0.7704260314700969,0.9745762711864406,8.316312596434727e-05,0.00397922671132752,0.00198961335566376,0.051278542224322196,0.9839164584802116,0.01629357213761655,0.6928251121076233,2.0,0.29116418341676886,0.05456622503697872
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,edge_filled_shift,0.5,0.7833333333333333,0.7692116685477149,0.9745762711864406,0.0003330778272356838,0.0039939991155245195,0.0019969995577622597,0.05155566148612796,0.983977793596081,0.016292025958093027,0.6838565022421524,2.0,0.2863585899373319,0.05359162607783219
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,edge_filled_shift,1.0,0.7547619047619047,0.7288574430933814,0.923728813559322,0.0007075859466567636,0.004031344344562111,0.0020156721722810553,0.05222829533642656,0.9838090253406271,0.016299355329782328,0.6748878923766816,2.0,0.28635490771374134,0.05387300252914429
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,edge_filled_shift,1.5,0.7476190476190476,0.720793349149955,0.923728813559322,0.0009671176667325199,0.004053208221182396,0.002026604110591198,0.052465207803759774,0.9829148002525603,0.016316724341516584,0.679372197309417,2.0,0.28077170932824863,0.05370206851512194
