evaluation_phase,stage,scenario,outer_fold,model_family,model,representation,curriculum,seed,observation_uid,true_label,predicted_label,prediction_confidence,test_class_supported,correct,instrument,sensor_family,substrate_family,source_substrate,target_analyte,heldout_substrate_family,poster_axis,evaluation_subset,domain_protocol,domain_type,heldout_domain,n_train,n_test_partition,failure_type
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,linear_svm,minimal_minmax,none,2026,session3_row93,ethanol,4_nitrophenol,6.324642638294599,True,False,Pendar-2,H_SERS_H_Kit,,,ethanol,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,linear_svm,minimal_minmax,none,2026,session3_row105,ethyl_paraoxon,4_nitrophenol,5.283465194782324,True,False,Mira-2,H_SERS_H_Kit,,,ethyl_paraoxon,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,linear_svm,minimal_minmax,none,2026,session3_row211,4_ANPP,benzyl_fentanyl,6.3164325258180725,True,False,Mira-3,pSERS_Metrohm_silver,,,4_ANPP,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,linear_svm,minimal_minmax,none,2026,session3_row263,blank,4_ANPP,5.301537310513648,True,False,Pendar-1,pSERS_Metrohm_silver,,,blank,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,linear_svm,minimal_minmax,none,2026,session3_row277,blank,4_ANPP,6.3244966564458585,True,False,Pendar-1,pSERS_Metrohm_silver,,,blank,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,linear_svm,minimal_minmax,none,2026,session3_row296,blank,acetaminophen,4.307190924923394,True,False,Pendar-1,NRC_Canadian_SERS,,,blank,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,linear_svm,minimal_minmax,none,2026,session3_row297,4_ANPP,blank,6.295862150265713,True,False,Pendar-1,NRC_Canadian_SERS,,,4_ANPP,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,linear_svm,minimal_minmax,none,2026,session3_row306,benzyl_fentanyl,acetaminophen,5.298620395295801,True,False,Pendar-1,NRC_Canadian_SERS,,,benzyl_fentanyl,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,linear_svm,minimal_minmax,none,2026,session3_row315,benzyl_fentanyl,4_ANPP,5.272387709271771,True,False,Mira-3,NRC_Canadian_SERS,,,benzyl_fentanyl,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,linear_svm,minimal_minmax,none,2026,session3_row323,4_ANPP,benzyl_fentanyl,6.295887234296522,True,False,Mira-3,NRC_Canadian_SERS,,,4_ANPP,,,,,,,,,misclassification
