evaluation_phase,stage,scenario,outer_fold,model_family,model,representation,curriculum,seed,observation_uid,true_label,predicted_label,prediction_confidence,test_class_supported,correct,instrument,sensor_family,substrate_family,source_substrate,target_analyte,heldout_substrate_family,poster_axis,evaluation_subset,domain_protocol,domain_type,heldout_domain,n_train,n_test_partition,failure_type
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,nearest_centroid,minimal_minmax,none,2026,session2_row338,ethanol,benzyl_fentanyl,1.0,True,False,Agilent-3,H_SERS_H_Kit,,,ethanol,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,nearest_centroid,minimal_minmax,none,2026,session2_row355,ethanol,ethyl_paraoxon,1.0,True,False,Pendar-3,NRC_Canadian_SERS,,,ethanol,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,nearest_centroid,minimal_minmax,none,2026,session3_row11,ethanol,benzyl_fentanyl,1.0,True,False,Pendar-2,H_SERS_H_Kit,,,ethanol,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,nearest_centroid,minimal_minmax,none,2026,session3_row15,ethanol,acetaminophen,0.9999999999999998,True,False,Pendar-2,H_SERS_H_Kit,,,ethanol,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,nearest_centroid,minimal_minmax,none,2026,session3_row74,ethyl_paraoxon,acetaminophen,0.999999832778972,True,False,Pendar-2,H_SERS_H_Kit,,,ethyl_paraoxon,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,nearest_centroid,minimal_minmax,none,2026,session3_row84,ethyl_paraoxon,acetaminophen,0.9999999693407488,True,False,Pendar-2,H_SERS_H_Kit,,,ethyl_paraoxon,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,nearest_centroid,minimal_minmax,none,2026,session3_row93,ethanol,acetaminophen,1.0,True,False,Pendar-2,H_SERS_H_Kit,,,ethanol,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,nearest_centroid,minimal_minmax,none,2026,session3_row105,ethyl_paraoxon,ethanol,0.9999976941115292,True,False,Mira-2,H_SERS_H_Kit,,,ethyl_paraoxon,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,nearest_centroid,minimal_minmax,none,2026,session3_row149,ethanol,4_ANPP,0.9990807585499236,True,False,Mira-2,H_SERS_H_Kit,,,ethanol,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,nearest_centroid,minimal_minmax,none,2026,session3_row169,ethyl_paraoxon,ethanol,0.9999999870741312,True,False,Mira-2,H_SERS_H_Kit,,,ethyl_paraoxon,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,nearest_centroid,minimal_minmax,none,2026,session3_row211,4_ANPP,blank,1.0,True,False,Mira-3,pSERS_Metrohm_silver,,,4_ANPP,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,nearest_centroid,minimal_minmax,none,2026,session3_row224,benzyl_fentanyl,blank,0.9999999998821196,True,False,Pendar-1,pSERS_Metrohm_silver,,,benzyl_fentanyl,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,nearest_centroid,minimal_minmax,none,2026,session3_row225,4_ANPP,blank,1.0,True,False,Mira-3,pSERS_Metrohm_silver,,,4_ANPP,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,nearest_centroid,minimal_minmax,none,2026,session3_row235,benzyl_fentanyl,blank,1.0,True,False,Mira-3,pSERS_Metrohm_silver,,,benzyl_fentanyl,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,nearest_centroid,minimal_minmax,none,2026,session3_row259,blank,benzyl_fentanyl,1.0,True,False,Agilent-1,pSERS_Metrohm_silver,,,blank,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,nearest_centroid,minimal_minmax,none,2026,session3_row277,blank,4_ANPP,1.0,True,False,Pendar-1,pSERS_Metrohm_silver,,,blank,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,nearest_centroid,minimal_minmax,none,2026,session3_row286,blank,benzyl_fentanyl,1.0,True,False,Agilent-1,pSERS_Metrohm_silver,,,blank,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,nearest_centroid,minimal_minmax,none,2026,session3_row296,blank,ethyl_paraoxon,1.0,True,False,Pendar-1,NRC_Canadian_SERS,,,blank,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,nearest_centroid,minimal_minmax,none,2026,session3_row297,4_ANPP,ethyl_paraoxon,1.0,True,False,Pendar-1,NRC_Canadian_SERS,,,4_ANPP,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,nearest_centroid,minimal_minmax,none,2026,session3_row298,blank,4_nitrophenol,0.9999999991934524,True,False,Pendar-1,NRC_Canadian_SERS,,,blank,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,nearest_centroid,minimal_minmax,none,2026,session3_row306,benzyl_fentanyl,ethyl_paraoxon,1.0,True,False,Pendar-1,NRC_Canadian_SERS,,,benzyl_fentanyl,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,nearest_centroid,minimal_minmax,none,2026,session3_row312,blank,4_nitrophenol,1.0,True,False,Pendar-1,NRC_Canadian_SERS,,,blank,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,nearest_centroid,minimal_minmax,none,2026,session3_row315,benzyl_fentanyl,ethanol,1.0,True,False,Mira-3,NRC_Canadian_SERS,,,benzyl_fentanyl,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,nearest_centroid,minimal_minmax,none,2026,session3_row323,4_ANPP,blank,1.0,True,False,Mira-3,NRC_Canadian_SERS,,,4_ANPP,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,nearest_centroid,minimal_minmax,none,2026,session3_row324,blank,ethanol,1.0,True,False,Mira-3,NRC_Canadian_SERS,,,blank,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,nearest_centroid,minimal_minmax,none,2026,session3_row458,benzyl_fentanyl,acetaminophen,1.0,True,False,RMX-2,pSERS_Metrohm_silver,,,benzyl_fentanyl,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,nearest_centroid,minimal_minmax,none,2026,session3_row462,4_ANPP,acetaminophen,1.0,True,False,RMX-2,pSERS_Metrohm_silver,,,4_ANPP,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,nearest_centroid,minimal_minmax,none,2026,session3_row466,benzyl_fentanyl,acetaminophen,1.0,True,False,RMX-2,pSERS_Metrohm_silver,,,benzyl_fentanyl,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,nearest_centroid,minimal_minmax,none,2026,session3_row469,benzyl_fentanyl,acetaminophen,1.0,True,False,Mira-1,pSERS_Metrohm_silver,,,benzyl_fentanyl,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,nearest_centroid,minimal_minmax,none,2026,session3_row473,4_ANPP,acetaminophen,1.0,True,False,Mira-1,pSERS_Metrohm_silver,,,4_ANPP,,,,,,,,,misclassification
