evaluation_subset,domain_protocol,domain_type,heldout_domain,n_train,n_test_partition,stage,scenario,outer_fold,model_family,model,representation,curriculum,seed,observation_uid,mse,smooth_l1,spectral_angle,pearson_correlation,first_derivative_mae,reference_peak_count,matched_peak_count,repeatable_reference_peak_count,repeatable_matched_peak_count,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,clean,1729,session3_row226,0.002430411015612779,0.0012152055078063894,0.08270689758550737,0.9442597569315497,0.006024086948754075,14,9,0,0,3.0,0.3175467470315715,0.03690837463364005
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,clean,1729,session3_row236,0.001645983254817488,0.000822991627408744,0.0655965604973234,0.968209813054223,0.0030062358171146896,9,8,0,0,1.0,0.30504246366747667,0.029609161894768476
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,clean,1729,session3_row242,0.015522613758333427,0.007761306879166713,0.13848033874631588,0.8255395111882942,0.01304669928792334,27,8,0,0,2.0,0.3729740369132154,0.09914255747571588
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,clean,1729,session3_row245,0.0008569682311875944,0.0004284841155937972,0.062225400868130415,0.9734131778108482,0.0035870221876705597,11,7,0,0,2.0,0.33425973019152877,0.026254511438310146
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,clean,1729,session3_row249,0.001531217200269861,0.0007656086001349306,0.07757803165318516,0.9521849446998,0.006780786011814988,15,8,0,0,3.0,0.34539163256991645,0.0262790834531188
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,clean,1729,session3_row253,0.0016079325423382423,0.0008039662711691212,0.06568317786365994,0.9687971051033484,0.0030779898544174753,10,7,0,0,1.0,0.3302287456982778,0.0400152588263154
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,clean,1729,session3_row256,0.0016107045335752193,0.0008053522667876096,0.06754064718927295,0.9669599658200301,0.0036133015731067124,11,9,0,0,1.0,0.25565700514503426,0.028589488472789526
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,clean,1729,session3_row259,0.01247983655670992,0.00623991827835496,0.1385239714923559,0.8313334638300913,0.012573797105329245,27,12,0,0,2.0,0.6571598286819531,0.06804941594600677
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,clean,1729,session3_row262,0.014933318975003567,0.007466659487501783,0.15006517069096217,0.8297011772528925,0.011381297750881331,21,7,0,0,4.0,0.6299112212417649,0.1094214613258373
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,clean,1729,session3_row265,0.016692884940292082,0.008346442470146041,0.1451637476668047,0.7906040236214705,0.013430099938330905,28,11,0,0,3.0,0.3324972696465234,0.0593256950378418
