heldout_substrate_family,poster_axis,stage,scenario,outer_fold,model_family,model,representation,curriculum,seed,observation_uid,mse,smooth_l1,spectral_angle,pearson_correlation,first_derivative_mae,reference_peak_count,matched_peak_count,repeatable_reference_peak_count,repeatable_matched_peak_count,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0150,0.003917899751940934,0.001958949875970467,0.03061496197786592,0.9634842041208004,0.007435326634461359,17,2,4,1,1.0,0.6499072674516738,0.0501822829246521
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0151,0.004259532491739851,0.0021297662458699255,0.034675313997871944,0.9479454363641184,0.008997852178955717,30,8,3,1,3.0,0.7299244295036751,0.02741226553916931
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0152,0.0023832139530463544,0.0011916069765231772,0.040483207669514285,0.9760751954003412,0.004653053855623252,5,1,1,1,1.0,0.058567977875241234,0.00249674916267395
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0153,0.0045499230864755385,0.0022749615432377693,0.03530467426627144,0.9322744828853983,0.009053199281250791,23,6,6,3,1.5,0.34556838675603446,0.061981379985809326
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0154,0.0037617419107031816,0.0018808709553515908,0.03125101659282614,0.9472551711844727,0.009822612697524684,35,10,6,3,1.5,0.8457376587553256,0.023445159196853638
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0155,0.0027338705931394254,0.0013669352965697127,0.04769700669633853,0.9773737362337983,0.0033449238317552954,2,1,2,1,4.0,0.2276422702212221,0.008235093206167221
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0156,0.003771456335315439,0.0018857281676577194,0.037895857893662455,0.9499729009661305,0.008980855803404535,31,5,3,1,4.0,0.8074866601685251,0.03117525577545166
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0157,0.0049468752835600946,0.0024734376417800473,0.0460243865650686,0.9400117334721744,0.00596978742396459,8,2,2,1,2.5,0.5521929585615221,0.16840802133083344
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0158,0.015342397882899176,0.007671198941449588,0.09024136391346879,0.7809588665541978,0.00821475955952857,17,1,10,0,5.0,0.352955387534002,0.09150895476341248
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0159,0.0043298967111205225,0.0021649483555602612,0.04140286334780263,0.9259055822863335,0.01007966740988195,39,6,4,2,1.0,1.146073412120587,0.06353545188903809
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0160,0.004339293912337775,0.0021696469561688875,0.03783334581530227,0.9330640121585652,0.007938666552571314,21,6,4,2,1.0,0.5034064896067043,0.025548234581947327
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0161,0.004036384387247044,0.002018192193623522,0.027472872162714213,0.9562268369789644,0.011168620588640417,44,5,7,3,1.0,0.44960767631011017,0.0985066294670105
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0162,0.004569893037500003,0.0022849465187500017,0.04050063530597354,0.9638145039123437,0.0052421594876796,6,1,2,1,3.0,0.02477679856720229,0.026398375630378723
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0163,0.00707814200928803,0.003539071004644015,0.03560090083466277,0.9650980760444696,0.005518570771174771,8,2,2,1,3.5,0.2080348516522901,0.03127208352088928
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0164,0.003004646338362479,0.0015023231691812394,0.03687642373887993,0.974887934659665,0.005013443306088447,7,1,2,0,1.0,0.467483268812992,0.003708183765411377
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0165,0.0033073110608476558,0.0016536555304238279,0.03136336255379454,0.9476388499172104,0.009637524638591069,27,3,6,1,3.0,1.6843079782079242,0.10308420658111572
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0166,0.007826948731882584,0.003913474365941292,0.04607407157538964,0.8894326573377836,0.010415309257805348,36,5,7,1,2.0,0.6306784319740106,0.02811253070831299
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0167,0.004621386405515693,0.0023106932027578465,0.05474268814992573,0.9480117839125471,0.0050252577398038865,7,0,2,0,,,
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0168,0.003834461507032345,0.0019172307535161724,0.037066125857809454,0.9388299534152119,0.008920603890105018,23,2,2,1,0.5,0.872925410455319,0.22398629784584045
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0169,0.003641189713239217,0.0018205948566196084,0.033417579007081324,0.9388764779498254,0.00936368211521767,36,4,4,1,2.5,0.7064611086611107,0.02575552463531494
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0170,0.004951460310910486,0.002475730155455243,0.044204221213883614,0.9527071057951545,0.006713201888570828,12,2,2,0,1.5,0.34665661558051064,0.03283455967903137
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0171,0.0035949976123994844,0.0017974988061997422,0.031111478732659882,0.947132869536868,0.009927723624610476,39,5,4,1,3.0,0.7567003174788288,0.029692351818084717
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0172,0.003964321943020521,0.0019821609715102604,0.03611120773553411,0.9280512294422912,0.01304091352902885,64,7,6,3,3.0,0.8766441423250849,0.06969451904296875
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0173,0.005805776695557666,0.002902888347778833,0.053636719998214864,0.9540257880379293,0.005979650942608714,8,1,2,0,5.0,0.18503529696951512,0.008104100823402405
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0174,0.003551052616213751,0.0017755263081068754,0.040147291533766546,0.9346854179637006,0.008612982051979218,31,7,3,2,2.0,0.6930375506929913,0.05278274416923523
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0175,0.0021164734252434965,0.0010582367126217482,0.023140841235304934,0.9723465855184666,0.009333154407629211,38,6,4,2,2.0,0.23423350370762264,0.034478962421417236
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0176,0.010387120899960127,0.0051935604499800635,0.02242539211185304,0.9729878064236377,0.009059866755934698,24,4,5,2,1.0,0.18052363675438793,0.049719274044036865
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0177,0.0022878379105921746,0.0011439189552960873,0.025630054460031974,0.9667534137595589,0.008238476863261894,33,5,4,3,1.0,0.18436252847233428,0.09713906049728394
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0178,0.0024290952160515413,0.0012145476080257706,0.02584047465205659,0.9635348683748399,0.009232713694551161,33,7,5,4,2.0,0.8005296444348006,0.0812215805053711
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0179,0.0031055464545023553,0.0015527732272511776,0.02990315351899188,0.9627209931007957,0.009830417652015708,38,5,4,3,2.0,0.2908734290083429,0.051883041858673096
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0180,0.002782653975763873,0.0013913269878819364,0.026523804573318127,0.9651542855574453,0.010194323379389192,43,6,5,4,1.5,1.0956462491436423,0.08707505464553833
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0181,0.003558138235672807,0.0017790691178364035,0.03018135391502258,0.9606492644082406,0.008879599447162555,40,3,5,3,1.0,0.051360145353358186,0.15610206127166748
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0182,0.004102205391503914,0.002051102695751957,0.04119794039675373,0.9275304391142507,0.008866398551368287,28,4,5,2,2.5,0.3775386305926854,0.06921450793743134
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0183,0.0030645603329542987,0.0015322801664771494,0.029605804238375295,0.9629914584534753,0.009831855254846492,44,6,5,3,0.5,1.2657883505803038,0.05803766846656799
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0184,0.00361293123374376,0.00180646561687188,0.029473832191503492,0.9635082286089979,0.010255269722214766,49,6,4,2,1.0,1.1310830414524067,0.06685370206832886
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0185,0.0028255549921581253,0.0014127774960790626,0.02797543557373808,0.9597475110742617,0.00953244803706184,34,6,5,4,1.5,0.8502727861856354,0.12008252739906311
