heldout_substrate_family,poster_axis,stage,scenario,outer_fold,model_family,model,representation,curriculum,seed,corruption,severity,balanced_accuracy_supported,macro_f1_supported,prediction_agreement,latent_cosine_drift,reconstruction_mse,reconstruction_smooth_l1,reconstruction_spectral_angle,reconstruction_median_row_correlation,reconstruction_first_derivative_mae,repeatable_peak_recall,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,2718,smooth_baseline,0.5,0.52,0.45741259466749656,0.96,0.005723870825022459,0.004768170117032772,0.002384085058516386,0.03687926314620767,0.9523697002543301,0.008619366492316666,0.5509641873278237,2.0,0.3737286695138215,0.06610895693302155
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,2718,smooth_baseline,1.0,0.5066666666666667,0.4587377577521199,0.8933333333333333,0.023700423538684845,0.009126723224167568,0.004563361612083784,0.046817686380300684,0.9229428906339844,0.008738892636470092,0.5509641873278237,2.0,0.41785907230403563,0.06920558959245682
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,2718,smooth_baseline,1.5,0.52,0.4621212121212121,0.8266666666666667,0.05169994384050369,0.01473544061946399,0.007367720309731995,0.05694550734481808,0.8840259312375168,0.008923971020385753,0.5261707988980716,2.0,0.611920315829493,0.056957174092531204
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,2718,gaussian_noise,0.5,0.49333333333333335,0.431181862416328,1.0,1.1793772500823252e-05,0.0028478204843579496,0.0014239102421789748,0.031127875630173503,0.965665771447874,0.00855896572135394,0.5757575757575758,2.0,0.3679184167474441,0.0582275465130806
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,2718,gaussian_noise,1.0,0.49333333333333335,0.431181862416328,1.0,5.7048004237003624e-05,0.002866379007725827,0.0014331895038629135,0.03116335352292404,0.9655932656787897,0.008568065839039124,0.5757575757575758,2.0,0.35711476237778406,0.05857139825820923
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,2718,gaussian_noise,1.5,0.5066666666666667,0.4547924917093274,0.9866666666666667,0.00013314644456841052,0.002912893078986835,0.0014564465394934175,0.031189188604755416,0.9653056175361602,0.008574604053338597,0.581267217630854,2.0,0.37436735721003706,0.05716738849878311
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,2718,isolated_spikes,0.5,0.49333333333333335,0.431181862416328,1.0,9.028911335917655e-06,0.00284577145706732,0.00142288572853366,0.03110277263277448,0.965489112012703,0.008555140490829997,0.5702479338842975,1.75,0.3597005451857477,0.058594174683094025
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,2718,isolated_spikes,1.0,0.49333333333333335,0.431181862416328,1.0,3.2378036848967895e-05,0.0028543609557327133,0.0014271804778663566,0.031147843796446917,0.9654967736683939,0.008555876346637679,0.5730027548209367,1.5,0.3609425410221194,0.05969034880399704
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,2718,isolated_spikes,1.5,0.49333333333333335,0.431181862416328,1.0,3.910382656613365e-05,0.002855792914842671,0.0014278964574213355,0.031135719787732434,0.9652795393267165,0.00855682466520179,0.5619834710743802,2.0,0.3607475898095456,0.05897468328475952
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,2718,edge_filled_shift,0.5,0.5066666666666667,0.44432234432234435,0.96,3.5545032005757093e-05,0.0028372897671042467,0.0014186448835521233,0.031093579541410142,0.9658653931568698,0.008556466162342275,0.5702479338842975,2.0,0.3716813246853682,0.06523489207029343
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,2718,edge_filled_shift,1.0,0.49333333333333335,0.431181862416328,0.9466666666666667,0.00010050932905869558,0.002845684670468224,0.001422842335234112,0.03116710755064629,0.9651093518350179,0.008559713597440522,0.5619834710743802,2.0,0.42788832232461627,0.05708234757184982
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,2718,edge_filled_shift,1.5,0.5066666666666667,0.44432234432234435,0.9333333333333333,0.0001698009145911783,0.0028552051816694984,0.0014276025908347492,0.03126368623373456,0.9651090427766984,0.008560962489646511,0.5647382920110193,1.75,0.37446055794458744,0.06292208284139633
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,2718,gaussian_broadening,0.5,0.49333333333333335,0.431181862416328,1.0,3.33786012163273e-08,0.0028370190445475415,0.0014185095222737708,0.031104107584607164,0.9655069699217768,0.008554278351632664,0.5785123966942148,1.5,0.3630535156555188,0.05999565124511719
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,2718,gaussian_broadening,1.0,0.49333333333333335,0.431181862416328,1.0,6.381670800692518e-07,0.00283747893096007,0.001418739465480035,0.03110877123405635,0.9654673769330119,0.008553825303819084,0.5785123966942148,1.5,0.3695985171607833,0.060055702924728394
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,2718,gaussian_broadening,1.5,0.48,0.4177248677248677,0.9866666666666667,2.536773763495148e-06,0.002838669035095065,0.0014193345175475326,0.031117641651576496,0.9654193465948538,0.008553572528410222,0.5757575757575758,1.5,0.3652935921532191,0.06011313945055008
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,2718,composite,0.5,0.49333333333333335,0.431181862416328,1.0,0.010063196532428265,0.006225811051865233,0.0031129055259326165,0.03761283073276197,0.9500480376061301,0.008606368643160783,0.5702479338842975,2.0,0.3691653320099426,0.06014329195022583
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,2718,composite,1.0,0.5466666666666667,0.4939742250087078,0.8533333333333334,0.0399041511118412,0.014764222328851166,0.007382111164425583,0.0495249305515873,0.9191725952513743,0.00877769225889994,0.5426997245179064,2.0,0.4924982533939602,0.0731014609336853
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,2718,composite,1.5,0.4266666666666667,0.3810261905673135,0.72,0.08476287871599197,0.02305153693917995,0.011525768469589975,0.0628334022841048,0.8738145801887433,0.009002551023606708,0.48484848484848486,2.0,0.7423496447159157,0.06160593032836914
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,3141,scale_offset,0.5,0.5066666666666667,0.45794876777097704,0.8933333333333333,0.007962586358189583,0.005020818918932137,0.0025104094594660684,0.03219984633396301,0.9648536440103651,0.008569284505236368,0.5289256198347108,1.5,0.52202558028864,0.0640750527381897
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,3141,scale_offset,1.0,0.48,0.426820804663798,0.9066666666666666,0.02882971428334713,0.011362867153855923,0.005681433576927962,0.03562696328547059,0.9577116688899807,0.008627360873916684,0.5261707988980716,2.0,0.5854025813796983,0.0600460022687912
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,3141,scale_offset,1.5,0.45333333333333337,0.38912498637899096,0.8266666666666667,0.052506424486637115,0.018947152661356374,0.009473576330678187,0.04020422366977598,0.9513368451551665,0.008721515401527116,0.5068870523415978,1.5,0.5658648401137537,0.056164100766181946
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,3141,smooth_baseline,0.5,0.5333333333333333,0.4672165162361241,0.9066666666666666,0.011967981234192848,0.004686042222430428,0.002343021111215214,0.03642179920934111,0.9516022468074002,0.00855299226371355,0.5426997245179064,2.0,0.4785746393461182,0.07160669565200806
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,3141,smooth_baseline,1.0,0.48,0.41604938271604935,0.7866666666666666,0.043096259236335754,0.00996531950914267,0.004982659754571335,0.04839454089817421,0.9183875725606047,0.008720196267411476,0.4986225895316804,1.75,0.44606779145823156,0.06394843757152557
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,3141,smooth_baseline,1.5,0.49333333333333335,0.3957264957264957,0.7733333333333333,0.08365577459335327,0.017189145832318065,0.008594572916159032,0.06135270606413011,0.866112471030674,0.009028819742189062,0.5013774104683195,2.0,0.5393254385407065,0.0633833184838295
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,3141,gaussian_noise,0.5,0.5599999999999999,0.5209163160355307,0.9733333333333334,1.982688991120085e-05,0.0027565157048517496,0.0013782578524258748,0.03059181754070861,0.9665610136035736,0.008536700601426805,0.5482093663911846,1.25,0.4731563030614611,0.06051452457904816
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,3141,gaussian_noise,1.0,0.5599999999999999,0.5209163160355307,0.9733333333333334,8.687654917594045e-05,0.0027654238864842544,0.0013827119432421272,0.03075063019037677,0.9662750560006925,0.008550149848448565,0.5454545454545454,1.75,0.49788028907009446,0.05828857421875
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,3141,gaussian_noise,1.5,0.5333333333333333,0.49327325962946134,0.9466666666666667,0.0002006737340707332,0.0027963356080735278,0.0013981678040367639,0.030943013111054678,0.9656068906604229,0.008563844064298316,0.5482093663911846,1.25,0.4933642511635181,0.06155988574028015
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,3141,isolated_spikes,0.5,0.56,0.5245546461242175,1.0,1.3809998563374393e-05,0.0027510744656615,0.00137553723283075,0.03052041267467036,0.9666963459395579,0.008528821111620191,0.5426997245179064,1.5,0.4989430537531587,0.0611547976732254
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,3141,isolated_spikes,1.0,0.5599999999999999,0.5209163160355307,0.9733333333333334,4.7535100748063996e-05,0.0027492947152832486,0.0013746473576416243,0.030545295409851642,0.9662133781262213,0.008529937867907905,0.5482093663911846,1.5,0.47662579820815587,0.06387254595756531
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,3141,isolated_spikes,1.5,0.5466666666666667,0.5113851992409867,0.9866666666666667,5.259275349089876e-05,0.002752991043818912,0.001376495521909456,0.030535034042242237,0.9665220060540054,0.008529317487739744,0.5454545454545454,1.5,0.48764340793747085,0.06229519098997116
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,3141,edge_filled_shift,0.5,0.56,0.5245546461242175,1.0,5.545775275095366e-05,0.0027466708287957626,0.0013733354143978813,0.030484224206998187,0.9664350615535149,0.008527814169980948,0.5454545454545454,1.5,0.4632236320798181,0.06066310405731201
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,3141,edge_filled_shift,1.0,0.5333333333333333,0.49688208616780044,0.96,0.0001283510500798002,0.002760349820755379,0.0013801749103776895,0.03062231605477667,0.9662375635691199,0.008532068808020942,0.5426997245179064,1.0,0.5090161494452882,0.05828362703323364
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,3141,edge_filled_shift,1.5,0.5333333333333333,0.49327325962946134,0.9466666666666667,0.00021361271501518786,0.0027801315490520186,0.0013900657745260093,0.030781014502346753,0.9659556772995508,0.008539699272251563,0.5482093663911846,1.5,0.4447062751397475,0.06277256458997726
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,3141,gaussian_broadening,0.5,0.56,0.5245546461242175,1.0,8.662541972626059e-08,0.00274832842877975,0.001374164214389875,0.03048811389341838,0.966755973561074,0.008527527777716527,0.5454545454545454,1.25,0.4779065901163893,0.06271538883447647
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,3141,gaussian_broadening,1.0,0.56,0.5245546461242175,1.0,1.1301040103717241e-06,0.0027453179487603725,0.0013726589743801863,0.030473889100280354,0.9668042669044492,0.008526742458324708,0.5454545454545454,1.5,0.4773333408336925,0.06349018216133118
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,3141,gaussian_broadening,1.5,0.56,0.5245546461242175,1.0,3.836949872493278e-06,0.0027435541986670776,0.0013717770993335388,0.030474080556327904,0.9668159309162855,0.008526456973425694,0.5426997245179064,1.5,0.47612791954523015,0.06342575699090958
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,3141,composite,0.5,0.52,0.46390168970814133,0.8533333333333334,0.017391357570886612,0.006340343455391712,0.003170171727695856,0.03775164859142095,0.9492453254777224,0.008561772602422968,0.5399449035812672,1.5,0.4677589980411403,0.05914375185966492
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,3141,composite,1.0,0.5333333333333333,0.442329421990439,0.8,0.06721384078264236,0.0164140946237066,0.0082070473118533,0.05307093571495401,0.9033276441244382,0.008873507905356815,0.5013774104683195,2.0,0.507646309425519,0.05937826633453369
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,3141,composite,1.5,0.45333333333333337,0.3784188034188034,0.7333333333333333,0.11531241238117218,0.025851545316422846,0.012925772658211423,0.06669326478205932,0.8502180272132535,0.009172475106686605,0.43526170798898073,2.0,0.6105748176055411,0.05143231153488159
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,clean,1729,scale_offset,0.5,0.64,0.5175983436853002,0.9466666666666667,0.005844378378242254,0.0061868723908169556,0.0030934361954084778,0.09182554283551947,0.8644438055218063,0.01623527849463488,0.45952023988005997,2.0,0.5909104535879115,0.08296538586728275
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,clean,1729,scale_offset,1.0,0.64,0.5368455074337427,0.9066666666666666,0.023591121658682823,0.009233618204446977,0.004616809102223489,0.10322839603964337,0.8525703900616786,0.016249551389574683,0.4332833583208396,2.0,0.5701332969645876,0.0850735679268837
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,clean,1729,scale_offset,1.5,0.5866666666666667,0.47817770822465655,0.8666666666666667,0.047327399253845215,0.01402512130064801,0.007012560650324005,0.11750331460771754,0.8385989585595488,0.0165751966631909,0.4235382308845577,2.0,0.5741216733183752,0.07691797334700823
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,clean,1729,smooth_baseline,0.5,0.64,0.5322234156820623,0.96,0.009638160467147827,0.006215917406504442,0.003107958703252221,0.09484305425795021,0.8483801665001375,0.016454583591385605,0.4737631184407796,2.0,0.586058018216707,0.0724432934075594
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,clean,1729,smooth_baseline,1.0,0.6133333333333333,0.5115475541007456,0.9333333333333333,0.03722481429576874,0.009952158581918148,0.004976079290959074,0.10962080625634629,0.7976775641826297,0.016793649249376284,0.47301349325337333,2.0,0.6172485317499554,0.07344465889036655
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,clean,1729,smooth_baseline,1.5,0.5466666666666667,0.4547714668196596,0.8666666666666667,0.07808596640825272,0.01568675441963923,0.007843377209819615,0.12612346038513558,0.7455008224898434,0.01720990651978632,0.46851574212893554,2.0,0.7343010475754453,0.06882013101130724
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,clean,1729,gaussian_noise,0.5,0.6533333333333333,0.5360028099754127,1.0,3.2822292268974707e-05,0.005086276147900367,0.0025431380739501836,0.08743918251992844,0.8680736856393065,0.016212484324351923,0.47976011994003,2.0,0.5618825484069379,0.08083384856581688
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,clean,1729,gaussian_noise,1.0,0.6533333333333333,0.5360028099754127,1.0,0.00015931685629766434,0.005095200968451284,0.002547600484225642,0.08757882427911118,0.8683630555351339,0.01622514997767825,0.4790104947526237,2.0,0.554338190049843,0.08222335018217564
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,clean,1729,gaussian_noise,1.5,0.6533333333333333,0.5360028099754127,1.0,0.00033812204492278397,0.005110073094871998,0.002555036547435999,0.08777187851406251,0.8669680919955579,0.016236954541647267,0.4790104947526237,2.0,0.5840671131736872,0.0805109990760684
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,clean,1729,isolated_spikes,0.5,0.6533333333333333,0.5360028099754127,1.0,1.5742778487037867e-05,0.005087493073955251,0.0025437465369776255,0.08741028325560443,0.8689877585405569,0.016206893047239004,0.4767616191904048,2.0,0.5488452658656948,0.07977858185768127
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,clean,1729,isolated_spikes,1.0,0.6533333333333333,0.5360028099754127,1.0,6.86677303747274e-05,0.005089461296459523,0.0025447306482297614,0.08748365497145093,0.8683052553978797,0.016209823279819933,0.4790104947526237,2.0,0.5751501111720465,0.07854586839675903
