heldout_substrate_family,poster_axis,stage,scenario,outer_fold,model_family,model,representation,curriculum,seed,corruption,severity,balanced_accuracy_supported,macro_f1_supported,prediction_agreement,latent_cosine_drift,reconstruction_mse,reconstruction_smooth_l1,reconstruction_spectral_angle,reconstruction_median_row_correlation,reconstruction_first_derivative_mae,repeatable_peak_recall,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,scale_offset,0.5,0.44,0.37426647426647425,0.9866666666666667,0.007216274738311768,0.006097470829968186,0.003048735414984093,0.037697681843701265,0.9480369477929217,0.008829866198339647,0.48760330578512395,2.0,0.5729225483306389,0.058619290590286255
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,scale_offset,1.0,0.4266666666666667,0.3658603029312412,1.0,0.025083033367991447,0.011530891313316216,0.005765445656658108,0.039999691689177996,0.9439717893802767,0.008860371315127869,0.4931129476584022,2.5,0.5128737769431035,0.055989086627960205
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,scale_offset,1.5,0.41333333333333333,0.34112060778727443,0.9466666666666667,0.048724617809057236,0.01750567534866426,0.00875283767433213,0.04425093809769012,0.9318763801686973,0.008935956195154323,0.4573002754820937,2.0,0.5206360811423699,0.054828256368637085
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,smooth_baseline,0.5,0.41333333333333333,0.3305058905058905,0.92,0.010573452338576317,0.005691684049154299,0.0028458420245771497,0.042187594109318556,0.9307066769226892,0.008886399005091984,0.465564738292011,2.0,0.5014995962120355,0.06200181692838669
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,smooth_baseline,1.0,0.44,0.35754985754985763,0.8666666666666667,0.041065797209739685,0.011018675816022472,0.005509337908011236,0.05324592817668807,0.8980791601472351,0.008998251814995195,0.45179063360881544,2.0,0.5983881293418873,0.07397785782814026
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,smooth_baseline,1.5,0.3866666666666667,0.30216450216450214,0.8266666666666667,0.0768425464630127,0.01732963271361344,0.00866481635680672,0.0640736999298157,0.8608211066073005,0.009133798344769994,0.42699724517906334,2.0,0.613721776025385,0.07597573101520538
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,gaussian_noise,0.5,0.4266666666666667,0.3658603029312412,1.0,3.6468507460085675e-05,0.00401046209005671,0.002005231045028355,0.036519931756705794,0.9494723002061645,0.008810532594142379,0.4765840220385675,2.0,0.5519593293247984,0.05466200411319733
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,gaussian_noise,1.0,0.4266666666666667,0.3658603029312412,1.0,0.0001587279693922028,0.004075649599639121,0.0020378247998195606,0.036765080401410674,0.9490955573882482,0.008819190307368486,0.4765840220385675,1.75,0.518604759399111,0.056690141558647156
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,gaussian_noise,1.5,0.44,0.3886401828325603,0.9866666666666667,0.0003657682682387531,0.004179322060313241,0.0020896610301566203,0.037064560189344745,0.9493120537640899,0.008831324119660833,0.4820936639118457,2.0,0.4848630468663366,0.057322077453136444
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,isolated_spikes,0.5,0.4266666666666667,0.3658603029312412,1.0,6.601015684282174e-06,0.003974387978027783,0.0019871939890138916,0.03644788190656892,0.9494416340876701,0.008807634741429936,0.4793388429752066,2.0,0.5030753081061947,0.05263453722000122
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,isolated_spikes,1.0,0.4266666666666667,0.3658603029312412,1.0,2.44434668275062e-05,0.00396402616142904,0.00198201308071452,0.03642008169030952,0.9492317861908127,0.008809707321171768,0.4793388429752066,2.0,0.5524453645481637,0.05287250876426697
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,isolated_spikes,1.5,0.4266666666666667,0.3658603029312412,1.0,3.573338108253665e-05,0.003965820713778129,0.0019829103568890644,0.03645443653086233,0.9497127656989661,0.00880867413479197,0.4793388429752066,2.0,0.5992532730492004,0.054794229567050934
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,edge_filled_shift,0.5,0.4266666666666667,0.3658603029312412,1.0,6.28471389063634e-05,0.003976884197726921,0.0019884420988634604,0.03642422095859483,0.9485283392476381,0.008806351251094765,0.4765840220385675,2.0,0.5535874400556027,0.05804750323295593
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,edge_filled_shift,1.0,0.4266666666666667,0.3658603029312412,1.0,0.0001356530119664967,0.003986361177440871,0.0019931805887204355,0.036531278401176696,0.9482443438699162,0.008807384992265084,0.4765840220385675,2.0,0.591489154980587,0.052965566515922546
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,edge_filled_shift,1.5,0.4266666666666667,0.3658603029312412,1.0,0.00019659758254420012,0.004007544146719366,0.002003772073359683,0.03664852525729765,0.9480963740232489,0.008812604887214253,0.4765840220385675,2.0,0.6308545704286656,0.053084298968315125
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,gaussian_broadening,0.5,0.4266666666666667,0.3658603029312412,1.0,1.5656154062071437e-07,0.003968263467279119,0.0019841317336395593,0.036403116643495666,0.9497962251063757,0.008805896341550727,0.4793388429752066,2.0,0.5417618957550551,0.056642115116119385
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,gaussian_broadening,1.0,0.4266666666666667,0.3658603029312412,1.0,2.1918615402682917e-06,0.003962003774339748,0.001981001887169874,0.03639934480508173,0.9496790682946186,0.008804958233850994,0.4793388429752066,2.0,0.5407302413981845,0.056811243295669556
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,gaussian_broadening,1.5,0.4266666666666667,0.3658603029312412,1.0,6.414254585251911e-06,0.003957348897886492,0.001978674448943246,0.036402478352822246,0.9496340747663078,0.008804168194693764,0.4765840220385675,2.0,0.5396541893359392,0.05737397074699402
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,composite,0.5,0.43999999999999995,0.3858730158730159,0.92,0.015506704337894917,0.00697533463252823,0.003487667316264115,0.04264391407863957,0.9290186255748869,0.008881179308119127,0.4820936639118457,2.0,0.4102064682378177,0.05903026834130287
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,composite,1.0,0.4266666666666667,0.3395148995148995,0.92,0.06436116248369217,0.01619630436389032,0.00809815218194516,0.0566857612770906,0.8934101934975609,0.009082041567367406,0.41597796143250687,2.0,0.6675228900600517,0.055275678634643555
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,composite,1.5,0.4266666666666667,0.3333333333333333,0.7466666666666667,0.10739804804325104,0.02367048114664131,0.011835240573320655,0.07099397675438665,0.8393510380441004,0.009244702563356865,0.3939393939393939,2.0,0.7618476561118145,0.06070008873939514
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,2718,scale_offset,0.5,0.45333333333333337,0.390317770943994,0.9466666666666667,0.0056845638900995255,0.004776277551359989,0.0023881387756799943,0.03224080058948967,0.9634335324688376,0.0085882545677879,0.5702479338842975,2.0,0.41694722425974573,0.06932878494262695
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,2718,scale_offset,1.0,0.4666666666666666,0.3978969162035524,0.88,0.019531866535544395,0.010023849213431996,0.005011924606715998,0.034668517770530476,0.9591371738335642,0.00864141975502001,0.5509641873278237,2.0,0.3968259035164705,0.05881790071725845
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,2718,scale_offset,1.5,0.44,0.3528482328482328,0.84,0.03713050112128258,0.0179414943876863,0.00897074719384315,0.03863613790196839,0.952364378340469,0.008716731189290068,0.5509641873278237,2.0,0.44881838573885935,0.0691358894109726
