epoch,train_loss,val_loss,val_exact_match,val_micro_f1
1,0.23786956344554627,0.16354944113812414,0.7197712418300654,0.8598856209150327
2,0.1304066794273121,0.09223388992493449,0.8202614379084967,0.9101307189542484
3,0.08346597363356671,0.07382566175040077,0.8464052287581699,0.923202614379085
4,0.06686083232265672,0.05309713911873842,0.8880718954248366,0.9440359477124183
5,0.052036277706327,0.04082885985962706,0.9313725490196079,0.9656862745098039
6,0.043230482200586715,0.03475889234858401,0.9305555555555556,0.9652777777777778
7,0.036487781558356254,0.033482727880766186,0.9509803921568627,0.9754901960784313
8,0.03371454748550272,0.029138913146810594,0.954248366013072,0.9771241830065359
9,0.030495524004686112,0.02703256885600246,0.9485294117647058,0.9742647058823529
10,0.026595056397852555,0.026942610217173115,0.9428104575163399,0.9714052287581699
11,0.02503515568141844,0.02007130108578922,0.9665032679738562,0.983251633986928
12,0.02255756058578008,0.019872655422469368,0.9575163398692811,0.9787581699346405
13,0.02022807597748789,0.01701209121961999,0.9722222222222222,0.9861111111111112
14,0.017763924249295706,0.014261714535844482,0.9803921568627451,0.9901960784313726
15,0.01824093964316097,0.018676071543416946,0.9665032679738562,0.983251633986928
16,0.017398996978657308,0.015285242342822303,0.9763071895424836,0.9881535947712419
17,0.015532076790977538,0.013044858040908972,0.9803921568627451,0.9901960784313726
18,0.015299681927156604,0.012213612504887814,0.9746732026143791,0.9873366013071896
19,0.014430977976302696,0.010846283493770493,0.9812091503267973,0.9906045751633987
20,0.013971474326026984,0.01348428996705931,0.9697712418300654,0.9848856209150327
21,0.013975658307911134,0.012763311258620687,0.9787581699346405,0.9893790849673203
22,0.011856323814177824,0.009487848917594532,0.9844771241830066,0.9922385620915033
23,0.012358893159460397,0.010214026743436562,0.9861111111111112,0.9930555555555556
24,0.01085445946508568,0.009807709452324833,0.9771241830065359,0.988562091503268
25,0.010949857228624276,0.009656744467374545,0.9869281045751634,0.9934640522875817
26,0.011101866457489581,0.01572388896316874,0.9656862745098039,0.9828431372549019
27,0.012244927605577544,0.014101954992690117,0.9689542483660131,0.9844771241830066
28,0.010678606442620163,0.010271737778108884,0.9820261437908496,0.9910130718954249
29,0.009560747346019043,0.009015444553536332,0.9828431372549019,0.991421568627451
30,0.009750876788756037,0.008138608382223479,0.9869281045751634,0.9934640522875817
31,0.008575560896371315,0.008429194520550225,0.9803921568627451,0.9901960784313726
32,0.009962587026891366,0.013828583524312849,0.9648692810457516,0.9824346405228758
33,0.009544434683287846,0.009564680796043546,0.9787581699346405,0.9893790849673203
34,0.01008943284502606,0.006934705491670791,0.9869281045751634,0.9934640522875817
35,0.0071949192834104975,0.006794372092615935,0.9861111111111112,0.9930555555555556
36,0.00830394688238895,0.009642011957742225,0.9820261437908496,0.9910130718954249
37,0.008510810922636511,0.009381529722922768,0.9820261437908496,0.9910130718954249
38,0.0077177865272448735,0.00848711947940923,0.9746732026143791,0.9873366013071896
39,0.009736641036236988,0.009764073568767581,0.9763071895424836,0.9881535947712419
40,0.007475097344129109,0.007141600192518405,0.9844771241830066,0.9922385620915033
41,0.007169522968991325,0.007671730361537996,0.9844771241830066,0.9922385620915033
42,0.00811984011404265,0.00904757995158434,0.9754901960784313,0.9877450980392157
43,0.007720816223060384,0.010143775696823605,0.9787581699346405,0.9893790849673203
44,0.007466459330293088,0.00607104089378921,0.9812091503267973,0.9906045751633987
45,0.007191942768853182,0.01117145882468987,0.9763071895424836,0.9881535947712419
46,0.007917235693681279,0.005849297310596977,0.9934640522875817,0.9967320261437909
47,0.0058543682159259425,0.006783889022235777,0.9836601307189542,0.9918300653594772
48,0.0057587691071425,0.005411341241591312,0.988562091503268,0.994281045751634
49,0.005967178914598585,0.008226294058308103,0.9771241830065359,0.988562091503268
50,0.006468992750312573,0.006565681847384553,0.9861111111111112,0.9930555555555556
51,0.005483789582511569,0.010368291757319098,0.9665032679738562,0.983251633986928
52,0.00899426015763501,0.005739587328695004,0.9877450980392157,0.9938725490196079
53,0.005282319187387532,0.00756091682325586,0.9844771241830066,0.9922385620915033
54,0.006005044328048825,0.0059838253895149515,0.9869281045751634,0.9934640522875817
55,0.006029323616911188,0.006839000419074414,0.9844771241830066,0.9922385620915033
56,0.005612237899399856,0.005444247905603226,0.9877450980392157,0.9938725490196079
57,0.0066353966941557875,0.008495663055310063,0.9787581699346405,0.9893790849673203
58,0.005650011889539124,0.006925846803081191,0.9828431372549019,0.991421568627451
