#wnum,raman
748,26.0598
749,25.8214
750,24.5139
751,22.73
752,21.8825
753,20.4817
754,15.9399
755,11.4154
756,4.58699
757,4.35671
758,5.45647
759,21.8116
760,21.5858
761,14.1601
762,12.5056
763,12.2849
764,19.5473
765,25.2729
766,25.0581
767,17.3792
768,-3.51997
769,-3.72815
770,2.05513
771,6.78478
772,6.58427
773,6.38663
774,23.0429
775,41.8059
776,45.4877
777,45.3031
778,38.8999
779,27.2008
780,27.0275
781,44.7934
782,59.8064
783,59.6457
784,59.4897
785,70.4272
786,83.4895
787,86.6518
788,86.9349
789,101.562
790,133.483
791,159.49
792,168.659
793,172.02
794,171.918
795,171.821
796,194.556
797,230.911
798,240.637
799,243.511
800,250.5
801,281.015
802,313.023
803,351.599
804,389.625
805,404.492
806,418.395
807,424.213
808,426.86
809,449.155
810,491.123
811,526.974
812,545.392
813,561.471
814,562.344
815,562.395
816,561.032
817,558.47
818,538.211
819,510.114
820,500.275
821,497.789
822,494.54
823,470.559
824,447.254
825,431.368
826,416.673
827,405.838
828,396.166
829,387.985
830,378.756
831,365.071
832,347.698
833,343.521
834,343.734
835,346.561
836,346.792
837,347.032
838,356.032
839,369.646
840,388.75
841,411.204
842,423.466
843,424.196
844,424.494
845,442.558
846,463.209
847,488.751
848,512.049
849,543.833
850,579.578
851,603.649
852,620.488
853,639.773
854,664.778
855,687.701
856,708.884
857,732.691
858,771.286
859,792.759
860,793.175
861,766.917
862,740.06
863,711.943
864,677.929
865,641.351
866,587.473
867,504.172
868,431.224
869,394.548
870,356.416
871,291.319
872,225.823
873,190.913
874,161.073
875,138.566
876,121.378
877,114.357
878,114.047
879,99.4552
880,55.038
881,16.8791
882,16.6913
883,17.2022
884,20.816
885,21.3293
886,12.2886
887,4.41019
888,4.92537
889,32.607
890,33.1222
891,20.1324
892,10.1143
893,10.6277
894,14.6079
895,16.4901
896,16.9996
897,14.1417
898,10.0668
899,6.70606
900,2.64825
901,3.14625
902,6.05115
903,6.54285
904,5.04431
905,5.52875
906,12.3144
907,12.7906
908,0.509666
909,-8.75034
910,-8.28833
911,0.183039
912,0.634717
913,-5.6474
914,-5.20635
915,3.22115
916,12.1421
917,22.1859
918,29.7904
919,30.205
920,29.2587
921,26.7962
922,27.1953
923,30.8106
924,36.4325
925,43.3328
926,50.7826
927,54.668
928,55.0369
929,54.2685
930,52.6663
931,53.0206
932,67.7626
933,74.7627
934,75.1027
935,71.8126
936,72.1431
937,74.4892
938,74.8104
939,75.0689
940,62.5079
941,41.1064
942,36.0908
943,36.3891
944,41.0096
945,47.6488
946,47.9336
947,33.882
948,18.9302
949,15.8758
950,16.1428
951,17.0375
952,22.6297
953,47.2085
954,68.6815
955,68.9268
956,48.8486
957,49.0853
958,66.7713
959,66.9995
960,60.087
961,50.9018
962,51.1174
963,51.3288
964,45.3133
965,40.4385
966,40.6374
967,47.5439
968,48.0027
969,48.1892
970,44.6182
971,34.9519
972,34.9709
973,35.141
974,39.2981
975,43.769
976,46.9065
977,47.5679
978,47.7178
979,44.3738
980,37.9137
981,21.3203
982,10.2425
983,10.3722
984,17.3427
985,33.2563
986,54.1817
987,67.4011
988,70.8309
989,70.9365
990,71.0381
991,74.4301
992,106.483
993,106.572
994,106.064
995,106.146
996,121.432
997,157.191
998,157.26
999,152.736
1000,150.597
1001,150.655
1002,150.708
1003,147.346
1004,127.736
1005,102.439
1006,93.7412
1007,93.7742
1008,93.8031
1009,90.518
1010,80.904
1011,61.2987
1012,46.8999
1013,46.7911
1014,45.0596
1015,44.3911
1016,43.6067
1017,38.9182
1018,38.9043
1019,43.4373
1020,60.1444
1021,69.4305
1022,69.3987
1023,61.6909
1024,40.9222
1025,29.5742
1026,29.0447
1027,28.99
1028,21.4663
1029,16.0392
1030,15.5428
1031,15.8968
1032,18.9208
1033,23.5924
1034,48.7728
1035,62.0783
1036,61.9804
1037,33.7987
1038,19.7369
1039,19.6239
1040,23.433
1041,47.6411
1042,47.5128
1043,29.4599
1044,14.3946
1045,14.2507
1046,14.2316
1047,26.8283
1048,38.0355
1049,37.8702
1050,36.5907
1051,31.4452
1052,29.212
1053,29.0248
1054,29.2149
1055,33.2582
1056,33.0541
1057,24.7128
1058,9.56555
1059,9.34423
1060,11.1614
1061,16.3636
1062,23.3994
1063,23.1546
1064,14.826
1065,7.49621
1066,4.52396
1067,4.25492
1068,8.39568
1069,8.11429
1070,4.86954
1071,4.57564
1072,11.718
1073,17.1529
1074,16.8399
1075,16.0568
1076,15.7309
1077,25.7128
1078,25.3738
1079,20.8182
1080,10.8413
1081,-2.29521
1082,-10.4065
1083,-10.7789
1084,0.0992283
1085,33.4134
1086,56.8379
1087,59.5861
1088,60.3632
1089,61.7889
1090,67.0626
1091,104.989
1092,142.391
1093,153.29
1094,153.431
1095,154.515
1096,161.242
1097,211.418
1098,272.881
1099,307.681
1100,335.582
1101,394.38
1102,458.202
1103,493.235
1104,525.077
1105,586.182
1106,652.682
1107,706.695
1108,755.773
1109,768.013
1110,770.966
1111,767.033
1112,766.391
1113,717.141
1114,674.438
1115,649.261
1116,610.981
1117,568.917
1118,505.142
1119,434.976
1120,394.594
1121,365.731
1122,342.708
1123,319.089
1124,286.007
1125,248.383
1126,211.61
1127,181.746
1128,164.515
1129,144.462
1130,131.931
1131,123.353
1132,114.63
1133,112.928
1134,112.407
1135,122.611
1136,122.088
1137,117.309
1138,116.784
1139,125.534
1140,134.843
1141,144.743
1142,156.048
1143,161.808
1144,172.996
1145,209.833
1146,243.188
1147,254.018
1148,261.565
1149,276.764
1150,297.36
1151,319.706
1152,341.136
1153,350.112
1154,362.176
1155,387.608
1156,407.153
1157,419.7
1158,437.367
1159,468.716
1160,485.933
1161,485.388
1162,477.255
1163,476.707
1164,505.438
1165,504.887
1166,503.955
1167,477.613
1168,457.367
1169,441.549
1170,421.848
1171,393.513
1172,365.245
1173,340.804
1174,312.678
1175,284.706
1176,253.557
1177,215.831
1178,181.246
1179,162.514
1180,155.95
1181,132.096
1182,91.0114
1183,59.6865
1184,36.7012
1185,13.2098
1186,5.01771
1187,1.21046
1188,-5.36182
1189,-5.97491
1190,-3.35456
1191,-3.97583
1192,-13.9061
1193,-14.5355
1194,-1.17096
1195,2.27383
1196,1.634
1197,0.991383
1198,5.43212
1199,40.9557
1200,40.3069
1201,30.6374
1202,22.7965
1203,19.8807
1204,19.2285
1205,31.1378
1206,30.4861
1207,21.5789
1208,4.39039
1209,-1.04711
1210,-1.69383
1211,21.1867
1212,20.5446
1213,19.9055
1214,26.3669
1215,68.2341
1216,87.6335
1217,93.4406
1218,104.865
1219,119.161
1220,130.031
1221,140.95
1222,160.467
1223,180.97
1224,197.058
1225,212.26
1226,236.328
1227,270.239
1228,323.493
1229,401.678
1230,458.614
1231,480.445
1232,517.437
1233,577.761
1234,632.843
1235,680.382
1236,737.462
1237,808.948
1238,869.781
1239,920.132
1240,963.116
1241,981.703
1242,1011.05
1243,1064.64
1244,1106.97
1245,1111.65
1246,1112.9
1247,1135.58
1248,1161.74
1249,1179.03
1250,1180.92
