#wnum,raman
767,1.48716
768,-23.812
769,-23.8253
770,-2.5507
771,22.7635
772,22.7301
773,22.6905
774,25.0256
775,33.9291
776,33.8733
777,28.9342
778,28.8691
779,46.5339
780,64.7292
781,79.5916
782,97.1199
783,103.781
784,111.614
785,149.646
786,202.425
787,259.211
788,316.195
789,390.485
790,493.586
791,604.221
792,711.115
793,820.6
794,969.056
795,1123.45
796,1231.5
797,1304.96
798,1304.87
799,1296.85
800,1242.86
801,1146.18
802,1045.28
803,912.578
804,780.912
805,693.536
806,624.042
807,545.983
808,459.457
809,389.804
810,348.922
811,313.12
812,280.565
813,251.895
814,241.323
815,236.004
816,221.225
817,204.081
818,204.059
819,214.957
820,228.625
821,242.885
822,258.204
823,282.626
824,302.481
825,302.494
826,301.365
827,301.388
828,313.499
829,325.888
830,339.438
831,361.404
832,404.854
833,447.957
834,476.437
835,479.624
836,479.699
837,449.3
838,407.626
839,365.131
840,355.138
841,355.244
842,374.375
843,404.295
844,433.485
845,436.467
846,438.525
847,523.245
848,629.58
849,735.803
850,847.69
851,985.441
852,1177.33
853,1390.26
854,1632.84
855,1869.87
856,2024.9
857,2165.68
858,2236.47
859,2236.69
860,2191.76
861,2016.88
862,1802.71
863,1558.01
864,1330.25
865,1148.61
866,974.218
867,836.407
868,707.595
869,599.295
870,497.457
871,415.154
872,345.38
873,289.854
874,251.657
875,204.385
876,139.564
877,99.6575
878,99.9347
879,100.212
880,76.9809
881,49.4356
882,38.9836
883,33.9308
884,34.2031
885,34.4733
886,33.3639
887,2.58285
888,-2.46525
889,-2.2065
890,-1.95145
891,-6.49853
892,-6.25175
893,-5.02355
894,-2.18822
895,-1.95529
896,-5.17113
897,-4.94786
898,4.7062
899,4.91979
900,1.16811
901,0.776411
902,0.975806
903,3.29155
904,9.19529
905,15.2698
906,19.2059
907,23.1397
908,23.3119
909,23.1876
910,21.9924
911,18.6652
912,15.5493
913,14.932
914,14.7797
915,13.0666
916,9.09289
917,-0.167192
918,-0.0367986
919,5.53663
920,17.7831
921,25.3312
922,25.446
923,23.6425
924,2.32646
925,-2.1283
926,-2.02823
927,1.25315
928,3.73414
929,7.30963
930,13.196
931,13.279
932,12.1209
933,12.1977
934,17.542
935,17.613
936,15.5061
937,1.97612
938,2.03888
939,3.64175
940,15.4768
941,37.2273
942,46.7739
943,46.8247
944,46.8734
945,56.8867
946,67.2458
947,67.2885
948,67.3294
949,72.0149
950,77.094
