#wnum,raman
275,198.859
276,198.872
277,180.506
278,163.261
279,160.146
280,155.551
281,146.245
282,134.186
283,121.615
284,109.542
285,96.9242
286,89.6788
287,83.6733
288,76.8963
289,69.0227
290,61.0395
291,48.1014
292,34.8853
293,26.2052
294,22.9851
295,18.9691
296,12.9701
297,7.49655
298,4.15411
299,2.46276
300,1.13159
301,0.549796
302,0.1135
303,-0.450768
304,-1.04537
305,-1.03869
306,-0.924599
307,-0.497366
308,2.34648
309,5.64655
310,5.65086
311,5.55613
312,5.55959
313,7.73464
314,9.49059
315,9.49293
316,2.37276
317,2.37443
318,6.57299
319,16.1972
320,16.198
321,15.2658
322,15.2661
323,16.5824
324,18.9849
325,18.9846
326,18.9843
327,19.4793
328,22.5531
329,23.8555
330,23.8544
331,21.8592
332,21.858
333,22.9948
334,24.5348
335,27.6913
336,30.7885
337,30.787
338,30.4417
339,29.3319
340,27.5357
341,27.0805
342,27.079
343,28.8324
344,31.8377
345,36.695
346,36.6938
347,35.5452
348,29.5491
349,29.5482
350,31.4154
351,32.1729
352,32.1725
353,31.1733
354,28.1116
355,24.334
356,24.3341
357,28.9559
358,31.5115
359,31.5122
360,29.1715
361,29.1727
362,30.8569
363,30.8584
364,29.0136
365,26.3224
366,25.7046
367,25.6116
368,24.0374
369,19.5037
370,15.0065
371,14.7042
372,14.7079
373,18.4723
374,25.7412
375,28.7111
376,28.7158
377,25.6902
378,25.6955
379,26.5105
380,26.7068
381,26.7129
382,26.7192
383,28.6016
384,29.1352
385,29.1423
386,23.1622
387,17.7647
388,17.1102
389,16.4192
390,12.4478
391,7.23709
392,7.24608
393,13.9236
394,17.84
395,17.8498
396,13.1533
397,13.1636
398,16.5451
399,16.5559
400,15.4676
401,11.9595
402,10.5514
403,10.0583
404,10.0703
405,11.613
406,11.6254
407,11.0357
408,8.86771
409,7.98191
410,7.9858
411,7.99931
412,8.31332
413,8.74089
414,9.59639
415,9.90058
416,9.91508
417,7.08799
418,7.10284
419,9.34419
420,14.2084
421,14.2237
422,12.1277
423,9.62148
424,6.5807
425,5.59866
426,5.61477
427,8.27233
428,8.73923
429,8.75573
430,7.85254
431,3.98557
432,3.8178
433,3.83472
434,10.0281
435,14.0121
436,14.3062
437,14.3235
438,13.861
439,13.118
440,12.7176
441,12.5658
442,12.5834
443,13.8656
444,13.8832
445,9.63838
446,3.63156
447,3.64922
448,10.6423
449,12.4896
450,12.5072
451,8.75207
452,7.78081
453,7.79835
454,8.955
455,12.2583
456,12.2757
457,12.2862
458,11.5434
459,11.5605
460,16.2218
461,17.735
462,17.7518
463,16.5004
464,15.9767
465,15.2508
466,13.9285
467,12.3331
468,10.7911
469,8.94227
470,7.05796
471,4.9888
472,5.00394
473,5.76467
474,13.8334
475,13.8479
476,9.35727
477,-0.704481
478,-0.690844
479,2.87358
480,6.54593
481,10.3549
482,11.4378
483,11.4501
484,9.03861
485,7.50118
486,6.49435
487,6.50557
488,9.30075
489,9.31145
490,8.67949
491,6.86037
492,6.87033
493,11.7365
494,13.934
495,13.9432
496,13.0186
497,13.0273
498,13.0359
499,10.9238
500,6.01355
501,6.02137
502,7.87359
503,8.51742
504,8.52455
505,4.62667
506,4.63334
507,9.13808
508,9.84784
509,9.85383
510,7.64689
511,7.65242
512,7.97428
513,9.75978
514,12.7968
515,14.1189
516,14.1233
517,14.066
518,14.07
519,14.0737
520,13.0518
521,8.04553
522,3.96398
523,3.9668
524,4.03519
525,4.08418
526,4.15562
527,4.64937
528,5.53225
529,5.53366
530,4.45267
531,2.94206
532,1.42075
533,-0.061382
534,-0.238117
535,-0.238161
536,0.481014
537,2.88137
538,5.30257
539,7.56572
540,9.41269
541,9.41123
542,6.55355
543,4.71547
544,4.71336
545,5.13023
546,5.87227
547,6.34964
548,6.3467
549,5.11246
550,5.10913
551,6.55538
552,6.55167
553,6.33409
554,4.70803
555,4.70378
556,8.59415
557,8.58954
558,6.76227
559,2.93248
560,2.39365
561,2.38836
562,4.95847
563,9.8902
564,9.88444
565,8.37545
566,8.36937
567,9.33363
568,12.9968
569,12.9903
570,7.37521
571,7.3684
572,12.3866
573,12.4963
574,12.489
575,6.61205
576,6.60454
577,9.92511
578,12.4633
579,13.7176
580,13.7096
581,8.13983
582,1.88051
583,-0.0217069
584,-0.361936
585,-0.370642
586,0.70976
587,2.24796
588,6.41542
589,9.6987
590,9.68944
591,7.90774
592,6.59232
593,5.64155
594,4.30029
595,1.63886
596,1.42756
597,1.41784
598,4.31761
599,6.93913
600,9.39641
601,11.0873
602,11.1072
603,11.0973
604,9.96159
605,9.52892
606,9.51915
607,10.708
608,10.6983
609,9.8202
610,9.81057
611,12.4427
612,12.6559
613,12.6465
614,9.53126
615,9.52196
616,14.6379
617,14.6288
618,13.2165
619,10.3486
620,10.3398
621,12.1402
622,12.1315
623,11.3157
624,11.3073
625,14.22
626,15.2195
627,15.2115
628,13.4776
629,11.5158
630,9.53874
631,8.59685
632,8.58962
633,8.72338
634,9.10421
635,9.44161
636,9.95682
637,10.503
638,10.4968
639,10.5237
640,11.08
641,13.9413
642,15.886
643,15.8807
644,15.1081
645,14.4499
646,13.8321
647,11.9698
648,8.78327
649,8.70435
650,8.70044
651,10.8472
652,13.3629
653,15.8774
654,16.4256
655,16.599
656,16.709
657,17.9345
658,18.9846
659,18.989
660,18.9872
661,17.9122
662,16.6097
663,13.9774
664,10.2201
665,6.45102
666,2.52411
667,2.52377
668,6.29877
669,14.0952
670,14.0955
671,13.1984
672,11.5386
673,10.2306
674,9.83135
675,9.83264
676,10.3358
677,12.4319
678,14.4915
679,14.4935
680,12.6563
681,11.1522
682,10.46
683,10.4628
684,14.1084
685,17.0504
686,17.0537
687,15.2824
688,11.4819
689,6.16509
690,6.16908
691,7.97127
692,9.19697
693,9.20141
694,6.59391
695,5.70121
696,5.28929
697,4.86507
698,4.8702
699,5.34351
700,9.9278
701,14.5342
702,16.1538
703,16.1595
704,14.4836
705,9.50711
706,9.51311
707,11.7739
708,15.2927
709,19.9616
710,19.9679
711,13.5627
712,5.21254
713,5.21903
714,12.9377
715,13.1014
716,13.1081
717,10.6143
718,8.13267
719,5.69887
720,5.28441
721,5.29111
722,7.46393
723,11.0204
724,13.2019
725,13.5123
726,13.5189
727,9.25601
728,8.81726
729,8.82373
730,11.478
731,11.4844
732,8.62128
733,5.48272
734,1.95824
735,1.96422
736,9.14444
737,11.8102
738,11.8158
739,7.02836
740,6.99966
741,7.00487
742,7.45661
743,7.46149
744,7.02657
745,3.67909
746,3.68342
747,5.83777
748,10.8165
749,11.4708
750,11.5336
751,11.5685
752,11.7514
753,11.7541
754,11.5361
755,10.8782
756,7.21421
757,7.2158
758,9.27629
759,15.1236
760,15.1242
761,9.97873
762,6.20209
763,4.30235
764,4.30158
765,5.73118
766,8.21215
767,9.85159
768,9.84924
769,8.99948
770,5.03963
771,5.03598
772,5.24489
773,5.24032
774,4.73875
775,4.7332
776,7.42713
777,7.42057
778,7.33702
779,2.29264
780,-0.159834
781,-0.958031
782,-0.96732
783,-0.42936
784,0.993313
785,5.75649
786,10.5605
787,11.1172
788,11.1047
789,9.61401
790,7.01153
791,6.99756
792,8.90978
793,8.89492
794,3.53964
795,3.52394
796,5.69885
797,7.72401
