alpha,exact_match,micro_precision,micro_recall,micro_f1,mean_true_labels,mean_predicted_labels
0.15,0.9534482758620689,0.9767241379310345,0.9767241379310345,0.9767241379310345,2.0,2.0
0.2,0.9534482758620689,0.9767241379310345,0.9767241379310345,0.9767241379310345,2.0,2.0
0.25,0.9534482758620689,0.9767241379310345,0.9767241379310345,0.9767241379310345,2.0,2.0
0.3,0.9534482758620689,0.9767241379310345,0.9767241379310345,0.9767241379310345,2.0,2.0
0.35,0.9534482758620689,0.9767241379310345,0.9767241379310345,0.9767241379310345,2.0,2.0
0.4,0.9534482758620689,0.9767241379310345,0.9767241379310345,0.9767241379310345,2.0,2.0
0.45,0.9534482758620689,0.9767241379310345,0.9767241379310345,0.9767241379310345,2.0,2.0
0.5,0.9534482758620689,0.9767241379310345,0.9767241379310345,0.9767241379310345,2.0,2.0
0.55,0.9534482758620689,0.9767241379310345,0.9767241379310345,0.9767241379310345,2.0,2.0
0.6,0.9534482758620689,0.9767241379310345,0.9767241379310345,0.9767241379310345,2.0,2.0
0.65,0.9534482758620689,0.9767241379310345,0.9767241379310345,0.9767241379310345,2.0,2.0
0.7,0.9534482758620689,0.9767241379310345,0.9767241379310345,0.9767241379310345,2.0,2.0
0.75,0.9534482758620689,0.9767241379310345,0.9767241379310345,0.9767241379310345,2.0,2.0
0.8,0.9534482758620689,0.9767241379310345,0.9767241379310345,0.9767241379310345,2.0,2.0
0.85,0.9534482758620689,0.9767241379310345,0.9767241379310345,0.9767241379310345,2.0,2.0
0.9,0.9534482758620689,0.9767241379310345,0.9767241379310345,0.9767241379310345,2.0,2.0
0.95,0.9534482758620689,0.9767241379310345,0.9767241379310345,0.9767241379310345,2.0,2.0
1.0,0.9534482758620689,0.9767241379310345,0.9767241379310345,0.9767241379310345,2.0,2.0
0.1,0.9086206896551724,0.9543103448275863,0.9543103448275863,0.9543103448275863,2.0,2.0
0.0,0.906896551724138,0.9534482758620689,0.9534482758620689,0.9534482758620689,2.0,2.0
0.05,0.896551724137931,0.9482758620689655,0.9482758620689655,0.9482758620689655,2.0,2.0
