Class,Best_Thr,Calib_F1,Support_Calib
"1,9-nonanedithiol",0.5,,0
1-dodecanethiol,0.30737632513046265,0.9160305343506474,61
1-undecanethiol,0.5,,0
6-mercapto-1-hexanol,0.01620936393737793,0.4909090909087204,27
acetonitrile,0.5,,0
benzene,1.0,0.9999999999995,43
benzenethiol,0.6509212255477905,0.9999999999995,19
dichloromethane,0.5,,0
diethylamine,0.5,,0
dmmp,0.5,,0
etoh,0.8926151394844055,0.9259259259254286,29
meoh,0.4753538966178894,0.9833333333328335,61
"n,n-dimethylformamide",1.0,0.9999999999995,19
n-hexane,0.5,,0
pyridine,1.0,0.9999999999995,31
toluene,0.5,,0
tris(2-ethylhexyl) phosphate,0.5,,0
