heldout_substrate_family,poster_axis,stage,scenario,outer_fold,model_family,model,representation,curriculum,kl_schedule,seed,observation_uid,mse,smooth_l1,spectral_angle,pearson_correlation,first_derivative_mae,reference_peak_count,matched_peak_count,repeatable_reference_peak_count,repeatable_matched_peak_count,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0150,0.005628740625005272,0.002814370312502636,0.0822734918826277,0.9459137274851255,0.010928789563477039,36,8,6,2,1.0,1.0251214069836716,0.02119245007634163
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0151,0.02608242158454333,0.013041210792271664,0.1825940167669456,0.5070558831730214,0.01866556198784175,83,15,18,11,3.0,0.9435569385107103,0.10103856772184372
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0152,0.005329816418799513,0.0026649082093997563,0.0952323030357313,0.9484436075993397,0.006168286484400077,8,3,2,1,1.0,0.07244349799788319,0.11928613856434822
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0153,0.02748731258663572,0.01374365629331786,0.15083973788944433,0.4635297599770378,0.01972584136894771,82,13,20,4,2.0,4.619571823877624,0.07340337336063385
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0154,0.017667802374333675,0.008833901187166837,0.1274662542034535,0.6991914429603,0.01816298811829516,73,13,19,6,3.0,2.3902565706399623,0.11877504736185074
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0155,0.00730243312802977,0.003651216564014885,0.11075696137765677,0.9265693921085112,0.004657425636292568,4,0,3,0,,,
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0156,0.026049238102392246,0.013024619051196123,0.15472090483829734,0.44705148482726975,0.015022118400250162,67,12,13,3,1.5,1.25413804362638,0.07090165466070175
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0157,0.0072106164168651895,0.0036053082084325947,0.09223301830859566,0.9431163302906213,0.007465428634646482,15,4,3,0,2.5,0.2161428303924947,0.13613583892583847
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0158,0.03134725710644396,0.01567362855322198,0.2054969421064936,0.6261464383117471,0.01182836151848148,21,2,12,2,2.5,2.75320213393925,0.3456942616030574
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0159,0.025909175218208475,0.012954587609104238,0.16050189881040197,0.49928787351551446,0.016877407913229295,75,14,20,8,2.0,1.5427881800035925,0.11257685907185078
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0160,0.012773068510370064,0.006386534255185032,0.11685511633717455,0.870377491095021,0.012783193710659231,44,8,11,3,2.5,1.0321744000778565,0.03667193278670311
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0161,0.016462355264312205,0.008231177632156103,0.11874315317873421,0.7459746516247515,0.023647597820631094,93,20,30,9,2.0,2.8727655385022555,0.09703893214464188
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0162,0.011508463250459683,0.005754231625229841,0.13772309958696757,0.8644856519692272,0.007429001167682665,16,5,4,3,3.0,0.3028105977108765,0.1548483818769455
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0163,0.008986695221930093,0.004493347610965047,0.11789510885901401,0.9046735820144197,0.007474411763916058,18,5,3,1,3.0,1.5548676409206024,0.03864720091223717
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0164,0.007044556405402669,0.0035222782027013347,0.10810491705299066,0.9283006335784136,0.007099590731252517,17,4,3,1,2.0,1.0597069221675168,0.09850677801296115
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0165,0.025465969158490715,0.012732984579245358,0.13770648604362482,0.5313940274585899,0.019128808746380465,81,12,22,5,2.0,2.920238562784041,0.10524370521306992
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0166,0.028628801066355278,0.014314400533177639,0.15774342845708617,0.5075577438057864,0.020290672169732196,69,13,20,7,3.0,1.1503878871107767,0.10400047898292542
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0167,0.007446818359738359,0.0037234091798691795,0.11138107787636568,0.9260178733658234,0.006380379404872656,10,0,2,0,,,
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0168,0.023204038323698026,0.011602019161849013,0.17139673753103055,0.4608463115246562,0.016962187451177408,80,12,17,6,3.0,1.2552495853947991,0.09198843315243721
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0169,0.02434432009014086,0.01217216004507043,0.13981056450170584,0.571218147438288,0.01725445064316903,79,13,16,5,2.0,2.0688947129764865,0.0657854974269867
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0170,0.005587127716315523,0.0027935638581577616,0.07957251022944871,0.9620967022637831,0.008195690121501684,24,6,4,1,1.0,0.6412884293760497,0.0819306205958128
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0171,0.023939342383937655,0.011969671191968827,0.12897943312737875,0.5195891523590257,0.021990394073405434,87,15,28,7,3.0,4.305427954399257,0.17675389349460602
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0172,0.02013756632445711,0.010068783162228555,0.11986457883393462,0.5910104277552828,0.023775343229728085,104,15,31,9,3.0,1.9409071355005918,0.12202487885951996
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0173,0.012685634991284557,0.006342817495642279,0.11567902467936726,0.9002305566304888,0.008474050941211836,22,1,2,0,4.0,0.01210847344251947,0.0793343186378479
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0174,0.024450572644417815,0.012225286322208907,0.15097845808227403,0.4982511673123767,0.01362446466194732,59,8,10,3,1.0,0.5397642744514312,0.08709380030632019
