evaluation_subset,domain_protocol,domain_type,heldout_domain,n_train,n_test_partition,stage,scenario,outer_fold,model_family,model,representation,curriculum,kl_schedule,seed,observation_uid,mse,smooth_l1,spectral_angle,pearson_correlation,first_derivative_mae,reference_peak_count,matched_peak_count,repeatable_reference_peak_count,repeatable_matched_peak_count,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session3_row268,0.010678421382665235,0.0053392106913326175,0.16280689018617125,0.7695767882764414,0.00808947140201261,19,6,0,0,1.0,0.279897124490675,0.10770437493920326
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session3_row271,0.012715354480660294,0.006357677240330147,0.17537310095696015,0.7689917183299246,0.010697867795825005,38,9,0,0,3.0,0.9416740449882139,0.06938456557691097
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session3_row275,0.0026936837013029342,0.0013468418506514671,0.11415110382109554,0.9073046833975609,0.0054824601785055296,13,6,0,0,3.0,0.22312052209999111,0.05015336148790084
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session3_row279,0.002209831542331625,0.0011049157711658126,0.09009077269847401,0.9482955345416787,0.004488362974620291,12,3,0,0,3.0,0.22920488762971725,0.060635763220489025
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session3_row283,0.012884926459323034,0.006442463229661517,0.1836911996859016,0.7525383096504042,0.011130495608002612,41,10,0,0,2.0,0.6755100446114493,0.10444861743599176
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session3_row286,0.015391172886650538,0.007695586443325269,0.14558417507672686,0.807881596168405,0.0156194781971031,67,10,0,0,2.5,0.4855622268669955,0.0888071246445179
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session3_row288,0.0022027256375568554,0.0011013628187784277,0.09213524823264467,0.9516798171601425,0.004008174635736005,11,5,0,0,4.0,0.17963683182713744,0.062070113606750965
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session3_row291,0.0023167660035485014,0.0011583830017742507,0.09339490147793798,0.9509740403647877,0.004112092776257278,11,5,0,0,3.0,0.16197675549378687,0.0665941871702671
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session3_row294,0.0020785208160049766,0.0010392604080024883,0.09117808210145158,0.9497775843167043,0.004605482066648879,13,4,0,0,2.0,0.1263585963486584,0.09550746681634337
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session3_row303,0.018733420213457152,0.009366710106728576,0.1761742709804261,0.7686843607171024,0.010310540331972463,30,8,0,0,1.0,0.2500729214915617,0.09720250265672803
