beta,configuration,epoch,inner_fold,kl_schedule,outer_fold,representation,run_identifier,run_seed,stage,subset,train_kl_normalized,train_kl_unnormalized,train_loss,train_reconstruction_loss,validation_kl_normalized,validation_kl_unnormalized,validation_loss,validation_reconstruction_loss
1.0,c8x16_z64_spectral_composite_beta1_constant,1,1,constant,0,arpls_minmax,strict_core__o0__i1__arpls_minmax__c8x16_z64_spectral_composite_beta1_constant,988169711,vae_search_core,strict_core,0.000745644026,1.044647279869,0.085453539034,0.084707895041,0.000493655735,0.69161168417,0.087575193401,0.087081538153
1.0,c8x16_z64_spectral_composite_beta1_constant,2,1,constant,0,arpls_minmax,strict_core__o0__i1__arpls_minmax__c8x16_z64_spectral_composite_beta1_constant,988169711,vae_search_core,strict_core,0.000929919606,1.302817367781,0.075709055026,0.074779135183,0.001617926554,2.266715101835,0.074710479241,0.073092552481
1.0,c8x16_z64_spectral_composite_beta1_constant,3,1,constant,0,arpls_minmax,strict_core__o0__i1__arpls_minmax__c8x16_z64_spectral_composite_beta1_constant,988169711,vae_search_core,strict_core,0.002484176404,3.480331142193,0.063169342515,0.060685166031,0.003981542993,5.578141733378,0.058327404829,0.054345862486
1.0,c8x16_z64_spectral_composite_beta1_constant,4,1,constant,0,arpls_minmax,strict_core__o0__i1__arpls_minmax__c8x16_z64_spectral_composite_beta1_constant,988169711,vae_search_core,strict_core,0.00404446292,5.666292551152,0.049490460481,0.045445997918,0.005234358825,7.333336713935,0.045514679756,0.040280321003
1.0,c8x16_z64_spectral_composite_beta1_constant,5,1,constant,0,arpls_minmax,strict_core__o0__i1__arpls_minmax__c8x16_z64_spectral_composite_beta1_constant,988169711,vae_search_core,strict_core,0.004671567769,6.544866444331,0.04149138234,0.036819813892,0.003764091592,5.273492320245,0.041015396756,0.037251305618
1.0,c8x16_z64_spectral_composite_beta1_constant,6,1,constant,0,arpls_minmax,strict_core__o0__i1__arpls_minmax__c8x16_z64_spectral_composite_beta1_constant,988169711,vae_search_core,strict_core,0.002969901419,4.160831888627,0.03944232483,0.036472423286,0.002193993605,3.073785040559,0.039517797091,0.037323803023
1.0,c8x16_z64_spectral_composite_beta1_constant,7,1,constant,0,arpls_minmax,strict_core__o0__i1__arpls_minmax__c8x16_z64_spectral_composite_beta1_constant,988169711,vae_search_core,strict_core,0.002355065035,3.299446114543,0.038475514965,0.036120450109,0.002493865729,3.493905886882,0.038705814692,0.03621194903
1.0,c8x16_z64_spectral_composite_beta1_constant,8,1,constant,0,arpls_minmax,strict_core__o0__i1__arpls_minmax__c8x16_z64_spectral_composite_beta1_constant,988169711,vae_search_core,strict_core,0.002854582843,3.999270563311,0.037539062573,0.034684479928,0.002285540849,3.202042729915,0.037933734034,0.035648193398
1.0,c8x16_z64_spectral_composite_beta1_constant,9,1,constant,0,arpls_minmax,strict_core__o0__i1__arpls_minmax__c8x16_z64_spectral_composite_beta1_constant,988169711,vae_search_core,strict_core,0.002316248904,3.245064714939,0.036569489378,0.034253240695,0.002088296202,2.925702978583,0.036850480973,0.034762184723
1.0,c8x16_z64_spectral_composite_beta1_constant,10,1,constant,0,arpls_minmax,strict_core__o0__i1__arpls_minmax__c8x16_z64_spectral_composite_beta1_constant,988169711,vae_search_core,strict_core,0.002634247537,3.690580798648,0.035786694406,0.033152447327,0.003150452719,4.413784259508,0.035846851516,0.032696398992
1.0,c8x16_z64_spectral_composite_beta1_constant,11,1,constant,0,arpls_minmax,strict_core__o0__i1__arpls_minmax__c8x16_z64_spectral_composite_beta1_constant,988169711,vae_search_core,strict_core,0.003522619069,4.935189315817,0.034914285502,0.031391667393,0.003520186138,4.931780779061,0.034588684711,0.031068499036
1.0,c8x16_z64_spectral_composite_beta1_constant,12,1,constant,0,arpls_minmax,strict_core__o0__i1__arpls_minmax__c8x16_z64_spectral_composite_beta1_constant,988169711,vae_search_core,strict_core,0.003372894891,4.72542574267,0.03375562655,0.03038273129,0.004179313578,5.855218322337,0.033496250031,0.029316936721
1.0,c8x16_z64_spectral_composite_beta1_constant,13,1,constant,0,arpls_minmax,strict_core__o0__i1__arpls_minmax__c8x16_z64_spectral_composite_beta1_constant,988169711,vae_search_core,strict_core,0.004256203522,5.962941134075,0.032733639594,0.028477435694,0.005042126795,7.064019639953,0.032462091036,0.027419964368
1.0,c8x16_z64_spectral_composite_beta1_constant,14,1,constant,0,arpls_minmax,strict_core__o0__i1__arpls_minmax__c8x16_z64_spectral_composite_beta1_constant,988169711,vae_search_core,strict_core,0.004243056552,5.944522228928,0.032009221779,0.027766164996,0.004757648614,6.665465707539,0.031338636114,0.026580987451
1.0,c8x16_z64_spectral_composite_beta1_constant,15,1,constant,0,arpls_minmax,strict_core__o0__i1__arpls_minmax__c8x16_z64_spectral_composite_beta1_constant,988169711,vae_search_core,strict_core,0.004486684456,6.285844923056,0.031382357985,0.026895674157,0.005052740255,7.078889097486,0.030836174969,0.025783434761
