heldout_substrate_family,poster_axis,stage,scenario,outer_fold,model_family,model,representation,curriculum,kl_schedule,seed,corruption,severity,balanced_accuracy_supported,macro_f1_supported,prediction_agreement,latent_cosine_drift,reconstruction_mse,reconstruction_smooth_l1,reconstruction_spectral_angle,reconstruction_median_row_correlation,reconstruction_first_derivative_mae,repeatable_peak_recall,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change,corrupted_vae_kl_unnormalized_per_observation,corrupted_vae_kl_normalized,corrupted_vae_mean_kl_per_latent_dimension,corrupted_vae_median_kl_per_latent_dimension,corrupted_vae_max_kl_per_latent_dimension,corrupted_vae_active_units_var_mu_gt_0_01,corrupted_vae_dimensions_mean_kl_gt_0_01,corrupted_vae_posterior_mean_absolute_mu,corrupted_vae_posterior_mean_log_variance,corrupted_vae_posterior_sample_reconstruction_variability
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,scale_offset,0.5,0.8266666666666667,0.819151052233759,0.9866666666666667,0.022056909278035164,0.015665543991359724,0.007832771995679862,0.12795450055376545,0.7045775251378471,0.01636223701116216,0.36356821589205396,2.0,0.9804202936007028,0.10161572694778442,5.70134229114187,0.004069480578973498,0.08908347329909172,0.06328994567650639,0.31666112137383856,63,64,0.28979341286649896,-0.24172219725115004,
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,scale_offset,1.0,0.7600000000000001,0.7257187257187256,0.9466666666666667,0.09428286552429199,0.01837565786979744,0.00918782893489872,0.13655208869922067,0.6834428592651104,0.01645174054875845,0.33883058470764615,2.0,1.0006781111048977,0.09679203853011131,5.931688787070096,0.004233896350513987,0.09268263729797026,0.07502677955657752,0.3675612919991162,63,64,0.29514209807576663,-0.24443029452904738,
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,scale_offset,1.5,0.7466666666666667,0.714795008912656,0.9333333333333333,0.1766478568315506,0.026717753254986397,0.013358876627493198,0.15048344026650856,0.6437943277068985,0.01664521197254999,0.34707646176911544,2.0,0.8554549227569501,0.09076286666095257,7.113532515877285,0.005077467891418476,0.11114894556058257,0.08676463822822256,0.4820392962424408,64,64,0.32210470390263557,-0.2680854567377416,
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,smooth_baseline,0.5,0.7733333333333333,0.7517574193856648,0.9466666666666667,0.025917042046785355,0.020962877734578146,0.010481438867289073,0.1324706676712372,0.698984415745305,0.016498215825000773,0.36731634182908546,2.0,0.9186449919342508,0.09757827781140804,6.0308354353340325,0.004304664836069973,0.09423180367709426,0.06297415897654046,0.4121154842328989,63,64,0.2971031167128604,-0.25182096079197436,
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,smooth_baseline,1.0,0.7466666666666667,0.7226064997804129,0.92,0.07633129507303238,0.027011919853189383,0.013505959926594691,0.13974169363974764,0.655717003674322,0.01669008710351648,0.3568215892053973,2.0,0.9872383004880969,0.08238094300031662,6.908614004261803,0.00493120200161442,0.10794709381659068,0.07353499676722959,0.5582010476069332,63,64,0.3159335896518072,-0.27318675293445266,
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,smooth_baseline,1.5,0.68,0.6160982410982411,0.84,0.14397545158863068,0.0341589002955195,0.01707945014775975,0.14797407309811889,0.6009093954698145,0.016931421373120283,0.3553223388305847,2.0,0.9059813953268774,0.07964824140071869,7.891537089477671,0.005632788786208188,0.12330526702308864,0.08367462603874826,0.7210113257311555,62,64,0.3370327342199683,-0.29703160202880097,
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,gaussian_noise,0.5,0.8133333333333334,0.8031634951277807,0.9866666666666667,8.291800622828305e-05,0.015166467294602644,0.007583233647301322,0.12528460827131746,0.7292882216798335,0.016346643685230047,0.36356821589205396,2.0,1.0263643451286157,0.100579883903265,5.553297239340499,0.0039638095926770155,0.08677026936469531,0.05738305249600653,0.3160880079438473,63,63,0.2861011335447256,-0.24119146500821065,
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,gaussian_noise,1.0,0.8133333333333334,0.8007664807664807,1.0,0.00046420336002483964,0.015543291041625048,0.007771645520812524,0.1257467503275966,0.723780626558636,0.01636053594499812,0.3620689655172414,2.0,0.9699137941853331,0.09961703792214394,5.617050823415002,0.004009315362894362,0.0877664191158594,0.05807687496510462,0.32211385925132424,63,63,0.2875796181219994,-0.2433523709290451,
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,gaussian_noise,1.5,0.8133333333333334,0.8031634951277807,0.9866666666666667,0.0013231682823970914,0.015915726435579203,0.007957863217789601,0.12627274025992533,0.7202026647133004,0.016372798135140327,0.3598200899550225,2.0,0.9470501254803315,0.10206614807248116,5.682327652660157,0.00405590838876528,0.08878636957281495,0.05964587209474822,0.32913834739098446,63,64,0.2890480694249527,-0.2461445055387109,
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,isolated_spikes,0.5,0.8133333333333334,0.8007664807664807,1.0,5.760590283898637e-05,0.01508579764404105,0.007542898822020525,0.125237869456194,0.7273692745957687,0.01634376219275749,0.3620689655172414,2.0,1.0341503785305735,0.10067927092313766,5.541024967064731,0.003955049940802806,0.08657851511038642,0.05725439284116314,0.3155859766805023,63,63,0.2858552478644439,-0.24098462302356893,
