heldout_substrate_family,poster_axis,stage,scenario,outer_fold,model_family,model,representation,curriculum,kl_schedule,seed,balanced_accuracy_supported,macro_f1_supported,macro_f1_union,n_test,n_test_supported,n_test_unsupported,unsupported_classes,reconstruction_mse,reconstruction_smooth_l1,reconstruction_spectral_angle,reconstruction_median_row_correlation,reconstruction_first_derivative_mae,repeatable_peak_recall,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change,vae_kl_unnormalized_per_observation,vae_kl_normalized,vae_mean_kl_per_latent_dimension,vae_median_kl_per_latent_dimension,vae_max_kl_per_latent_dimension,vae_active_units_var_mu_gt_0_01,vae_dimensions_mean_kl_gt_0_01,vae_posterior_mean_absolute_mu,vae_posterior_mean_log_variance,vae_posterior_sample_reconstruction_variability
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,0.8133333333333334,0.8007664807664807,0.8007664807664807,75,75,0,,0.015002243476802632,0.007501121738401316,0.12511487824256642,0.7275128680643352,0.016342063743042225,0.3605697151424288,2.0,1.0251214069836716,0.10103856772184372,5.533773589994049,0.0039498740827937535,0.086465212343657,0.057130842628034806,0.31393592458943176,63,63,0.28565628133308263,-0.2405550234752324,0.0534156933426857
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,0.7733333333333333,0.751546451914099,0.751546451914099,75,75,0,,0.013456074086403135,0.006728037043201567,0.1290689828413233,0.7118493165623827,0.016483635707414526,0.37031484257871067,2.0,1.3438792793901349,0.0975804440677166,4.691012758349971,0.003348331733297624,0.07329707434921828,0.049335604048612584,0.33082990473908375,62,61,0.2713271239644382,-0.18100630858301883,0.04934604838490486
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,0.8266666666666667,0.819151052233759,0.819151052233759,75,75,0,,0.0183527099711668,0.0091763549855834,0.12892202714650627,0.6675030092636759,0.01655084644464673,0.3538230884557721,2.0,1.3363365832357195,0.08920741826295853,6.008554973044217,0.004288761579617571,0.09388367145381588,0.0544323593167438,0.4654948403476479,63,64,0.2894722149008946,-0.25963260081640327,0.051161739975214005
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,1729,0.41333333333333333,0.3428190094856762,0.3428190094856762,75,75,0,,0.012784183581851986,0.006392091790925993,0.04993495451614439,0.9130398300622058,0.00899968148878645,0.3581267217630854,2.0,0.8119257622799048,0.0887170135974884,8.949305241561355,0.006387798173848219,0.13983289439939617,0.07147314655243417,0.7834959407579002,58,63,0.35021450054427683,-0.33646572580839956,0.060771647840738297
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,2718,0.52,0.46390988295806435,0.46390988295806435,75,75,0,,0.011083776354564054,0.005541888177282027,0.04965336838895336,0.9098386396346488,0.008568163234394492,0.3443526170798898,2.0,0.7656717609196872,0.11347965523600578,6.978134264068596,0.0049808238858448225,0.10903334787607177,0.041117784398879545,2.166841867590828,52,56,0.27262919301309313,-0.258391895342091,0.05946771055459976
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,3141,0.5466666666666667,0.49063946899789546,0.49063946899789546,75,75,0,,0.013883411669168991,0.0069417058345844955,0.05241354480522328,0.9040827478984026,0.008624731628276277,0.33608815426997246,2.0,0.7546143852935323,0.09610408544540405,7.966128398491058,0.0056860302630200275,0.12447075622642281,0.05836565424492106,1.2026857839187877,57,62,0.3082677147812501,-0.32012597819778726,0.06114356964826584
Au,400-1800_common,poster,poster_holdout_Au,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,0.98,0.9897959183673469,0.6598639455782312,50,50,0,,0.010592123690276314,0.005296061845138157,0.10396297891122763,0.8768860289161924,0.0101289652368877,0.5467289719626168,2.0,0.4853077314109749,0.04802287649363279,6.429031633396364,0.004588887675514892,0.10045361927181817,0.042161420235360784,0.7936727839262668,52,56,0.27625098737373266,-0.2296977159236303,0.045984234660863876
Au,400-1800_common,poster,poster_holdout_Au,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,0.98,0.9897959183673469,0.6598639455782312,50,50,0,,0.007703837873351735,0.0038519189366758677,0.08834254621173193,0.9201026842137003,0.009869668752123834,0.5864485981308412,1.5,0.38881487004725124,0.05720870569348335,6.0024435496044575,0.0042843993930081785,0.09378818046256965,0.03223722259409455,0.7885408474667455,46,51,0.2611825889917236,-0.2095576922237524,0.048984501510858536
Au,400-1800_common,poster,poster_holdout_Au,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,0.98,0.9897959183673469,0.6598639455782312,50,50,0,,0.00855388893087928,0.00427694446543964,0.09371374003519631,0.9175768286010043,0.009918883203578715,0.633177570093458,2.0,0.4256594545405584,0.05690992437303066,5.653080227115416,0.004035032282023852,0.08832937854867837,0.041930590825734415,0.5692269719153652,52,56,0.2714827648956816,-0.19457449211784478,0.046454813331365585
Au,400-1800_common,poster,poster_holdout_Au,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,1729,0.8400000000000001,0.8847517730496455,0.5898345153664303,50,50,0,,0.008713114818820079,0.004356557409410039,0.045983462504476956,0.9379555175087144,0.005175727543487404,0.6380368098159509,1.5,0.5461122780363329,0.10610246658325195,6.347334790452525,0.00453057444000894,0.0991771061008207,0.022695489465959257,1.9339189982208944,47,46,0.2308645466737653,-0.19850031931893683,0.04794404283165932
Au,400-1800_common,poster,poster_holdout_Au,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,2718,0.9199999999999999,0.9481292517006803,0.6320861678004536,50,50,0,,0.00674339693763635,0.003371698468818175,0.041209656423863796,0.9429702489878058,0.005170322812821749,0.7177914110429447,1.5,0.3443516345186206,0.06305782496929169,6.932484871610058,0.004948240450828022,0.10832007611890715,0.013193692922786323,2.4593756144293035,39,41,0.21279547414138505,-0.19685353261638738,0.044332556426525116
Au,400-1800_common,poster,poster_holdout_Au,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,3141,0.86,0.8965217391304348,0.5976811594202899,50,50,0,,0.008444379301399362,0.004222189650699681,0.04487318663245384,0.9357361912469293,0.005123030537943123,0.7484662576687117,2.0,0.4261656774615274,0.10279639065265656,5.716052048764446,0.004079980049082403,0.08931331326194447,0.014095228700952454,1.9099347757542315,38,37,0.18869166716926544,-0.18970508447335305,0.04321303591132164
PICO,400-1800_common,poster,poster_holdout_PICO,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,1.0,1.0,1.0,75,75,0,,0.018618281952769246,0.009309140976384623,0.16280913378107584,0.7104768985438275,0.019678150180704585,0.2128837443381983,2.5,0.9661323312408506,0.07561657263431698,7.447142522409767,0.005315590665531597,0.11636160191265266,0.059701795727604215,1.5264741291474762,58,63,0.29606193034223904,-0.2692180281869514,0.03543093428015709
PICO,400-1800_common,poster,poster_holdout_PICO,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,0.7866666666666666,0.76232917409388,0.76232917409388,75,75,0,,0.01807546418915856,0.00903773209457928,0.16181835967390182,0.7078801007199947,0.019745025101006366,0.1902365374937091,2.5,1.1459535147306474,0.07786902599036694,7.648362739992405,0.005459216802278661,0.11950566781238134,0.07628469421510424,0.6830932946543037,63,64,0.3293853479045477,-0.25836032203456927,0.03498899191617966
PICO,400-1800_common,poster,poster_holdout_PICO,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,1.0,1.0,1.0,75,75,0,,0.02212946766330127,0.011064733831650636,0.1679766073318258,0.6920645391839624,0.019917737342616256,0.20030196275792653,2.0,1.2374703311225002,0.0901150070130825,7.913397568292965,0.005648392268588841,0.12364683700457757,0.09850930604907407,0.6748078246922647,61,64,0.3257649849021254,-0.2769024469980468,0.03950008377432823
PICO,400-1800_common,poster,poster_holdout_PICO,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,1729,0.6666666666666666,0.5555555555555555,0.5555555555555555,75,75,0,,0.0249772321514111,0.01248861607570555,0.12322402836660236,0.7071099928417877,0.009897728064250329,0.20903010033444816,3.0,1.2458681329449335,0.15874037891626358,6.123926351368507,0.004371110886058891,0.09568634924013292,0.044025976875208,0.6627162815381581,51,56,0.3051402961710634,-0.14856095314886109,0.057505570352077484
PICO,400-1800_common,poster,poster_holdout_PICO,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,2718,0.6666666666666666,0.5555555555555555,0.5555555555555555,75,75,0,,0.02683081928971779,0.013415409644858895,0.122936460640004,0.7017920345149102,0.009954721577794267,0.205685618729097,3.0,0.956675734441996,0.08367857336997986,5.73780584433867,0.004095507383539379,0.08965321631779172,0.0333975952699529,0.6782334364088557,46,56,0.2846400501917499,-0.1377183523144419,0.057988397777080536
PICO,400-1800_common,poster,poster_holdout_PICO,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,3141,0.6666666666666666,0.5555555555555555,0.5555555555555555,75,75,0,,0.026235118984352386,0.013117559492176193,0.11851085468901963,0.7306315509312679,0.009849589823969773,0.1939799331103679,3.0,0.7762404467730485,0.12687373161315918,6.210986757076155,0.004433252503266349,0.09704666807931492,0.05568482117710664,0.5753919916503738,53,59,0.3170500404688452,-0.15078532099886313,0.061588410288095474
pSERS,400-1800_common,poster,poster_holdout_pSERS,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,1.0,1.0,1.0,75,75,0,,0.008697042470597901,0.004348521235298951,0.1673796737910886,0.7668672847153934,0.009679138113826858,0.557347670250896,2.0,0.6619569303844125,0.15476446971297264,5.705021321754704,0.004072106582266027,0.08914095815241724,0.06093430928867323,0.3658070269806501,58,59,0.29852905250686185,-0.16542188542111036,0.039886269718408585
pSERS,400-1800_common,poster,poster_holdout_pSERS,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,0.9866666666666667,0.9866613311991462,0.9866613311991462,75,75,0,,0.010808472217799696,0.005404236108899848,0.17927839717595567,0.7396456718587926,0.010153434117747604,0.5519713261648745,2.5,0.7993529697037336,0.1470454577356577,4.964351827196118,0.0035434345661642525,0.07756799729993932,0.029447812326014303,1.08452154570896,55,55,0.24740541944727132,-0.15416135474415568,0.041286274790763855
pSERS,400-1800_common,poster,poster_holdout_pSERS,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,1.0,1.0,1.0,75,75,0,,0.010779943983801712,0.005389971991900856,0.15875213980442096,0.7677603955966708,0.009642560373116673,0.5394265232974911,2.0,0.5112701475136813,0.1145616746507585,6.646040184759345,0.004743783144010953,0.10384437788686476,0.060833091183457005,0.7629157047669256,59,59,0.31014189332052716,-0.17869980682640743,0.038996823132038116
