stage,scenario,outer_fold,model_family,model,representation,curriculum,kl_schedule,seed,observation_uid,mse,smooth_l1,spectral_angle,pearson_correlation,first_derivative_mae,reference_peak_count,matched_peak_count,repeatable_reference_peak_count,repeatable_matched_peak_count,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change,heldout_substrate_family,poster_axis,evaluation_subset,domain_protocol,domain_type,heldout_domain,n_train,n_test_partition
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session1_row31,0.0037708300546604,0.0018854150273302,0.0330332939301536,0.7738541997312623,0.006624187699386,7,3,2,2,1.0,0.4689543175322697,0.1737298965454101,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session1_row33,0.0009230076652092,0.0004615038326046,0.0346338285019403,0.9922354946410308,0.0034920586259769,8,2,1,1,1.0,0.1906335767599277,0.0067222062498331,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session1_row36,0.0104069073835861,0.005203453691793,0.2496951073384054,0.4253553985503703,0.0122479599214836,61,6,4,4,2.5,1.3823465235211805,0.0912625763448886,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session1_row37,0.010652730570925,0.0053263652854625,0.1519707678418437,0.7400626480042127,0.018274807264032,82,10,5,2,2.5,3.3742292466770665,0.186585915274918,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session1_row38,0.0039911216462837,0.0019955608231418,0.1067495103260895,0.8916206744722138,0.0094054572826384,34,10,3,3,2.5,0.6656767665763605,0.0737679842859506,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session1_row50,0.0060473293437057,0.0030236646718528,0.195653924692642,0.747135125385842,0.0065807836524878,22,8,2,2,1.0,0.1403669935020251,0.0362445972859859,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session1_row54,0.0050719049550321,0.002535952477516,0.0270756253034392,0.6344033356458793,0.0078543437378747,11,6,1,1,1.0,0.940276728688878,0.1543165147304535,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session1_row64,0.0022343706352644,0.0011171853176322,0.0524267610119306,0.9736858527162688,0.0083594604421939,33,10,3,3,2.0,0.1986703717846072,0.0470438487827777,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session1_row65,0.0046645535428187,0.0023322767714093,0.1005460014987803,0.8411978472774151,0.0166239252290688,73,10,4,3,2.0,1.8310543403269604,0.1022839061915874,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session1_row177,0.021425989756775,0.0107129948783875,0.0988414858220076,0.0814456858948874,0.0561763953923114,141,15,4,1,3.0,6.772217332422373,0.19937065243721,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session1_row181,0.0246369423797087,0.0123184711898543,0.1275558917988888,0.1870130152327351,0.0536091555628393,146,10,9,1,2.0,5.989467277604033,0.1411271765828132,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session1_row188,0.0041691876748592,0.0020845938374296,0.0638778822951596,0.9456402464460192,0.0216338801224316,85,12,5,5,3.5,0.1454482267772638,0.0780082046985626,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session1_row191,0.0014794813606001,0.0007397406803,0.038561385956549,0.989679275022543,0.0058351402824545,11,9,7,7,1.0,0.1179771862838719,0.0343740115640684,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session1_row202,0.0112128950062753,0.0056064475031376,0.077857836593526,0.5308030364208884,0.0340116894883768,120,12,7,5,1.5,2.097388808027093,0.2117199450731277,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session1_row204,0.0197987547063095,0.0098993773531547,0.1237270988601684,0.3455710600649656,0.0355788737774959,128,12,3,2,2.5,3.2800195627583104,0.0723495483398437,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session1_row223,0.0013153296174796,0.0006576648087398,0.0449671793270232,0.988824577362991,0.0023033882388023,10,9,6,6,1.0,0.0732803027553035,0.0538889139425009,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session1_row227,0.0054307899121614,0.0027153949560807,0.0989511911099321,0.9306310821412548,0.0024129629666068,1,0,0,0,,,,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session1_row230,0.0046638853111902,0.0023319426555951,0.0804460897658331,0.9461107300929004,0.0042693629272149,11,10,4,4,1.0,0.1592345529010532,0.0757118347391951,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session1_row231,0.0041544841583662,0.0020772420791831,0.0913534722566177,0.9494334601054374,0.0021352487960497,2,0,0,0,,,,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session1_row239,0.0024469380075809,0.0012234690037904,0.059518999990714,0.9777836045559758,0.0035426022375655,11,10,6,6,1.0,0.0988823267805402,0.0350897051393985,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session1_row242,0.0014206936301562,0.0007103468150781,0.050211788911247,0.988703685840682,0.0020842723270106,4,1,0,0,0.0,0.127149254831871,0.0650062433851417,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session1_row243,0.0065217559213811,0.0032608779606905,0.1089764196565281,0.9305750717735688,0.0060013007436646,10,4,1,1,2.5,0.1973082980885336,0.1624952019192278,,,,,,,,
